GEOCODE,CATEG_ID,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,NAME_STD,SOURCE,VERSION,FEATURE_ID,NAME,CATEG_NAME,area_total,area_intersectada,porcentaje_amazonia,pixeles,pixeles_bosque_inicial,porcentaje_bosque_inicial
211209,95,Perú,Puno,Sandia,Alto Inambari,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,215,[Alto Inambari][Sandia][Puno][Perú],POLITICAL_LEVEL_4,1372072856.6538718,1369783463.755547,0.9983314348890278,1569296,1361439,0.867547613707038
080912,95,Perú,Cusco,La Convencion,Villa Virgen,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,393,[Villa Virgen][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4,439021620.0193437,433306679.1495738,0.9869825525460043,499962,437577,0.8752205167592737
080914,95,Perú,Cusco,La Convencion,Megantoni,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,430,[Megantoni][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4,10713824737.32827,10713824737.328304,1.000000000000003,12241310,11995393,0.9799108918898386
080904,95,Perú,Cusco,La Convencion,Maranura,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,433,[Maranura][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4,164746848.4574647,164746848.45746455,0.9999999999999991,190329,108675,0.5709849786422458
080906,95,Perú,Cusco,La Convencion,Quellouno,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,435,[Quellouno][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4,1966819955.9098685,1924902216.460147,0.978687556365407,2207594,1688605,0.7649074059813534
080907,95,Perú,Cusco,La Convencion,Kimbiri,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,437,[Kimbiri][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4,541390405.8971099,541390405.8971103,1.0000000000000009,623183,494681,0.7937973275907719
050409,95,Perú,Ayacucho,Huanta,Canayre,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,478,[Canayre][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4,269027344.67423767,269027344.67423743,0.9999999999999991,310183,263293,0.8488311738554337
170102,95,Perú,Madre De Dios,Tambopata,Inambari,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,633,[Inambari][Tambopata][Madre De Dios][Perú],POLITICAL_LEVEL_4,4881604869.792276,4881604869.792273,0.9999999999999992,5571038,5232206,0.9391797363435683
170204,95,Perú,Madre De Dios,Manu,Huepetuhe,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,634,[Huepetuhe][Manu][Madre De Dios][Perú],POLITICAL_LEVEL_4,1530434373.5300672,1530434373.5300612,0.9999999999999961,1753612,1646401,0.9388627586946258
170201,95,Perú,Madre De Dios,Manu,Manu,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,635,[Manu][Manu][Madre De Dios][Perú],POLITICAL_LEVEL_4,8718108137.19352,8660764223.94612,0.9934224361128583,9897981,9636094,0.9735413717201519
170104,95,Perú,Madre De Dios,Tambopata,Laberinto,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,636,[Laberinto][Tambopata][Madre De Dios][Perú],POLITICAL_LEVEL_4,2695749702.7661557,2695749702.766176,1.0000000000000075,3077704,2903505,0.9433996901586378
170203,95,Perú,Madre De Dios,Manu,Madre De Dios,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,637,[Madre De Dios][Manu][Madre De Dios][Perú],POLITICAL_LEVEL_4,7882613907.518273,7882559683.768027,0.9999931210952506,9003627,8723027,0.9688347818051547
170202,95,Perú,Madre De Dios,Manu,Fitzcarrald,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,638,[Fitzcarrald][Manu][Madre De Dios][Perú],POLITICAL_LEVEL_4,10684370669.795631,10684370669.795605,0.9999999999999974,12197148,12033088,0.9865493146430625
170302,95,Perú,Madre De Dios,Tahuamanu,Iberia,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,639,[Iberia][Tahuamanu][Madre De Dios][Perú],POLITICAL_LEVEL_4,2603983673.5084133,2603983673.5084133,1.0,2953466,2858871,0.9679715290441806
120602,95,Perú,Junin,Satipo,Coviriali,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,666,[Coviriali][Satipo][Junin][Perú],POLITICAL_LEVEL_4,97540630.3928961,97540630.39289616,1.0000000000000007,112222,59475,0.5299762969827663
010512,95,Perú,Amazonas,Luya,Ocalli,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,723,[Ocalli][Luya][Amazonas][Perú],POLITICAL_LEVEL_4,172277723.49343395,165345039.67707267,0.9597586752611953,187035,145853,0.7798166118640896
010114,95,Perú,Amazonas,Chachapoyas,Molinopampa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,726,[Molinopampa][Chachapoyas][Amazonas][Perú],POLITICAL_LEVEL_4,340620093.61502165,340620093.61502033,0.9999999999999961,384895,227556,0.5912157861234882
010612,95,Perú,Amazonas,Rodriguez De Mendoza,Vista Alegre,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,731,[Vista Alegre][Rodriguez De Mendoza][Amazonas][Perú],POLITICAL_LEVEL_4,862001561.7495693,862001561.7495704,1.0000000000000013,972296,855766,0.8801496663567473
080902,95,Perú,Cusco,La Convencion,Echarate,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,768,[Echarate][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4,7603557830.337305,7440764205.265009,0.9785898090466586,8531165,7832432,0.9180964147335094
080913,95,Perú,Cusco,La Convencion,Villa Kintiarina,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,772,[Villa Kintiarina][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4,198783271.73775542,198783271.73775578,1.0000000000000018,229881,213660,0.9294374045701906
120609,95,Perú,Junin,Satipo,Vizcatán Del Ene,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,775,[Vizcatán Del Ene][Satipo][Junin][Perú],POLITICAL_LEVEL_4,607247698.8730624,607247698.873063,1.0000000000000009,698173,629925,0.9022477237017186
080915,95,Perú,Cusco,La Convencion,Kumpirushiato,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,785,[Kumpirushiato][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4,2940430285.243077,2940430285.243074,0.999999999999999,3374223,3053840,0.9050498440678046
080916,95,Perú,Cusco,La Convencion,Cielo Punco,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,786,[Cielo Punco][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4,102230534.68651511,102230534.68651502,0.9999999999999991,118237,106704,0.9024586212437731
080917,95,Perú,Cusco,La Convencion,Manitea,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,787,[Manitea][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4,142642207.6724367,142642207.67243674,1.0000000000000002,164812,143595,0.8712654418367595
080918,95,Perú,Cusco,La Convencion,Union Ashaninka,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,791,[Union Ashaninka][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4,307048345.84105295,307048345.84105295,1.0,353320,314648,0.8905468130872863
100901,95,Perú,Huanuco,Puerto Inca,Puerto Inca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,812,[Puerto Inca][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4,2389430614.447738,2389430614.447742,1.0000000000000016,2715919,2513978,0.9256454260970228
100902,95,Perú,Huanuco,Puerto Inca,Codo Del Pozuzo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,813,[Codo Del Pozuzo][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4,3221259969.0701475,3221259969.070142,0.9999999999999982,3661868,3389114,0.9255150649886889
220703,95,Perú,San Martin,Picota,Caspisapa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,829,[Caspisapa][Picota][San Martin][Perú],POLITICAL_LEVEL_4,76012179.64167611,76012179.64167607,0.9999999999999994,86482,50126,0.5796119423695104
220202,95,Perú,San Martin,Bellavista,Alto Biavo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,830,[Alto Biavo][Bellavista][San Martin][Perú],POLITICAL_LEVEL_4,5956587471.198889,5956587471.198892,1.0000000000000004,6735408,6536287,0.9704366832714514
220913,95,Perú,San Martin,San Martin,Sauce,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,837,[Sauce][San Martin][San Martin][Perú],POLITICAL_LEVEL_4,100795806.58189286,100795806.58189294,1.0000000000000007,114615,70698,0.6168302578196572
100802,95,Perú,Huanuco,Pachitea,Chaglla,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,845,[Chaglla][Pachitea][Huanuco][Perú],POLITICAL_LEVEL_4,1077987001.0626602,1060060188.88864,0.9833701035760651,1208886,981971,0.8122941286440574
100602,95,Perú,Huanuco,Leoncio Prado,Daniel Alomia Robles,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,853,[Daniel Alomia Robles][Leoncio Prado][Huanuco][Perú],POLITICAL_LEVEL_4,539827954.644965,539827954.6449641,0.9999999999999982,615852,542027,0.8801254197437046
100903,95,Perú,Huanuco,Puerto Inca,Honoria,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,867,[Honoria][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4,948542425.8598349,948542425.8598348,0.9999999999999999,1077000,875677,0.8130705663881151
