GEOCODE,CATEG_ID,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,NAME_STD,SOURCE,VERSION,FEATURE_ID,NAME,CATEG_NAME
211202,95,Perú,Puno,Sandia,Cuyocuyo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,199,[Cuyocuyo][Sandia][Puno][Perú],POLITICAL_LEVEL_4
211204,95,Perú,Puno,Sandia,Patambuco,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,201,[Patambuco][Sandia][Puno][Perú],POLITICAL_LEVEL_4
211201,95,Perú,Puno,Sandia,Sandia,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,203,[Sandia][Sandia][Puno][Perú],POLITICAL_LEVEL_4
211206,95,Perú,Puno,Sandia,Quiaca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,209,[Quiaca][Sandia][Puno][Perú],POLITICAL_LEVEL_4
211205,95,Perú,Puno,Sandia,Phara,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,211,[Phara][Sandia][Puno][Perú],POLITICAL_LEVEL_4
211209,95,Perú,Puno,Sandia,Alto Inambari,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,215,[Alto Inambari][Sandia][Puno][Perú],POLITICAL_LEVEL_4
210310,95,Perú,Puno,Carabaya,Usicayos,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,216,[Usicayos][Carabaya][Puno][Perú],POLITICAL_LEVEL_4
210307,95,Perú,Puno,Carabaya,Ituata,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,219,[Ituata][Carabaya][Puno][Perú],POLITICAL_LEVEL_4
210308,95,Perú,Puno,Carabaya,Ollachea,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,220,[Ollachea][Carabaya][Puno][Perú],POLITICAL_LEVEL_4
050510,95,Perú,Ayacucho,La Mar,Anchihuay,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,389,[Anchihuay][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
050410,95,Perú,Ayacucho,Huanta,Uchuraccay,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,390,[Uchuraccay][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4
080911,95,Perú,Cusco,La Convencion,Inkawasi,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,391,[Inkawasi][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
050411,95,Perú,Ayacucho,Huanta,Pucacolpa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,392,[Pucacolpa][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4
080912,95,Perú,Cusco,La Convencion,Villa Virgen,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,393,[Villa Virgen][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
081103,95,Perú,Cusco,Paucartambo,Challabamba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,429,[Challabamba][Paucartambo][Cusco][Perú],POLITICAL_LEVEL_4
080914,95,Perú,Cusco,La Convencion,Megantoni,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,430,[Megantoni][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
080903,95,Perú,Cusco,La Convencion,Huayopata,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,431,[Huayopata][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
080404,95,Perú,Cusco,Calca,Lares,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,432,[Lares][Calca][Cusco][Perú],POLITICAL_LEVEL_4
080904,95,Perú,Cusco,La Convencion,Maranura,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,433,[Maranura][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
080905,95,Perú,Cusco,La Convencion,Ocobamba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,434,[Ocobamba][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
080906,95,Perú,Cusco,La Convencion,Quellouno,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,435,[Quellouno][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
080408,95,Perú,Cusco,Calca,Yanatile,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,436,[Yanatile][Calca][Cusco][Perú],POLITICAL_LEVEL_4
080907,95,Perú,Cusco,La Convencion,Kimbiri,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,437,[Kimbiri][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
080908,95,Perú,Cusco,La Convencion,Santa Teresa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,438,[Santa Teresa][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
080909,95,Perú,Cusco,La Convencion,Vilcabamba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,439,[Vilcabamba][La Convencion][Cusco][Perú],POLITICAL_LEVEL_4
081304,95,Perú,Cusco,Urubamba,Machupicchu,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,440,[Machupicchu][Urubamba][Cusco][Perú],POLITICAL_LEVEL_4
081106,95,Perú,Cusco,Paucartambo,Kosñipata,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,442,[Kosñipata][Paucartambo][Cusco][Perú],POLITICAL_LEVEL_4
050511,95,Perú,Ayacucho,La Mar,Oronccoy,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,451,[Oronccoy][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
050502,95,Perú,Ayacucho,La Mar,Anco,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,465,[Anco][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
050507,95,Perú,Ayacucho,La Mar,Santa Rosa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,473,[Santa Rosa][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
050503,95,Perú,Ayacucho,La Mar,Ayna,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,474,[Ayna][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
050402,95,Perú,Ayacucho,Huanta,Ayahuanco,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,475,[Ayahuanco][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4
050407,95,Perú,Ayacucho,Huanta,Sivia,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,476,[Sivia][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4
050408,95,Perú,Ayacucho,Huanta,Llochegua,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,477,[Llochegua][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4
050409,95,Perú,Ayacucho,Huanta,Canayre,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,478,[Canayre][Huanta][Ayacucho][Perú],POLITICAL_LEVEL_4
050509,95,Perú,Ayacucho,La Mar,Samugari,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,479,[Samugari][La Mar][Ayacucho][Perú],POLITICAL_LEVEL_4
081101,95,Perú,Cusco,Paucartambo,Paucartambo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,481,[Paucartambo][Paucartambo][Cusco][Perú],POLITICAL_LEVEL_4
