id,Píxeles Totales,Píxeles Cambio,pix_nochg,% Cambio,Categoría,Distrito
71,233930,174106,59824,74.43,Muy Alto,Alexander Von Humboldt
194,27901,19725,8176,70.7,Muy Alto,Shanao
73,709020,500129,208891,70.54,Muy Alto,Neshuya
193,146917,95686,51231,65.13,Muy Alto,Lamas
68,58972,37191,21781,63.07,Muy Alto,Alberto Leveau
244,1503935,897301,606634,59.66,Muy Alto,Campoverde
183,352143,208024,144119,59.07,Muy Alto,Buenos Aires
197,335241,194816,140425,58.11,Muy Alto,Alonso De Alvarado
57,204051,117822,86229,57.74,Muy Alto,Piscoyacu
60,444346,255798,188548,57.57,Muy Alto,Shamboyacu
50,292223,167166,125057,57.2,Muy Alto,Huallaga
49,515197,291451,223746,56.57,Muy Alto,Pajarillo
119,77967,43346,34621,55.6,Muy Alto,Pilluana
205,436869,242195,194674,55.44,Muy Alto,Jepelacio
189,206858,112762,94096,54.51,Muy Alto,Cuñumbuqui
78,37992,20554,17438,54.1,Muy Alto,Rumisapa
34,114615,61904,52711,54.01,Muy Alto,Sauce
116,48938,26307,22631,53.76,Muy Alto,Milpuc
52,183740,98631,85109,53.68,Muy Alto,Sacanche
61,379893,201295,178598,52.99,Muy Alto,Tingo De Ponasa
182,282602,146478,136124,51.83,Muy Alto,Santa Rosa
38,1076982,550985,525997,51.16,Muy Alto,Honoria
51,1269186,643725,625461,50.72,Muy Alto,Bajo Biavo
181,419316,210510,208806,50.2,Muy Alto,Tres Unidos
196,409936,205190,204746,50.05,Muy Alto,Tabalosos
39,1977047,970505,1006542,49.09,Muy Alto,Tournavista
62,246335,119887,126448,48.67,Muy Alto,Picota
56,141590,68504,73086,48.38,Muy Alto,El Eslabon
245,750642,359920,390722,47.95,Muy Alto,Yarinacocha
188,269288,127333,141955,47.29,Muy Alto,Shapaja
180,394100,184857,209243,46.91,Muy Alto,San Pablo
179,230461,106704,123757,46.3,Muy Alto,Pucacaca
238,508439,234552,273887,46.13,Muy Alto,Juanjui
41,2349650,1083056,1266594,46.09,Muy Alto,Yuyapichis
220,119465,54075,65390,45.26,Muy Alto,Castillo Grande
184,173255,78380,94875,45.24,Muy Alto,Agua Blanca
107,671438,302689,368749,45.08,Muy Alto,Huipoca
15,22309,9933,12376,44.52,Muy Alto,Totora
55,34652,15267,19385,44.06,Muy Alto,San Cristobal
88,36309,15994,20315,44.05,Muy Alto,Churuja
76,349155,153559,195596,43.98,Muy Alto,San Jose De Sisa
154,251386,109723,141663,43.65,Muy Alto,Florida
192,588430,256710,331720,43.63,Muy Alto,San Martin
81,79733,34613,45120,43.41,Muy Alto,Yantalo
187,70758,30693,40065,43.38,Muy Alto,Shatoja
130,80099,34725,45374,43.35,Muy Alto,Cheto
230,2518660,1088477,1430183,43.22,Muy Alto,Yurimaguas
274,401831,173188,228643,43.1,Muy Alto,San Ignacio
186,197838,84737,113101,42.83,Muy Alto,Zapatero
86,568865,242875,325990,42.69,Muy Alto,San Jose Del Alto
99,594851,250886,343965,42.18,Muy Alto,Saposoa
185,218067,91168,126899,41.81,Muy Alto,Juan Guerra
204,93049,38800,54249,41.7,Muy Alto,Yorongos
225,559508,233246,326262,41.69,Muy Alto,Rio Negro
75,2335184,964159,1371025,41.29,Muy Alto,Nueva Requena
