id,Distrito,Píxeles Totales,Píxeles Cambio,pixeles_no_cambiados,% Cambio,Categoría
71,Alexander Von Humboldt,233948,174147,59801,74.44,Muy Alto
194,Shanao,27901,19725,8176,70.7,Muy Alto
73,Neshuya,708970,500177,208793,70.55,Muy Alto
193,Lamas,146917,95686,51231,65.13,Muy Alto
68,Alberto Leveau,58972,37191,21781,63.07,Muy Alto
244,Campoverde,1503932,897246,606686,59.66,Muy Alto
183,Buenos Aires,352143,208024,144119,59.07,Muy Alto
197,Alonso De Alvarado,335241,194816,140425,58.11,Muy Alto
57,Piscoyacu,204051,117822,86229,57.74,Muy Alto
60,Shamboyacu,444346,255798,188548,57.57,Muy Alto
50,Huallaga,292223,167166,125057,57.2,Muy Alto
49,Pajarillo,515197,291451,223746,56.57,Muy Alto
119,Pilluana,77967,43346,34621,55.6,Muy Alto
205,Jepelacio,436869,242195,194674,55.44,Muy Alto
189,Cuñumbuqui,206858,112762,94096,54.51,Muy Alto
78,Rumisapa,37992,20554,17438,54.1,Muy Alto
34,Sauce,114615,61904,52711,54.01,Muy Alto
116,Milpuc,48938,26307,22631,53.76,Muy Alto
52,Sacanche,183740,98631,85109,53.68,Muy Alto
61,Tingo De Ponasa,379893,201295,178598,52.99,Muy Alto
182,Santa Rosa,282602,146478,136124,51.83,Muy Alto
38,Honoria,1077000,550862,526138,51.15,Muy Alto
51,Bajo Biavo,1269186,643725,625461,50.72,Muy Alto
181,Tres Unidos,419316,210510,208806,50.2,Muy Alto
196,Tabalosos,409936,205190,204746,50.05,Muy Alto
39,Tournavista,1977045,970476,1006569,49.09,Muy Alto
62,Picota,246335,119887,126448,48.67,Muy Alto
56,El Eslabon,141590,68504,73086,48.38,Muy Alto
245,Yarinacocha,750576,359799,390777,47.94,Muy Alto
188,Shapaja,269288,127333,141955,47.29,Muy Alto
180,San Pablo,394100,184857,209243,46.91,Muy Alto
179,Pucacaca,230461,106704,123757,46.3,Muy Alto
238,Juanjui,508439,234552,273887,46.13,Muy Alto
41,Yuyapichis,2349624,1082888,1266736,46.09,Muy Alto
220,Castillo Grande,119465,54075,65390,45.26,Muy Alto
184,Agua Blanca,173255,78380,94875,45.24,Muy Alto
107,Huipoca,671649,302824,368825,45.09,Muy Alto
15,Totora,22309,9933,12376,44.52,Muy Alto
55,San Cristobal,34652,15267,19385,44.06,Muy Alto
88,Churuja,36309,15994,20315,44.05,Muy Alto
76,San Jose De Sisa,349155,153559,195596,43.98,Muy Alto
154,Florida,251386,109723,141663,43.65,Muy Alto
192,San Martin,588430,256710,331720,43.63,Muy Alto
81,Yantalo,79733,34613,45120,43.41,Muy Alto
187,Shatoja,70758,30693,40065,43.38,Muy Alto
130,Cheto,80099,34725,45374,43.35,Muy Alto
230,Yurimaguas,2518632,1088477,1430155,43.22,Muy Alto
274,San Ignacio,401836,173336,228500,43.14,Muy Alto
186,Zapatero,197838,84737,113101,42.83,Muy Alto
86,San Jose Del Alto,568865,242875,325990,42.69,Muy Alto
99,Saposoa,594851,250886,343965,42.18,Muy Alto
185,Juan Guerra,218067,91168,126899,41.81,Muy Alto
204,Yorongos,93049,38800,54249,41.7,Muy Alto
225,Rio Negro,559483,233266,326217,41.69,Muy Alto
75,Nueva Requena,2335288,964461,1370827,41.3,Muy Alto
84,Awajun,573322,234965,338357,40.98,Muy Alto
72,Irazola,2131944,870523,1261421,40.83,Alto
115,La Jalca,140726,57080,83646,40.56,Alto
203,El Porvenir,553548,223905,329643,40.45,Alto
58,San Hilarion,118744,47519,71225,40.02,Alto
80,Posic,60252,24106,36146,40.01,Alto
53,Tingo De Saposoa,53693,21079,32614,39.26,Alto
30,Puerto Inca,2715919,1065456,1650463,39.23,Alto
143,Chiliquin,160342,62492,97850,38.97,Alto
237,Soritor,659075,255600,403475,38.78,Alto
59,Bellavista,294028,113950,180078,38.75,Alto
87,Chontali,521791,202075,319716,38.73,Alto
37,Luyando,127998,49298,78700,38.51,Alto
148,Jazan,86069,32841,53228,38.16,Alto
147,Asuncion,39892,15151,24741,37.98,Alto
145,Luya Viejo,77576,29401,48175,37.9,Alto
217,Rupa-Rupa,298195,111487,186708,37.39,Alto
151,Cuispes,109406,40667,68739,37.17,Alto
275,Namballe,712847,264891,447956,37.16,Alto
124,San Isidro De Maino,122539,45503,77036,37.13,Alto
111,San Antonio,89079,32586,56493,36.58,Alto
77,Cacatachi,59830,21808,38022,36.45,Alto
14,Coviriali,112222,40903,71319,36.45,Alto
40,San Luis De Shuaro,221016,80465,140551,36.41,Alto
223,Satipo,934256,339807,594449,36.37,Alto
121,Magdalena,153609,54831,98778,35.7,Alto
79,Calzada,131637,46824,84813,35.57,Alto
126,Santa Rosa,23172,8131,15041,35.09,Alto
201,Barranquita,1193279,418397,774882,35.06,Alto
239,Rioja,236785,82939,153846,35.03,Alto
32,Caspisapa,86482,30282,56200,35.02,Alto
3,Maranura,190329,66565,123764,34.97,Alto
139,Quinjalca,93879,32784,61095,34.92,Alto
207,Huabal,93818,32751,61067,34.91,Alto
74,Curimana,2130961,742492,1388469,34.84,Alto
149,Recta,32037,11140,20897,34.77,Alto
112,Montevideo,139737,48503,91234,34.71,Alto
18,Molinopampa,384895,133426,251469,34.67,Alto
129,Soloco,85323,28993,56330,33.98,Alto
100,San Pablo De Pillao,675194,227316,447878,33.67,Alto
114,Chirimoto,174521,58674,115847,33.62,Alto
