id,Distrito,Píxeles Totales,Píxeles Cambio,pixeles_no_cambiados,% Cambio,Categoría
194,Shanao,27901,16740,11161,60.0,Muy Alto
68,Alberto Leveau,58972,32877,26095,55.75,Muy Alto
193,Lamas,146917,79605,67312,54.18,Muy Alto
119,Pilluana,77967,39674,38293,50.89,Muy Alto
34,Sauce,114615,54079,60536,47.18,Muy Alto
183,Buenos Aires,352143,154954,197189,44.0,Muy Alto
220,Castillo Grande,119465,50698,68767,42.44,Muy Alto
188,Shapaja,269288,109264,160024,40.58,Muy Alto
78,Rumisapa,37992,15376,22616,40.47,Muy Alto
189,Cuñumbuqui,206858,82323,124535,39.8,Muy Alto
197,Alonso De Alvarado,335241,133166,202075,39.72,Muy Alto
196,Tabalosos,409936,162520,247416,39.65,Muy Alto
179,Pucacaca,230461,90679,139782,39.35,Muy Alto
88,Churuja,36309,14072,22237,38.76,Muy Alto
56,El Eslabon,141590,54709,86881,38.64,Muy Alto
182,Santa Rosa,282602,108059,174543,38.24,Muy Alto
205,Jepelacio,436869,164575,272294,37.67,Muy Alto
52,Sacanche,183740,67994,115746,37.01,Muy Alto
116,Milpuc,48938,18063,30875,36.91,Muy Alto
130,Cheto,80099,29201,50898,36.46,Muy Alto
274,San Ignacio,401836,144749,257087,36.02,Muy Alto
37,Luyando,127998,45826,82172,35.8,Muy Alto
61,Tingo De Ponasa,379893,135916,243977,35.78,Muy Alto
62,Picota,246335,87298,159037,35.44,Muy Alto
86,San Jose Del Alto,568865,198793,370072,34.95,Muy Alto
115,La Jalca,140726,48758,91968,34.65,Muy Alto
80,Posic,60252,20808,39444,34.53,Muy Alto
143,Chiliquin,160342,54266,106076,33.84,Muy Alto
87,Chontali,521791,175766,346025,33.69,Muy Alto
217,Rupa-Rupa,298195,99918,198277,33.51,Muy Alto
148,Jazan,86069,28826,57243,33.49,Muy Alto
57,Piscoyacu,204051,67768,136283,33.21,Muy Alto
15,Totora,22309,7406,14903,33.2,Muy Alto
151,Cuispes,109406,36288,73118,33.17,Muy Alto
55,San Cristobal,34652,11402,23250,32.9,Muy Alto
49,Pajarillo,515197,168891,346306,32.78,Muy Alto
53,Tingo De Saposoa,53693,17569,36124,32.72,Muy Alto
181,Tres Unidos,419316,135869,283447,32.4,Muy Alto
139,Quinjalca,93879,30224,63655,32.19,Muy Alto
186,Zapatero,197838,63402,134436,32.05,Muy Alto
185,Juan Guerra,218067,69657,148410,31.94,Muy Alto
81,Yantalo,79733,25408,54325,31.87,Muy Alto
184,Agua Blanca,173255,54412,118843,31.41,Muy Alto
180,San Pablo,394100,123435,270665,31.32,Muy Alto
111,San Antonio,89079,27784,61295,31.19,Muy Alto
145,Luya Viejo,77576,24152,53424,31.13,Muy Alto
14,Coviriali,112222,34665,77557,30.89,Muy Alto
121,Magdalena,153609,47297,106312,30.79,Muy Alto
40,San Luis De Shuaro,221016,67896,153120,30.72,Muy Alto
124,San Isidro De Maino,122539,37318,85221,30.45,Muy Alto
142,Valera,88735,26764,61971,30.16,Muy Alto
147,Asuncion,39892,11928,27964,29.9,Muy Alto
127,Levanto,85460,25534,59926,29.88,Muy Alto
129,Soloco,85323,25284,60039,29.63,Muy Alto
207,Huabal,93818,27576,66242,29.39,Muy Alto
110,Mariscal Castilla,89574,26216,63358,29.27,Muy Alto
100,San Pablo De Pillao,675194,196318,478876,29.08,Alto
112,Montevideo,139737,40578,99159,29.04,Alto
59,Bellavista,294028,85182,208846,28.97,Alto
275,Namballe,712847,206193,506654,28.93,Alto
3,Maranura,190329,54484,135845,28.63,Alto
238,Juanjui,508439,145421,363018,28.6,Alto
152,Shipasbamba,142183,40264,101919,28.32,Alto
225,Rio Negro,559483,157775,401708,28.2,Alto
192,San Martin,588430,165397,423033,28.11,Alto
106,Hermilio Valdizan,326199,91668,234531,28.1,Alto
50,Huallaga,292223,81807,210416,27.99,Alto
131,Inguilpata,132625,36889,95736,27.81,Alto
