anio,archivo_salida,dtype_salida,nodata_salida,clases_unicas_salida,total_pixeles,bosque_pix,nobosque_pix,nodata_pix,bosque_pct,nobosque_pct,nodata_pct,bosque_area_km2,nobosque_area_km2,nodata_area_km2
1985,bosque_nobosque_amazonia_1985.tif,uint8,255,"[0, 1, 255]",2158513186,804370630,91618410,1262524146,37.265032,4.244515,58.490453,723933.567,82456.569,1136271.7314
1986,bosque_nobosque_amazonia_1986.tif,uint8,255,"[0, 1, 255]",2158513186,805165970,90823070,1262524146,37.301879,4.207668,58.490453,724649.373,81740.763,1136271.7314
1987,bosque_nobosque_amazonia_1987.tif,uint8,255,"[0, 1, 255]",2158513186,805686575,90302465,1262524146,37.325997,4.183549,58.490453,725117.9175,81272.2185,1136271.7314
1988,bosque_nobosque_amazonia_1988.tif,uint8,255,"[0, 1, 255]",2158513186,804971792,91017248,1262524146,37.292883,4.216664,58.490453,724474.6128,81915.5232,1136271.7314
1989,bosque_nobosque_amazonia_1989.tif,uint8,255,"[0, 1, 255]",2158513186,804463273,91525767,1262524146,37.269324,4.240223,58.490453,724016.9457,82373.1903,1136271.7314
1990,bosque_nobosque_amazonia_1990.tif,uint8,255,"[0, 1, 255]",2158513186,804217319,91771721,1262524146,37.257929,4.251617,58.490453,723795.5871,82594.5489,1136271.7314
1991,bosque_nobosque_amazonia_1991.tif,uint8,255,"[0, 1, 255]",2158513186,804433684,91555356,1262524146,37.267953,4.241594,58.490453,723990.3156,82399.8204,1136271.7314
1992,bosque_nobosque_amazonia_1992.tif,uint8,255,"[0, 1, 255]",2158513186,804239076,91749964,1262524146,37.258937,4.250609,58.490453,723815.1684,82574.9676,1136271.7314
1993,bosque_nobosque_amazonia_1993.tif,uint8,255,"[0, 1, 255]",2158513186,804242397,91746643,1262524146,37.259091,4.250456,58.490453,723818.1573,82571.9787,1136271.7314
1994,bosque_nobosque_amazonia_1994.tif,uint8,255,"[0, 1, 255]",2158513186,803589956,92399084,1262524146,37.228865,4.280682,58.490453,723230.9604,83159.1756,1136271.7314
1995,bosque_nobosque_amazonia_1995.tif,uint8,255,"[0, 1, 255]",2158513186,803505397,92483643,1262524146,37.224947,4.284599,58.490453,723154.8573,83235.2787,1136271.7314
1996,bosque_nobosque_amazonia_1996.tif,uint8,255,"[0, 1, 255]",2158513186,802860994,93128046,1262524146,37.195093,4.314453,58.490453,722574.8946,83815.2414,1136271.7314
1997,bosque_nobosque_amazonia_1997.tif,uint8,255,"[0, 1, 255]",2158513186,802242934,93746106,1262524146,37.16646,4.343087,58.490453,722018.6406,84371.4954,1136271.7314
1998,bosque_nobosque_amazonia_1998.tif,uint8,255,"[0, 1, 255]",2158513186,801398504,94590536,1262524146,37.127339,4.382208,58.490453,721258.6536,85131.4824,1136271.7314
1999,bosque_nobosque_amazonia_1999.tif,uint8,255,"[0, 1, 255]",2158513186,800495063,95493977,1262524146,37.085484,4.424063,58.490453,720445.5567,85944.5793,1136271.7314
