anio,archivo,crs,transform,res_x,res_y,width,height,count,bounds,nodata_original,dtype,clases_unicas,file_size_mb
1985,mapbiomas-peru-collection-30-amazoniaperu-1985.tif,EPSG:4326,"| 0.00, 0.00,-79.49|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40198,53724,1,"BoundingBox(left=-79.48500246404875, bottom=-14.516864822899876, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 34, 35, 40, 66, 68]",40.1
1986,mapbiomas-peru-collection-30-amazoniaperu-1986.tif,EPSG:4326,"| 0.00, 0.00,-79.49|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40198,53724,1,"BoundingBox(left=-79.48500246404875, bottom=-14.516864822899876, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 34, 35, 40, 66, 68]",39.87
1987,mapbiomas-peru-collection-30-amazoniaperu-1987.tif,EPSG:4326,"| 0.00, 0.00,-79.49|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40198,53724,1,"BoundingBox(left=-79.48500246404875, bottom=-14.516864822899876, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 34, 35, 40, 66, 68]",38.94
1988,mapbiomas-peru-collection-30-amazoniaperu-1988.tif,EPSG:4326,"| 0.00, 0.00,-79.49|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40198,53724,1,"BoundingBox(left=-79.48500246404875, bottom=-14.516864822899876, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 35, 40, 66, 68]",38.54
1989,mapbiomas-peru-collection-30-amazoniaperu-1989.tif,EPSG:4326,"| 0.00, 0.00,-79.49|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40198,53724,1,"BoundingBox(left=-79.48500246404875, bottom=-14.516864822899876, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 35, 40, 66, 68]",38.57
1990,mapbiomas-peru-collection-30-amazoniaperu-1990.tif,EPSG:4326,"| 0.00, 0.00,-79.49|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40198,53724,1,"BoundingBox(left=-79.48500246404875, bottom=-14.516864822899876, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 35, 40, 66, 68]",38.66
1991,mapbiomas-peru-collection-30-amazoniaperu-1991.tif,EPSG:4326,"| 0.00, 0.00,-79.49|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40198,53724,1,"BoundingBox(left=-79.48500246404875, bottom=-14.516864822899876, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 35, 40, 66, 68]",38.69
1992,mapbiomas-peru-collection-30-amazoniaperu-1992.tif,EPSG:4326,"| 0.00, 0.00,-79.49|
| 0.00,-0.00,-0.04|
| 0.00, 0.00, 1.00|",0.0002694945852358564,-0.0002694945852358564,40198,53724,1,"BoundingBox(left=-79.48500246404875, bottom=-14.516864822899876, right=-68.65185912673779, top=-0.038537725688727265)",,uint8,"[0, 3, 4, 6, 9, 11, 12, 13, 15, 21, 23, 24, 25, 27, 29, 30, 33, 35, 40, 66, 68]",38.79
1993,mapbiomas-peru-collection-30-amazoniaperu-1993.tif,EPSG:4326,"| 0.00, 0.00,-79.49|
| 0.00,-0.00,-0.04|
