anio,archivo_salida,dtype_salida,nodata_salida,clases_unicas_salida,total_pixeles,bosque_pix,nobosque_pix,nodata_pix,bosque_pct,nobosque_pct,nodata_pct
1985,bosque_nobosque_amazonia_1985.tif,uint8,255,"[0, 1, 255]",2159597352,804598043,80956199,1274043110,37.256854,3.748671,58.994475
1986,bosque_nobosque_amazonia_1986.tif,uint8,255,"[0, 1, 255]",2159597352,805484522,80069720,1274043110,37.297903,3.707623,58.994475
1987,bosque_nobosque_amazonia_1987.tif,uint8,255,"[0, 1, 255]",2159597352,805981413,79572829,1274043110,37.320911,3.684614,58.994475
1988,bosque_nobosque_amazonia_1988.tif,uint8,255,"[0, 1, 255]",2159597352,805466324,80087918,1274043110,37.29706,3.708465,58.994475
1989,bosque_nobosque_amazonia_1989.tif,uint8,255,"[0, 1, 255]",2159597352,804901181,80653061,1274043110,37.270891,3.734634,58.994475
1990,bosque_nobosque_amazonia_1990.tif,uint8,255,"[0, 1, 255]",2159597352,804624456,80929786,1274043110,37.258078,3.747448,58.994475
1991,bosque_nobosque_amazonia_1991.tif,uint8,255,"[0, 1, 255]",2159597352,804777597,80776645,1274043110,37.265169,3.740357,58.994475
1992,bosque_nobosque_amazonia_1992.tif,uint8,255,"[0, 1, 255]",2159597352,804553350,81000892,1274043110,37.254785,3.75074,58.994475
1993,bosque_nobosque_amazonia_1993.tif,uint8,255,"[0, 1, 255]",2159597352,804497588,81056654,1274043110,37.252203,3.753323,58.994475
1994,bosque_nobosque_amazonia_1994.tif,uint8,255,"[0, 1, 255]",2159597352,804072418,81481824,1274043110,37.232515,3.77301,58.994475
1995,bosque_nobosque_amazonia_1995.tif,uint8,255,"[0, 1, 255]",2159597352,803972399,81581843,1274043110,37.227884,3.777641,58.994475
1996,bosque_nobosque_amazonia_1996.tif,uint8,255,"[0, 1, 255]",2159597352,803300377,82253865,1274043110,37.196766,3.808759,58.994475
1997,bosque_nobosque_amazonia_1997.tif,uint8,255,"[0, 1, 255]",2159597352,802688501,82865741,1274043110,37.168433,3.837092,58.994475
1998,bosque_nobosque_amazonia_1998.tif,uint8,255,"[0, 1, 255]",2159597352,801868639,83685603,1274043110,37.13047,3.875056,58.994475
1999,bosque_nobosque_amazonia_1999.tif,uint8,255,"[0, 1, 255]",2159597352,800995871,84558371,1274043110,37.090056,3.915469,58.994475
2000,bosque_nobosque_amazonia_2000.tif,uint8,255,"[0, 1, 255]",2159597352,800414504,85139738,1274043110,37.063136,3.942389,58.994475
2001,bosque_nobosque_amazonia_2001.tif,uint8,255,"[0, 1, 255]",2159597352,799656609,85897633,1274043110,37.028042,3.977484,58.994475
2002,bosque_nobosque_amazonia_2002.tif,uint8,255,"[0, 1, 255]",2159597352,799332241,86222001,1274043110,37.013022,3.992504,58.994475
2003,bosque_nobosque_amazonia_2003.tif,uint8,255,"[0, 1, 255]",2159597352,798736116,86818126,1274043110,36.985418,4.020107,58.994475
2004,bosque_nobosque_amazonia_2004.tif,uint8,255,"[0, 1, 255]",2159597352,798352258,87201984,1274043110,36.967644,4.037882,58.994475
2005,bosque_nobosque_amazonia_2005.tif,uint8,255,"[0, 1, 255]",2159597352,797392376,88161866,1274043110,36.923197,4.082329,58.994475
2006,bosque_nobosque_amazonia_2006.tif,uint8,255,"[0, 1, 255]",2159597352,796827941,88726301,1274043110,36.89706,4.108465,58.994475
2007,bosque_nobosque_amazonia_2007.tif,uint8,255,"[0, 1, 255]",2159597352,796124881,89429361,1274043110,36.864505,4.14102,58.994475
2008,bosque_nobosque_amazonia_2008.tif,uint8,255,"[0, 1, 255]",2159597352,795388108,90166134,1274043110,36.830389,4.175136,58.994475
2009,bosque_nobosque_amazonia_2009.tif,uint8,255,"[0, 1, 255]",2159597352,794529674,91024568,1274043110,36.790639,4.214886,58.994475
2010,bosque_nobosque_amazonia_2010.tif,uint8,255,"[0, 1, 255]",2159597352,793332588,92221654,1274043110,36.735208,4.270317,58.994475
2011,bosque_nobosque_amazonia_2011.tif,uint8,255,"[0, 1, 255]",2159597352,792463694,93090548,1274043110,36.694974,4.310551,58.994475
2012,bosque_nobosque_amazonia_2012.tif,uint8,255,"[0, 1, 255]",2159597352,791279533,94274709,1274043110,36.640142,4.365384,58.994475
2013,bosque_nobosque_amazonia_2013.tif,uint8,255,"[0, 1, 255]",2159597352,790147288,95406954,1274043110,36.587713,4.417812,58.994475
2014,bosque_nobosque_amazonia_2014.tif,uint8,255,"[0, 1, 255]",2159597352,789204149,96350093,1274043110,36.544041,4.461484,58.994475
2015,bosque_nobosque_amazonia_2015.tif,uint8,255,"[0, 1, 255]",2159597352,788228169,97326073,1274043110,36.498849,4.506677,58.994475
2016,bosque_nobosque_amazonia_2016.tif,uint8,255,"[0, 1, 255]",2159597352,787690635,97863607,1274043110,36.473958,4.531567,58.994475
