GEOCODE,CATEG_ID,LEVEL_1,Departamento,LEVEL_3,Distrito,NAME_STD,SOURCE,VERSION,FEATURE_ID,NAME,CATEG_NAME,area_total,area_intersectada,porcentaje_amazonia,Píxeles Totales,Píxeles Cambio,Píxeles No Cambio,% Cambio
250305,95,Perú,Ucayali,Padre Abad,Alexander Von Humboldt,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,960,[Alexander Von Humboldt][Padre Abad][Ucayali][Perú],POLITICAL_LEVEL_4,205125939.99026644,205125939.99026653,1.0000000000000004,233948,174147,59801,74.44
220509,95,Perú,San Martin,Lamas,Shanao,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1339,[Shanao][Lamas][San Martin][Perú],POLITICAL_LEVEL_4,24347695.206635427,24347695.206635423,0.9999999999999999,27901,19725,8176,70.7
250304,95,Perú,Ucayali,Padre Abad,Neshuya,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,962,[Neshuya][Padre Abad][Ucayali][Perú],POLITICAL_LEVEL_4,623370244.1602973,623370244.1602986,1.000000000000002,708970,500177,208793,70.55
220501,95,Perú,San Martin,Lamas,Lamas,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1338,[Lamas][Lamas][San Martin][Perú],POLITICAL_LEVEL_4,129420429.1293522,129420429.12935221,1.0000000000000002,146917,95686,51231,65.13
220902,95,Perú,San Martin,San Martin,Alberto Leveau,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,956,[Alberto Leveau][San Martin][San Martin][Perú],POLITICAL_LEVEL_4,51772472.53795619,51772472.53795622,1.0000000000000007,58972,37191,21781,63.07
250102,95,Perú,Ucayali,Coronel Portillo,Campoverde,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1656,[Campoverde][Coronel Portillo][Ucayali][Perú],POLITICAL_LEVEL_4,1324676230.90118,1324676230.9011831,1.0000000000000024,1503932,897246,606686,59.66
220702,95,Perú,San Martin,Picota,Buenos Aires,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1328,[Buenos Aires][Picota][San Martin][Perú],POLITICAL_LEVEL_4,311178535.88157827,311178535.88157797,0.999999999999999,352143,208024,144119,59.07
220502,95,Perú,San Martin,Lamas,Alonso De Alvarado,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1342,[Alonso De Alvarado][Lamas][San Martin][Perú],POLITICAL_LEVEL_4,296287671.4129445,296287671.4129447,1.0000000000000007,335241,194816,140425,58.11
220404,95,Perú,San Martin,Huallaga,Piscoyacu,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,903,[Piscoyacu][Huallaga][San Martin][Perú],POLITICAL_LEVEL_4,179751458.90612787,179751458.90612793,1.0000000000000002,204051,117822,86229,57.74
220708,95,Perú,San Martin,Picota,Shamboyacu,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,906,[Shamboyacu][Picota][San Martin][Perú],POLITICAL_LEVEL_4,392298872.48932654,392298872.4893264,0.9999999999999997,444346,255798,188548,57.57
220204,95,Perú,San Martin,Bellavista,Huallaga,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,894,[Huallaga][Bellavista][San Martin][Perú],POLITICAL_LEVEL_4,256294890.4614644,256294890.4614645,1.0000000000000004,292223,167166,125057,57.2
220605,95,Perú,San Martin,Mariscal Caceres,Pajarillo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,892,[Pajarillo][Mariscal Caceres][San Martin][Perú],POLITICAL_LEVEL_4,454315143.48834294,454315143.48834234,0.9999999999999987,515197,291451,223746,56.57
010703,95,Perú,Amazonas,Utcubamba,Cumba,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1233,[Cumba][Utcubamba][Amazonas][Perú],POLITICAL_LEVEL_4,301835290.94134116,181614472.1095562,0.6017005882352281,339031,191265,147766,56.42
220704,95,Perú,San Martin,Picota,Pilluana,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1253,[Pilluana][Picota][San Martin][Perú],POLITICAL_LEVEL_4,68348126.52807753,68348126.52807765,1.0000000000000018,77967,43346,34621,55.6
220104,95,Perú,San Martin,Moyobamba,Jepelacio,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1350,[Jepelacio][Moyobamba][San Martin][Perú],POLITICAL_LEVEL_4,386196846.89082146,386196846.89082205,1.0000000000000016,436869,242195,194674,55.44
220505,95,Perú,San Martin,Lamas,Cuñumbuqui,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1334,[Cuñumbuqui][Lamas][San Martin][Perú],POLITICAL_LEVEL_4,182047971.86202258,182047971.86202243,0.9999999999999992,206858,112762,94096,54.51
220507,95,Perú,San Martin,Lamas,Rumisapa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,985,[Rumisapa][Lamas][San Martin][Perú],POLITICAL_LEVEL_4,33244324.865981184,33244324.865981176,0.9999999999999998,37992,20554,17438,54.1
220913,95,Perú,San Martin,San Martin,Sauce,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,837,[Sauce][San Martin][San Martin][Perú],POLITICAL_LEVEL_4,100795806.58189286,100795806.58189294,1.0000000000000007,114615,61904,52711,54.01
010608,95,Perú,Amazonas,Rodriguez De Mendoza,Milpuc,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1248,[Milpuc][Rodriguez De Mendoza][Amazonas][Perú],POLITICAL_LEVEL_4,42983115.80728012,42983115.80728011,0.9999999999999997,48938,26307,22631,53.76
220405,95,Perú,San Martin,Huallaga,Sacanche,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,897,[Sacanche][Huallaga][San Martin][Perú],POLITICAL_LEVEL_4,161729743.26145104,161729743.2614511,1.0000000000000004,183740,98631,85109,53.68
220709,95,Perú,San Martin,Picota,Tingo De Ponasa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,907,[Tingo De Ponasa][Picota][San Martin][Perú],POLITICAL_LEVEL_4,335197746.6456932,335197746.6456929,0.9999999999999991,379893,201295,178598,52.99
220304,95,Perú,San Martin,El Dorado,Santa Rosa,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1327,[Santa Rosa][El Dorado][San Martin][Perú],POLITICAL_LEVEL_4,249213680.58880296,249213680.58880296,1.0,282602,146478,136124,51.83
100903,95,Perú,Huanuco,Puerto Inca,Honoria,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,867,[Honoria][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4,948542425.8598349,948542425.8598348,0.9999999999999999,1077000,550862,526138,51.15
220203,95,Perú,San Martin,Bellavista,Bajo Biavo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,895,[Bajo Biavo][Bellavista][San Martin][Perú],POLITICAL_LEVEL_4,1122106368.4966567,1122106368.4966564,0.9999999999999998,1269186,643725,625461,50.72
220710,95,Perú,San Martin,Picota,Tres Unidos,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1326,[Tres Unidos][Picota][San Martin][Perú],POLITICAL_LEVEL_4,370367666.2351454,370367666.23514575,1.0000000000000009,419316,210510,208806,50.2
220510,95,Perú,San Martin,Lamas,Tabalosos,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1341,[Tabalosos][Lamas][San Martin][Perú],POLITICAL_LEVEL_4,361962382.8856757,361962382.8856762,1.0000000000000013,409936,205190,204746,50.05
100904,95,Perú,Huanuco,Puerto Inca,Tournavista,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,868,[Tournavista][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4,1739561077.7174184,1739561077.7174184,1.0,1977045,970476,1006569,49.09
010701,95,Perú,Amazonas,Utcubamba,Bagua Grande,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1456,[Bagua Grande][Utcubamba][Amazonas][Perú],POLITICAL_LEVEL_4,729486702.4694035,456039773.5447789,0.6251515922100119,819977,399293,420684,48.7
220701,95,Perú,San Martin,Picota,Picota,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,908,[Picota][Picota][San Martin][Perú],POLITICAL_LEVEL_4,217240958.738896,217240958.73889625,1.000000000000001,246335,119887,126448,48.67
220403,95,Perú,San Martin,Huallaga,El Eslabon,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,901,[El Eslabon][Huallaga][San Martin][Perú],POLITICAL_LEVEL_4,124656136.55236387,124656136.5523639,1.0000000000000002,141590,68504,73086,48.38
250105,95,Perú,Ucayali,Coronel Portillo,Yarinacocha,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1657,[Yarinacocha][Coronel Portillo][Ucayali][Perú],POLITICAL_LEVEL_4,661183531.8305744,661183531.830574,0.9999999999999994,750576,359799,390777,47.94
220914,95,Perú,San Martin,San Martin,Shapaja,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1333,[Shapaja][San Martin][San Martin][Perú],POLITICAL_LEVEL_4,237667844.02904293,237667844.0290428,0.9999999999999994,269288,127333,141955,47.29
010707,95,Perú,Amazonas,Utcubamba,Yamon,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1298,[Yamon][Utcubamba][Amazonas][Perú],POLITICAL_LEVEL_4,135689299.33822453,97693917.96983579,0.7199824779573816,153208,72290,80918,47.18
010705,95,Perú,Amazonas,Utcubamba,Jamalca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1299,[Jamalca][Utcubamba][Amazonas][Perú],POLITICAL_LEVEL_4,351217160.3715719,319711273.05610096,0.9102951368260619,396057,185921,210136,46.94
220205,95,Perú,San Martin,Bellavista,San Pablo,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1325,[San Pablo][Bellavista][San Martin][Perú],POLITICAL_LEVEL_4,347995171.20809126,347995171.20809174,1.0000000000000013,394100,184857,209243,46.91
220705,95,Perú,San Martin,Picota,Pucacaca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1324,[Pucacaca][Picota][San Martin][Perú],POLITICAL_LEVEL_4,202903579.04373014,202903579.04373026,1.0000000000000007,230461,106704,123757,46.3
220601,95,Perú,San Martin,Mariscal Caceres,Juanjui,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1648,[Juanjui][Mariscal Caceres][San Martin][Perú],POLITICAL_LEVEL_4,447691909.6028438,447691909.602844,1.0000000000000004,508439,234552,273887,46.13
100905,95,Perú,Huanuco,Puerto Inca,Yuyapichis,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,872,[Yuyapichis][Puerto Inca][Huanuco][Perú],POLITICAL_LEVEL_4,2065080020.7990987,2065080020.7991025,1.0000000000000018,2349624,1082888,1266736,46.09
100608,95,Perú,Huanuco,Leoncio Prado,Castillo Grande,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1535,[Castillo Grande][Leoncio Prado][Huanuco][Perú],POLITICAL_LEVEL_4,104312075.55059184,104312075.55059204,1.0000000000000018,119465,54075,65390,45.26
220302,95,Perú,San Martin,El Dorado,Agua Blanca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1329,[Agua Blanca][El Dorado][San Martin][Perú],POLITICAL_LEVEL_4,152651187.65342048,152651187.65342048,1.0,173255,78380,94875,45.24
250306,95,Perú,Ucayali,Padre Abad,Huipoca,"LEVEL_4,LEVEL_3,LEVEL_2,LEVEL_1",INEI,2023,1228,[Huipoca][Padre Abad][Ucayali][Perú],POLITICAL_LEVEL_4,589717283.734072,589717283.7340732,1.000000000000002,671649,302824,368825,45.09
