id,Distrito,Píxeles Totales,Píxeles Cambio,pixeles_no_cambiados,% Cambio,Categoría
71,Alexander Von Humboldt,233948,171149,62799,73.16,Muy Alto
73,Neshuya,708970,495462,213508,69.88,Muy Alto
194,Shanao,27901,17872,10029,64.06,Muy Alto
244,Campoverde,1503932,885200,618732,58.86,Muy Alto
193,Lamas,146917,84828,62089,57.74,Muy Alto
68,Alberto Leveau,58972,33727,25245,57.19,Muy Alto
60,Shamboyacu,444346,253432,190914,57.03,Muy Alto
183,Buenos Aires,352143,199876,152267,56.76,Muy Alto
197,Alonso De Alvarado,335241,189045,146196,56.39,Muy Alto
50,Huallaga,292223,164235,127988,56.2,Muy Alto
57,Piscoyacu,204051,112073,91978,54.92,Muy Alto
49,Pajarillo,515197,280032,235165,54.35,Muy Alto
205,Jepelacio,436869,231669,205200,53.03,Muy Alto
189,Cuñumbuqui,206858,106458,100400,51.46,Muy Alto
61,Tingo De Ponasa,379893,194993,184900,51.33,Muy Alto
78,Rumisapa,37992,19468,18524,51.24,Muy Alto
38,Honoria,1077000,548951,528049,50.97,Muy Alto
119,Pilluana,77967,39390,38577,50.52,Muy Alto
51,Bajo Biavo,1269186,635499,633687,50.07,Muy Alto
52,Sacanche,183740,91991,91749,50.07,Muy Alto
116,Milpuc,48938,24329,24609,49.71,Muy Alto
182,Santa Rosa,282602,140393,142209,49.68,Muy Alto
181,Tres Unidos,419316,204722,214594,48.82,Muy Alto
39,Tournavista,1977045,961389,1015656,48.63,Muy Alto
34,Sauce,114615,55586,59029,48.5,Muy Alto
62,Picota,246335,115906,130429,47.05,Muy Alto
245,Yarinacocha,750576,345551,405025,46.04,Muy Alto
41,Yuyapichis,2349624,1073588,1276036,45.69,Muy Alto
180,San Pablo,394100,175728,218372,44.59,Muy Alto
196,Tabalosos,409936,180169,229767,43.95,Muy Alto
238,Juanjui,508439,223399,285040,43.94,Muy Alto
179,Pucacaca,230461,101231,129230,43.93,Muy Alto
107,Huipoca,671649,294344,377305,43.82,Muy Alto
192,San Martin,588430,252363,336067,42.89,Muy Alto
56,El Eslabon,141590,60432,81158,42.68,Muy Alto
187,Shatoja,70758,29755,41003,42.05,Muy Alto
184,Agua Blanca,173255,72829,100426,42.04,Muy Alto
154,Florida,251386,105535,145851,41.98,Muy Alto
76,San Jose De Sisa,349155,146494,202661,41.96,Muy Alto
