zona_id,area_km2,n_pixels,centroid_lat,centroid_lon,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc
2291,9227.884904,10406119.000000,-8.558138,-75.066140,22182,13979,37060,19672
1995,4256.473301,4799948.000000,-6.375459,-76.869360,20324,6600,27175,12243
3049,3606.054965,4066483.000000,-9.518743,-74.245918,30397,16653,42026,23843
4663,3023.611471,3409672.000000,-12.797147,-70.173958,45298,29475,49629,38212
1758,2538.865738,2863033.000000,-5.940470,-76.106912,18631,9863,23998,14445
512,1570.190107,1770675.000000,-4.239852,-73.364241,12914,20833,18394,24847
2550,1564.161811,1763877.000000,-7.050320,-76.224822,24284,11121,27426,12897
4463,955.666644,1077688.000000,-12.231001,-73.960673,43352,19509,47444,21976
1674,843.374342,951058.000000,-5.263357,-79.100537,18274,432,20467,2249
3047,826.089326,931566.000000,-9.002244,-76.030559,30382,11647,35853,13900
4119,761.343232,858553.000000,-11.346480,-69.473076,40452,35628,43783,38340
1670,722.042256,814234.000000,-5.341897,-74.181015,18257,18692,21477,20902
2713,713.967284,805128.000000,-7.427545,-76.576666,26093,10185,28842,11546
3723,631.606293,712251.000000,-10.178042,-74.976307,36406,15978,38965,17677
389,582.181896,656516.000000,-3.483025,-72.480916,11999,23836,13388,28717
2142,541.496664,610636.000000,-5.943373,-78.471509,21316,2995,22799,4463
1972,532.552653,600550.000000,-5.706241,-79.025351,20140,943,22084,2396
4137,478.078959,539121.000000,-11.337304,-74.469981,40577,17905,43271,19200
2054,439.832358,495991.000000,-5.859759,-74.625839,20711,17027,22542,19328
1890,419.651136,473233.000000,-5.668035,-78.288518,19485,3525,22275,5480
4730,380.234879,428784.000000,-12.626977,-72.932831,45928,23115,47313,25705
1352,366.013670,412747.000000,-4.828756,-77.964513,16569,4653,18654,6752
456,314.935437,355147.000000,-3.637503,-73.344953,12577,22065,14140,23720
4092,300.708908,339104.000000,-11.044158,-74.858632,40268,16164,41436,18004
2273,297.168016,335111.000000,-6.327165,-77.910862,22112,4918,24926,6437
2966,292.862724,330256.000000,-8.283443,-76.609595,29672,9453,31511,11228
1633,273.584238,308516.000000,-5.214128,-78.672176,18078,2329,20020,3932
2044,270.705767,305270.000000,-5.874577,-77.828523,20654,5455,22696,7111
722,264.327195,298077.000000,-3.932455,-70.554839,14164,31571,14975,34530
650,260.154033,293371.000000,-3.896732,-71.442547,13835,29110,14698,30702
2362,255.225338,287813.000000,-6.346444,-78.186706,22656,4036,24322,5457
4758,252.817744,285098.000000,-12.661578,-72.406544,46198,25377,47482,27333
2899,247.057254,278602.000000,-8.069808,-76.539833,28789,10210,30644,11743
2455,245.186159,276492.000000,-6.526764,-77.441014,23503,6704,24986,8243
390,225.222197,253979.000000,-3.561917,-71.600041,12006,27809,14608,30846
1287,221.960639,250301.000000,-4.610455,-77.924664,16329,4980,17676,6776
3753,211.856726,238907.000000,-10.096506,-75.298456,36652,15012,38019,15918
3297,204.006994,230055.000000,-8.930300,-76.179053,32346,11725,33731,12638
4912,195.223489,220150.000000,-12.991817,-72.605698,47126,25049,49128,26308
3185,177.472917,200133.000000,-8.623453,-76.355735,31381,11143,32403,11987
343,176.059397,198539.000000,-3.308128,-73.129305,11314,23129,12904,24845
2341,169.983216,191687.000000,-6.249056,-77.668904,22509,6110,23547,7456
3666,164.257311,185230.000000,-9.780976,-75.968652,35874,12358,36563,13808
2391,160.125826,180571.000000,-6.467570,-75.716284,22963,13330,24532,14489
68,156.229338,176177.000000,-1.820666,-74.547554,5212,17683,7967,20005
1618,156.118491,176052.000000,-5.028215,-78.922795,18013,1745,19251,2375
1262,146.717790,165451.000000,-4.616738,-77.335800,16248,7277,17826,9485
4696,145.986201,164626.000000,-12.475320,-69.102557,45557,38267,46623,38987
1424,143.739113,162092.000000,-4.812139,-76.713086,16912,8832,18083,11464
5342,139.508311,157321.000000,-14.052906,-68.978431,51396,38449,52585,39528
2752,135.402543,152691.000000,-7.385310,-76.721549,26811,9913,27816,10515
1661,134.757858,151964.000000,-5.038706,-75.722608,18206,12541,18855,14723
1943,122.474252,138112.000000,-5.523191,-74.544117,19899,17751,20826,18971
3417,119.851172,135154.000000,-9.203929,-76.096213,33584,11769,34892,13067
850,117.213017,132179.000000,-4.141879,-70.080023,14650,34461,16058,35369
4489,111.973064,126270.000000,-11.915353,-69.122945,43642,38015,44800,38724
3992,111.698164,125960.000000,-10.869048,-74.885068,39687,16511,40748,17782
4674,110.181779,124250.000000,-12.396008,-69.182964,45399,37928,46464,38514
4417,105.708886,119206.000000,-11.711286,-74.018356,42833,19954,43854,20633
2517,104.319310,117639.000000,-6.643705,-77.709590,23936,6254,25205,6991
4150,94.958514,107083.000000,-11.056264,-74.293551,40636,18912,41172,19507
1565,94.213623,106243.000000,-4.944113,-76.306808,17680,11043,18490,12526
671,94.102776,106118.000000,-3.895537,-70.819014,13928,31375,14647,32897
3961,92.962384,104832.000000,-10.761590,-75.204106,39441,15534,40202,16194
1337,91.854802,103583.000000,-4.603847,-74.228132,16518,18849,17343,19967
4738,89.949123,101434.000000,-12.557258,-72.205994,45979,26357,46972,27657
1679,86.746979,97823.000000,-5.253248,-76.788097,18280,9740,20045,10194
1298,85.518796,96438.000000,-4.532259,-73.759975,16356,20047,16971,21885
520,84.426289,95206.000000,-3.903750,-77.778496,12995,5954,15160,6586
408,84.258689,95017.000000,-3.429202,-72.086325,12186,25846,12980,28291
3674,83.047354,93651.000000,-9.834590,-74.900788,35963,16737,36715,17253
4918,82.679342,93236.000000,-12.886443,-72.420999,47151,25882,48259,26696
2719,78.567367,88599.000000,-7.273837,-75.451687,26193,14348,27041,15508
4203,76.720215,86516.000000,-11.207027,-73.029508,41029,23125,42046,24217
1746,76.535766,86308.000000,-5.239413,-77.003825,18582,8643,19775,9558
3591,73.467525,82848.000000,-9.626581,-74.910278,35299,16725,35884,17363
3828,70.545602,79553.000000,-10.231063,-75.163778,37410,15721,38165,16324
2172,69.589659,78475.000000,-5.926853,-78.234081,21572,4419,22123,4851
54,68.130027,76829.000000,-1.329714,-74.799005,4257,16834,5221,17999
2359,62.816472,70837.000000,-6.241751,-74.403022,22622,18700,23472,19035
2633,62.804944,70824.000000,-6.888564,-76.613005,25087,10422,25706,10845
784,62.308350,70264.000000,-4.016553,-71.136101,14385,30556,14979,31424
3442,62.233861,70180.000000,-9.219346,-76.356164,33834,11137,34340,11988
3751,62.144297,70079.000000,-9.993230,-74.967525,36648,16485,37279,17004
155,61.208749,69024.000000,-2.368111,-73.854202,8251,20082,9064,21570
3988,61.162637,68972.000000,-10.832603,-75.282191,39646,15404,40527,15807
339,61.097902,68899.000000,-3.221235,-77.849419,11180,5803,12449,6260
4816,60.972867,68758.000000,-12.655635,-69.154576,46605,38021,47102,38598
2673,60.821229,68587.000000,-7.186997,-76.999332,25567,8839,27146,9775
2508,60.255466,67949.000000,-6.552084,-76.126003,23852,11961,24419,13143
2548,59.412143,66998.000000,-6.625691,-76.095248,24234,12225,24911,12880
3321,57.601349,64956.000000,-8.931313,-74.291173,32702,19036,33300,19541
938,56.959324,64232.000000,-4.146512,-70.770391,15046,32023,15493,32551
1862,56.946022,64217.000000,-5.346287,-78.742575,19337,2497,19929,3052
1686,56.753592,64000.000000,-5.089469,-73.831846,18310,20808,19235,21221
2127,56.737630,63982.000000,-5.822283,-76.131255,21245,12240,21693,12664
5088,56.334148,63527.000000,-13.070053,-70.360305,47997,33649,48613,34120
2771,56.168321,63340.000000,-7.425339,-76.392214,27101,11275,27761,11667
556,55.289527,62349.000000,-3.696378,-71.744368,13226,28233,13914,29224
1847,55.043003,62071.000000,-5.282658,-76.300605,19215,11464,19713,12078
675,54.109229,61018.000000,-3.850710,-70.371312,13959,33501,14392,34203
2498,52.608806,59326.000000,-6.529675,-77.240920,23793,8050,24390,8526
2121,52.394207,59084.000000,-5.826825,-78.018142,21197,5170,21897,5637
1035,52.205324,58871.000000,-4.243868,-70.888819,15418,31682,15822,32164
2738,51.028574,57544.000000,-7.303416,-76.953472,26531,9039,27283,9779
1293,50.513357,56963.000000,-4.570294,-78.209026,16342,4285,17188,4987
599,50.448623,56890.000000,-3.780369,-76.391256,13542,11304,14249,11713
3891,49.481151,55799.000000,-10.490818,-75.468128,38524,14552,39073,15108
852,49.403115,55711.000000,-4.072859,-70.247544,14662,34082,15266,34468
1924,49.228421,55514.000000,-5.435004,-78.606116,19714,2952,20172,3631
1800,49.035104,55296.000000,-5.199081,-78.311107,18915,3981,19366,4696
2521,48.621867,54830.000000,-6.568584,-77.892724,23976,5610,24581,6130
2423,47.443343,53501.000000,-6.450030,-75.120850,23283,16013,24129,16440
4274,46.126482,52016.000000,-11.390143,-74.169851,41548,19386,42613,20123
2795,44.728925,50440.000000,-7.512625,-76.225324,27434,11942,27999,12249
1,44.615418,50312.000000,-0.184006,-74.945770,10,15650,826,17560
5394,44.579947,50272.000000,-14.233987,-69.154910,52320,38066,53012,38664
4210,44.257161,49908.000000,-11.190290,-75.370683,41109,14961,41716,15452
1619,44.138333,49774.000000,-4.954735,-79.328161,18015,339,18442,827
1656,44.006203,49625.000000,-5.008069,-76.675617,18189,10122,18592,10849
3335,43.528232,49086.000000,-8.982889,-74.106869,32860,19754,33476,20147
1960,43.271954,48797.000000,-5.510686,-74.350844,20065,18765,20532,19271
3458,42.588250,48026.000000,-9.244256,-76.158888,34022,11971,34368,12668
4849,41.684627,47007.000000,-12.710137,-73.780336,46795,20951,47247,21382
5184,40.972546,46204.000000,-13.232353,-70.633148,48743,32251,49284,33409
975,40.745532,45948.000000,-4.232192,-74.778394,15184,17197,15899,17992
1801,39.779834,44859.000000,-5.298775,-74.125726,18916,19569,19985,20038
1341,39.778061,44857.000000,-4.566723,-73.915539,16531,20133,17125,21014
1885,39.543952,44593.000000,-5.323138,-76.492868,19462,10766,19805,11470
4209,38.928530,43899.000000,-11.160016,-74.235205,41105,19031,41474,19807
3834,38.671366,43609.000000,-10.217262,-74.827594,37497,16994,38084,17609
2509,38.638555,43572.000000,-6.556634,-76.431712,23855,11064,24420,11603
2478,38.403560,43307.000000,-6.471862,-75.332600,23659,15077,24172,15678
4719,38.286505,43175.000000,-12.417004,-72.550401,45822,25346,46110,26004
3295,38.284732,43173.000000,-8.820224,-74.097360,32345,19758,32814,20214
5363,38.017813,42872.000000,-14.075561,-69.223095,51780,37674,52507,38411
184,37.830703,42661.000000,-2.437904,-73.822284,8541,19969,9237,21681
3378,37.808534,42636.000000,-9.070344,-74.269996,33288,19118,33781,19536
673,37.723403,42540.000000,-3.885541,-73.185418,13932,23236,14628,23513
283,37.474220,42259.000000,-2.874551,-76.425431,10168,10870,11083,11545
4265,37.452050,42234.000000,-11.296856,-73.652255,41485,21378,42211,22064
239,37.310166,42074.000000,-2.616460,-73.545915,9197,21778,9995,22205
1476,37.048568,41779.000000,-4.797428,-77.531635,17172,6789,18012,7720
3232,36.736423,41427.000000,-8.729506,-75.381102,31817,15064,32628,15362
2343,36.646859,41326.000000,-6.141030,-74.356859,22514,18836,22820,19286
3310,35.777819,40346.000000,-8.880456,-73.904224,32459,20325,33168,21402
914,35.287433,39793.000000,-4.117243,-70.623814,14923,32693,15414,33035
39,34.583333,38999.000000,-1.094880,-75.062610,3471,15547,4497,16927
4715,34.303113,38683.000000,-12.466596,-72.921026,45801,24101,46359,24703
1730,33.723162,38029.000000,-5.106293,-79.375427,18527,190,19103,618
2395,32.744162,36925.000000,-6.299896,-74.332311,22992,19003,23564,19292
2680,32.563260,36721.000000,-7.026732,-76.690502,25678,10145,26158,10616
567,31.738560,35791.000000,-3.794881,-78.299249,13329,4182,14502,4607
126,31.494697,35516.000000,-2.204715,-74.151114,7696,19200,8614,20149
4283,31.421981,35434.000000,-11.319386,-74.724650,41604,17349,42117,17963
1869,31.300493,35297.000000,-5.291761,-74.476086,19362,18414,19674,18781
5416,31.165703,35145.000000,-14.312805,-69.290419,52610,37617,53406,38020
3238,30.423473,34308.000000,-8.645414,-76.860864,31844,9340,32029,10055
2931,30.327701,34200.000000,-8.000409,-76.707502,29242,10070,29749,10457
