geocode,departamento,distrito,rmse,mae
060810,Cajamarca,San Felipe,0.036726,0.03277
060904,Cajamarca,La Coipa,0.03369,0.026759
060901,Cajamarca,San Ignacio,0.032816,0.021435
100804,Huanuco,Umari,0.0241,0.019854
060902,Cajamarca,Chirinos,0.030026,0.019661
160101,Loreto,Iquitos,0.022275,0.018971
060803,Cajamarca,Chontali,0.026252,0.018878
060811,Cajamarca,San Jose Del Alto,0.019824,0.015545
120304,Junin,San Luis De Shuaro,0.018852,0.015381
220507,San Martin,Rumisapa,0.016124,0.015229
010706,Amazonas,Lonya Grande,0.016424,0.015196
010115,Amazonas,Montevideo,0.026017,0.014826
120209,Junin,Mariscal Castilla,0.019773,0.014733
220204,San Martin,Huallaga,0.015959,0.014335
250306,Ucayali,Huipoca,0.015057,0.014328
060804,Cajamarca,Colasay,0.017061,0.013993
010610,Amazonas,Santa Rosa,0.017254,0.013677
100505,Huanuco,Jircan,0.015172,0.013548
100113,Huanuco,San Pablo De Pillao,0.020157,0.013379
220902,San Martin,Alberto Leveau,0.013826,0.013376
220302,San Martin,Agua Blanca,0.014306,0.013338
250105,Ucayali,Yarinacocha,0.015733,0.013101
060907,Cajamarca,Tabaconas,0.016704,0.012772
160603,Loreto,Padre Marquez,0.015781,0.012771
010204,Amazonas,El Parco,0.013263,0.012677
220806,San Martin,Posic,0.014747,0.012522
010611,Amazonas,Totora,0.014297,0.012454
220304,San Martin,Santa Rosa,0.014117,0.012311
220601,San Martin,Juanjui,0.014238,0.012274
100903,Huanuco,Honoria,0.014286,0.012185
220605,San Martin,Pajarillo,0.013733,0.012175
220502,San Martin,Alonso De Alvarado,0.013892,0.012117
250106,Ucayali,Nueva Requena,0.012658,0.012002
010705,Amazonas,Jamalca,0.014966,0.011752
200307,Piura,Sondor,0.013171,0.01162
010608,Amazonas,Milpuc,0.012291,0.011432
010701,Amazonas,Bagua Grande,0.01524,0.011348
220501,San Martin,Lamas,0.012683,0.011236
220510,San Martin,Tabalosos,0.011713,0.011163
220201,San Martin,Bellavista,0.012311,0.010904
220303,San Martin,San Martin,0.01192,0.010679
220405,San Martin,Sacanche,0.011507,0.010596
010119,Amazonas,San Isidro De Maino,0.011812,0.010548
220203,San Martin,Bajo Biavo,0.013195,0.01053
220106,San Martin,Yantalo,0.011422,0.010479
120602,Junin,Coviriali,0.011035,0.010435
220305,San Martin,Shatoja,0.013314,0.010403
080905,Cusco,Ocobamba,0.010287,0.010148
060807,Cajamarca,Pomahuaca,0.013835,0.010058
220912,San Martin,San Antonio,0.010293,0.009862
220706,San Martin,San Cristobal,0.010989,0.009846
120603,Junin,Llaylla,0.010683,0.009726
100103,Huanuco,Chinchao,0.010209,0.009722
120604,Junin,Mazamari,0.012061,0.009598
010306,Amazonas,Florida,0.009907,0.009462
010305,Amazonas,Cuispes,0.011652,0.009425
060809,Cajamarca,Sallique,0.011722,0.009319
250302,Ucayali,Irazola,0.011873,0.009113
200303,Piura,El Carmen De La Frontera,0.011474,0.009102
220403,San Martin,El Eslabon,0.010403,0.009034
010307,Amazonas,Jazan,0.012262,0.008976
010310,Amazonas,Shipasbamba,0.010064,0.008941
220705,San Martin,Pucacaca,0.012352,0.008783
120607,Junin,Rio Negro,0.009963,0.008719
220913,San Martin,Sauce,0.010482,0.008715
220404,San Martin,Piscoyacu,0.009532,0.008602
060801,Cajamarca,Jaen,0.009178,0.008561
220205,San Martin,San Pablo,0.009141,0.008502
080903,Cusco,Huayopata,0.010375,0.008427
010308,Amazonas,Recta,0.0102,0.008367
