modelo,window,p,d,q,rmse,mae
ARIMA_WF_w30_p1_d1_q0,30,1,1,0,0.011536,0.008301
ARIMA_WF_w25_p1_d1_q0,25,1,1,0,0.011549,0.008305
ARIMA_WF_w35_p1_d1_q0,35,1,1,0,0.01155,0.008284
ARIMA_WF_wfull_p1_d1_q0,full,1,1,0,0.011586,0.008289
ARIMA_WF_w30_p2_d1_q1,30,2,1,1,0.011615,0.008428
ARIMA_WF_w30_p1_d1_q1,30,1,1,1,0.011637,0.008374
ARIMA_WF_w20_p1_d1_q0,20,1,1,0,0.011654,0.008378
ARIMA_WF_w35_p1_d1_q1,35,1,1,1,0.011665,0.008328
ARIMA_WF_w35_p2_d1_q0,35,2,1,0,0.011697,0.008346
ARIMA_WF_w35_p1_d1_q2,35,1,1,2,0.011718,0.008394
ARIMA_WF_w30_p2_d1_q0,30,2,1,0,0.011735,0.008397
ARIMA_WF_w35_p2_d1_q1,35,2,1,1,0.011737,0.008387
ARIMA_WF_wfull_p1_d1_q1,full,1,1,1,0.011746,0.008391
ARIMA_WF_w25_p1_d1_q1,25,1,1,1,0.011754,0.008473
ARIMA_WF_w30_p1_d1_q2,30,1,1,2,0.011755,0.008447
ARIMA_WF_w15_p1_d1_q0,15,1,1,0,0.011764,0.008428
ARIMA_WF_wfull_p2_d1_q0,full,2,1,0,0.011766,0.008363
ARIMA_WF_wfull_p2_d1_q1,full,2,1,1,0.011768,0.008452
ARIMA_WF_w25_p2_d1_q1,25,2,1,1,0.011785,0.008525
ARIMA_WF_w25_p2_d1_q0,25,2,1,0,0.011807,0.008422
ARIMA_WF_w35_p2_d1_q2,35,2,1,2,0.011813,0.008454
ARIMA_WF_w20_p1_d1_q1,20,1,1,1,0.011859,0.008525
ARIMA_WF_w30_p2_d1_q2,30,2,1,2,0.011861,0.008532
ARIMA_WF_w15_p1_d1_q1,15,1,1,1,0.011867,0.008568
ARIMA_WF_w25_p1_d1_q2,25,1,1,2,0.01188,0.008578
ARIMA_WF_w20_p2_d1_q0,20,2,1,0,0.011926,0.008518
ARIMA_WF_w20_p2_d1_q1,20,2,1,1,0.011938,0.008602
ARIMA_WF_w30_p0_d1_q1,30,0,1,1,0.011962,0.008806
ARIMA_WF_wfull_p1_d1_q2,full,1,1,2,0.011975,0.008544
ARIMA_WF_w35_p0_d1_q2,35,0,1,2,0.011977,0.008672
ARIMA_WF_w25_p0_d1_q1,25,0,1,1,0.011999,0.008799
ARIMA_WF_w35_p0_d1_q1,35,0,1,1,0.012004,0.0088
ARIMA_WF_wfull_p2_d1_q2,full,2,1,2,0.012028,0.008545
ARIMA_WF_w30_p0_d1_q2,30,0,1,2,0.012055,0.008781
ARIMA_WF_w7_p1_d1_q0,7,1,1,0,0.01206,0.008624
ARIMA_WF_w6_p1_d1_q0,6,1,1,0,0.012072,0.008564
ARIMA_WF_w25_p0_d1_q2,25,0,1,2,0.012073,0.008812
ARIMA_WF_w20_p0_d1_q2,20,0,1,2,0.01208,0.008785
ARIMA_WF_w10_p1_d1_q0,10,1,1,0,0.0121,0.008635
ARIMA_WF_wfull_p0_d1_q2,full,0,1,2,0.012109,0.008743
ARIMA_WF_wfull_p0_d1_q1,full,0,1,1,0.012111,0.008848
ARIMA_WF_w20_p0_d1_q1,20,0,1,1,0.012131,0.008895
ARIMA_WF_w20_p1_d1_q2,20,1,1,2,0.012133,0.008775
ARIMA_WF_w25_p2_d1_q2,25,2,1,2,0.012169,0.008768
ARIMA_WF_w5_p1_d1_q0,5,1,1,0,0.012213,0.008675
ARIMA_WF_w15_p0_d1_q1,15,0,1,1,0.012277,0.009013
ARIMA_WF_w15_p2_d1_q1,15,2,1,1,0.012316,0.008889
ARIMA_WF_w20_p2_d1_q2,20,2,1,2,0.012349,0.008852
ARIMA_WF_w10_p1_d1_q1,10,1,1,1,0.01235,0.008917
ARIMA_WF_w15_p2_d1_q0,15,2,1,0,0.012373,0.008821
ARIMA_WF_w15_p1_d1_q2,15,1,1,2,0.012464,0.00902
ARIMA_WF_w10_p0_d1_q1,10,0,1,1,0.01248,0.009174
ARIMA_WF_w15_p0_d1_q2,15,0,1,2,0.012489,0.009098
ARIMA_WF_w15_p2_d1_q2,15,2,1,2,0.012527,0.008959
ARIMA_WF_w4_p0_d1_q1,4,0,1,1,0.012548,0.009121
ARIMA_WF_w4_p1_d1_q0,4,1,1,0,0.012603,0.008931
ARIMA_WF_w3_p0_d1_q1,3,0,1,1,0.012623,0.009211
ARIMA_WF_w4_p0_d1_q2,4,0,1,2,0.012632,0.009124
ARIMA_WF_w3_p0_d1_q2,3,0,1,2,0.012641,0.009094
ARIMA_WF_w7_p1_d1_q1,7,1,1,1,0.012641,0.009138
ARIMA_WF_w7_p0_d1_q1,7,0,1,1,0.012662,0.009234
ARIMA_WF_w7_p1_d1_q2,7,1,1,2,0.012665,0.009194
ARIMA_WF_w5_p0_d1_q1,5,0,1,1,0.012671,0.009173
ARIMA_WF_w10_p2_d1_q0,10,2,1,0,0.012711,0.009036
ARIMA_WF_w6_p1_d1_q2,6,1,1,2,0.01278,0.009145
ARIMA_WF_w6_p0_d1_q1,6,0,1,1,0.012787,0.009297
ARIMA_WF_w4_p1_d1_q2,4,1,1,2,0.01284,0.009212
ARIMA_WF_w10_p1_d1_q2,10,1,1,2,0.012857,0.009329
ARIMA_WF_w10_p0_d1_q2,10,0,1,2,0.012873,0.009268
ARIMA_WF_w10_p2_d1_q1,10,2,1,1,0.012876,0.009263
ARIMA_WF_w5_p1_d1_q1,5,1,1,1,0.012897,0.009293
ARIMA_WF_w6_p0_d1_q2,6,0,1,2,0.012902,0.00929
ARIMA_WF_w4_p1_d1_q1,4,1,1,1,0.012931,0.009256
ARIMA_WF_w6_p1_d1_q1,6,1,1,1,0.012931,0.009278
ARIMA_WF_w5_p0_d1_q2,5,0,1,2,0.012951,0.009343
ARIMA_WF_w3_p1_d1_q1,3,1,1,1,0.012988,0.009287
ARIMA_WF_w7_p0_d1_q2,7,0,1,2,0.012994,0.009348
ARIMA_WF_w3_p2_d1_q1,3,2,1,1,0.013,0.009292
ARIMA_WF_w3_p2_d1_q2,3,2,1,2,0.013003,0.009285
ARIMA_WF_w3_p1_d1_q2,3,1,1,2,0.013012,0.009294
ARIMA_WF_w3_p2_d1_q0,3,2,1,0,0.01305,0.009244
ARIMA_WF_w3_p1_d1_q0,3,1,1,0,0.013067,0.009265
ARIMA_WF_w7_p2_d1_q0,7,2,1,0,0.013087,0.009414
ARIMA_WF_w5_p1_d1_q2,5,1,1,2,0.013087,0.009298
ARIMA_WF_w7_p2_d1_q1,7,2,1,1,0.013253,0.00951
ARIMA_WF_w10_p2_d1_q2,10,2,1,2,0.013283,0.00955
ARIMA_WF_w3_p0_d1_q0,3,0,1,0,0.013409,0.009766
ARIMA_WF_w4_p0_d1_q0,4,0,1,0,0.013409,0.009766
ARIMA_WF_w35_p0_d1_q0,35,0,1,0,0.013409,0.009766
ARIMA_WF_w30_p0_d1_q0,30,0,1,0,0.013409,0.009766
ARIMA_WF_w5_p0_d1_q0,5,0,1,0,0.013409,0.009766
ARIMA_WF_w6_p0_d1_q0,6,0,1,0,0.013409,0.009766
ARIMA_WF_w20_p0_d1_q0,20,0,1,0,0.013409,0.009766
ARIMA_WF_w15_p0_d1_q0,15,0,1,0,0.013409,0.009766
ARIMA_WF_w10_p0_d1_q0,10,0,1,0,0.013409,0.009766
ARIMA_WF_w7_p0_d1_q0,7,0,1,0,0.013409,0.009766
ARIMA_WF_w25_p0_d1_q0,25,0,1,0,0.013409,0.009766
ARIMA_WF_wfull_p0_d1_q0,full,0,1,0,0.013409,0.009766
ARIMA_WF_w7_p2_d1_q2,7,2,1,2,0.013437,0.009551
ARIMA_WF_w6_p2_d1_q0,6,2,1,0,0.01355,0.009607
ARIMA_WF_w5_p2_d1_q0,5,2,1,0,0.013625,0.009791
ARIMA_WF_w6_p2_d1_q1,6,2,1,1,0.013846,0.009914
ARIMA_WF_w6_p2_d1_q2,6,2,1,2,0.013909,0.009917
ARIMA_WF_w5_p2_d1_q1,5,2,1,1,0.014159,0.01017
ARIMA_WF_w4_p2_d1_q2,4,2,1,2,0.014392,0.010275
ARIMA_WF_w5_p2_d1_q2,5,2,1,2,0.014425,0.010222
ARIMA_WF_w4_p2_d1_q1,4,2,1,1,0.01455,0.010286
ARIMA_WF_w4_p2_d1_q0,4,2,1,0,0.01528,0.010614
