departamento,rmse,mae
Cajamarca,0.022447250334593997,0.017294077258553607
Loreto,0.013653037080202912,0.011818539736773397
Ucayali,0.012873194630450866,0.011812757226921421
Puno,0.013931572340862081,0.010415212960767074
San Martin,0.011890983598137953,0.00982668769322874
Huanuco,0.011851397187267403,0.009375672039624396
Piura,0.012664203806029681,0.009045428745932216
Amazonas,0.010431146585092739,0.008480517411127982
Junin,0.008832760024502239,0.007848419901672444
Madre De Dios,0.009270457534539643,0.007790517153394361
Cusco,0.007631126091458033,0.006433839418973493
Ayacucho,0.007307006650463341,0.006329871258697201
