modelo,window_size,conv_channels,kernel_size,activation,dropout,dense_size,epochs,lr,batch_size,rmse_train,mae_train,rmse_test,mae_test,gap_rmse,gap_mae,ratio_rmse,ratio_mae
CNN_w5_c16x32_k3_actrelu_d0.0_dense32_e50_lr0.001_b8,5,"[16, 32]",3,relu,0.0,32,50,0.001,8,0.009845,0.007168,0.011656,0.007969,0.001812,0.000801,1.184018,1.111715
CNN_w5_c16x32_k2_actrelu_d0.0_dense32_e50_lr0.001_b8,5,"[16, 32]",2,relu,0.0,32,50,0.001,8,0.009906,0.007279,0.011661,0.007988,0.001754,0.000709,1.177102,1.0974
CNN_w6_c32_k3_actrelu_d0.0_dense32_e50_lr0.001_b16,6,[32],3,relu,0.0,32,50,0.001,16,0.010557,0.007991,0.011683,0.008049,0.001126,5.8e-05,1.106658,1.007255
CNN_w7_c16_k3_actleaky_relu_d0.0_dense16_e50_lr0.0005_b8,7,[16],3,leaky_relu,0.0,16,50,0.0005,8,0.010253,0.007594,0.011687,0.008017,0.001434,0.000423,1.139906,1.055661
CNN_w7_c16x32_k2_actrelu_d0.0_dense16_e50_lr0.0005_b8,7,"[16, 32]",2,relu,0.0,16,50,0.0005,8,0.009947,0.007238,0.011688,0.007939,0.001741,0.000702,1.175022,1.09697
CNN_w7_c16_k2_actrelu_d0.0_dense16_e50_lr0.001_b16,7,[16],2,relu,0.0,16,50,0.001,16,0.01005,0.007425,0.011691,0.007975,0.001642,0.00055,1.163366,1.074072
CNN_w4_c32_k3_actrelu_d0.0_dense32_e50_lr0.0005_b8,4,[32],3,relu,0.0,32,50,0.0005,8,0.010312,0.007676,0.011691,0.008003,0.001379,0.000327,1.133753,1.042562
CNN_w4_c32_k3_actrelu_d0.0_dense16_e50_lr0.0005_b8,4,[32],3,relu,0.0,16,50,0.0005,8,0.010261,0.007588,0.011692,0.007993,0.001431,0.000405,1.139456,1.053394
CNN_w4_c32_k2_actrelu_d0.0_dense16_e50_lr0.0005_b8,4,[32],2,relu,0.0,16,50,0.0005,8,0.00999,0.007231,0.011698,0.007966,0.001707,0.000735,1.170898,1.101594
CNN_w7_c32_k3_actleaky_relu_d0.0_dense32_e50_lr0.001_b16,7,[32],3,leaky_relu,0.0,32,50,0.001,16,0.010257,0.007701,0.011698,0.008023,0.001441,0.000322,1.140498,1.041759
CNN_w6_c16_k2_actleaky_relu_d0.0_dense32_e50_lr0.001_b16,6,[16],2,leaky_relu,0.0,32,50,0.001,16,0.010357,0.007737,0.011707,0.008074,0.00135,0.000338,1.130351,1.043634
CNN_w7_c16x32_k2_actleaky_relu_d0.0_dense32_e50_lr0.0005_b8,7,"[16, 32]",2,leaky_relu,0.0,32,50,0.0005,8,0.010127,0.007518,0.011711,0.00802,0.001584,0.000502,1.156426,1.066731
CNN_w4_c16_k2_actleaky_relu_d0.0_dense32_e50_lr0.0005_b8,4,[16],2,leaky_relu,0.0,32,50,0.0005,8,0.01015,0.007403,0.011719,0.007963,0.00157,0.000561,1.154639,1.075749
CNN_w5_c16x32_k2_actrelu_d0.0_dense16_e50_lr0.0005_b8,5,"[16, 32]",2,relu,0.0,16,50,0.0005,8,0.009879,0.00717,0.011723,0.008033,0.001844,0.000863,1.186629,1.120426
CNN_w5_c32_k3_actrelu_d0.0_dense32_e50_lr0.001_b8,5,[32],3,relu,0.0,32,50,0.001,8,0.00982,0.007127,0.011724,0.008024,0.001904,0.000896,1.193924,1.125743
CNN_w5_c16x32_k3_actrelu_d0.0_dense32_e50_lr0.0005_b8,5,"[16, 32]",3,relu,0.0,32,50,0.0005,8,0.01007,0.007434,0.011733,0.008015,0.001663,0.000581,1.165127,1.078212
CNN_w6_c16_k3_actleaky_relu_d0.0_dense32_e50_lr0.001_b16,6,[16],3,leaky_relu,0.0,32,50,0.001,16,0.010438,0.007824,0.011738,0.008016,0.001301,0.000192,1.124623,1.024534
CNN_w5_c16_k2_actleaky_relu_d0.0_dense32_e50_lr0.0005_b8,5,[16],2,leaky_relu,0.0,32,50,0.0005,8,0.009789,0.007062,0.011738,0.008037,0.001949,0.000975,1.199121,1.138043
CNN_w4_c16_k3_actrelu_d0.0_dense32_e50_lr0.001_b8,4,[16],3,relu,0.0,32,50,0.001,8,0.010317,0.007653,0.011739,0.008033,0.001423,0.00038,1.137887,1.049715
CNN_w7_c16_k2_actleaky_relu_d0.0_dense16_e50_lr0.001_b16,7,[16],2,leaky_relu,0.0,16,50,0.001,16,0.009901,0.007272,0.01174,0.008039,0.001839,0.000767,1.1857,1.105486
CNN_w7_c16_k3_actrelu_d0.0_dense16_e50_lr0.0005_b8,7,[16],3,relu,0.0,16,50,0.0005,8,0.010168,0.007533,0.01174,0.008057,0.001572,0.000523,1.154582,1.069484
CNN_w6_c16_k2_actrelu_d0.0_dense16_e50_lr0.001_b8,6,[16],2,relu,0.0,16,50,0.001,8,0.009965,0.00721,0.011741,0.008019,0.001775,0.000809,1.178167,1.11222
CNN_w5_c16x32_k3_actleaky_relu_d0.0_dense16_e50_lr0.0005_b8,5,"[16, 32]",3,leaky_relu,0.0,16,50,0.0005,8,0.009976,0.007287,0.011743,0.008058,0.001767,0.000771,1.177156,1.105769
CNN_w6_c16x32_k3_actrelu_d0.0_dense32_e50_lr0.001_b16,6,"[16, 32]",3,relu,0.0,32,50,0.001,16,0.010301,0.007703,0.011744,0.008037,0.001443,0.000334,1.140038,1.043342
CNN_w4_c32_k3_actrelu_d0.0_dense16_e50_lr0.001_b8,4,[32],3,relu,0.0,16,50,0.001,8,0.010037,0.007324,0.011744,0.008069,0.001707,0.000745,1.170047,1.101692
CNN_w6_c16x32_k2_actleaky_relu_d0.0_dense16_e50_lr0.0005_b16,6,"[16, 32]",2,leaky_relu,0.0,16,50,0.0005,16,0.01026,0.007589,0.011745,0.008044,0.001485,0.000455,1.14474,1.059908
CNN_w7_c16x32_k3_actrelu_d0.0_dense32_e50_lr0.001_b16,7,"[16, 32]",3,relu,0.0,32,50,0.001,16,0.009631,0.006861,0.011745,0.008066,0.002113,0.001206,1.219425,1.175736
CNN_w6_c32_k2_actleaky_relu_d0.0_dense32_e50_lr0.0005_b16,6,[32],2,leaky_relu,0.0,32,50,0.0005,16,0.010385,0.007768,0.011746,0.00808,0.001361,0.000311,1.131069,1.040074
CNN_w6_c16_k2_actrelu_d0.0_dense16_e50_lr0.001_b16,6,[16],2,relu,0.0,16,50,0.001,16,0.010218,0.007473,0.011747,0.007996,0.001528,0.000523,1.14958,1.069969
CNN_w6_c16_k2_actrelu_d0.0_dense32_e50_lr0.001_b16,6,[16],2,relu,0.0,32,50,0.001,16,0.009925,0.007224,0.011747,0.008089,0.001823,0.000866,1.183655,1.119838
CNN_w4_c32_k3_actleaky_relu_d0.0_dense16_e50_lr0.0005_b8,4,[32],3,leaky_relu,0.0,16,50,0.0005,8,0.010744,0.008165,0.01175,0.008075,0.001007,-9e-05,1.093693,0.989022
CNN_w5_c16x32_k3_actleaky_relu_d0.0_dense32_e50_lr0.0005_b8,5,"[16, 32]",3,leaky_relu,0.0,32,50,0.0005,8,0.010263,0.007674,0.011752,0.008085,0.00149,0.00041,1.14514,1.053485
CNN_w5_c32_k3_actleaky_relu_d0.0_dense32_e50_lr0.0005_b8,5,[32],3,leaky_relu,0.0,32,50,0.0005,8,0.009707,0.007047,0.011755,0.008083,0.002049,0.001036,1.211047,1.147014
CNN_w5_c32_k3_actrelu_d0.0_dense16_e50_lr0.001_b8,5,[32],3,relu,0.0,16,50,0.001,8,0.010112,0.007476,0.011757,0.008071,0.001645,0.000595,1.162713,1.079611
CNN_w6_c32_k2_actrelu_d0.0_dense32_e50_lr0.001_b16,6,[32],2,relu,0.0,32,50,0.001,16,0.010288,0.007685,0.011757,0.008125,0.001469,0.00044,1.142799,1.057269
CNN_w7_c32_k2_actleaky_relu_d0.0_dense32_e50_lr0.0005_b16,7,[32],2,leaky_relu,0.0,32,50,0.0005,16,0.009906,0.007234,0.01176,0.008045,0.001854,0.000811,1.187165,1.112056
CNN_w6_c16_k3_actrelu_d0.0_dense16_e50_lr0.001_b16,6,[16],3,relu,0.0,16,50,0.001,16,0.010325,0.007641,0.011762,0.008047,0.001437,0.000406,1.139215,1.053188
CNN_w6_c32_k3_actrelu_d0.0_dense16_e50_lr0.001_b16,6,[32],3,relu,0.0,16,50,0.001,16,0.010639,0.008048,0.011762,0.008077,0.001123,2.8e-05,1.105521,1.00354
CNN_w6_c32_k2_actleaky_relu_d0.0_dense16_e50_lr0.0005_b16,6,[32],2,leaky_relu,0.0,16,50,0.0005,16,0.010156,0.007504,0.011762,0.008083,0.001606,0.000579,1.15812,1.077217
CNN_w7_c16x32_k3_actrelu_d0.0_dense16_e50_lr0.001_b16,7,"[16, 32]",3,relu,0.0,16,50,0.001,16,0.00983,0.007208,0.011762,0.008117,0.001931,0.000909,1.196472,1.126069
CNN_w5_c16x32_k3_actleaky_relu_d0.0_dense32_e50_lr0.001_b8,5,"[16, 32]",3,leaky_relu,0.0,32,50,0.001,8,0.00978,0.007136,0.011763,0.008105,0.001983,0.000969,1.202765,1.135775
CNN_w4_c32_k3_actleaky_relu_d0.0_dense32_e50_lr0.0005_b8,4,[32],3,leaky_relu,0.0,32,50,0.0005,8,0.01,0.007319,0.011764,0.008056,0.001764,0.000737,1.176385,1.100709
CNN_w7_c16x32_k2_actrelu_d0.0_dense32_e50_lr0.0005_b8,7,"[16, 32]",2,relu,0.0,32,50,0.0005,8,0.010363,0.007773,0.011766,0.00805,0.001403,0.000277,1.135424,1.035652
CNN_w7_c16_k2_actrelu_d0.0_dense16_e50_lr0.0005_b8,7,[16],2,relu,0.0,16,50,0.0005,8,0.010115,0.007407,0.011768,0.008001,0.001654,0.000594,1.163489,1.080234
CNN_w4_c32_k2_actleaky_relu_d0.0_dense16_e50_lr0.0005_b8,4,[32],2,leaky_relu,0.0,16,50,0.0005,8,0.010151,0.007454,0.011768,0.008049,0.001617,0.000596,1.159288,1.079919
CNN_w7_c32_k2_actleaky_relu_d0.0_dense16_e50_lr0.001_b16,7,[32],2,leaky_relu,0.0,16,50,0.001,16,0.010123,0.00749,0.011768,0.008052,0.001645,0.000563,1.162448,1.075104
CNN_w6_c32_k3_actrelu_d0.0_dense32_e50_lr0.0005_b16,6,[32],3,relu,0.0,32,50,0.0005,16,0.010288,0.007658,0.011768,0.008081,0.001481,0.000422,1.143955,1.055136
CNN_w6_c32_k3_actrelu_d0.0_dense16_e50_lr0.0005_b16,6,[32],3,relu,0.0,16,50,0.0005,16,0.010519,0.007882,0.011771,0.00804,0.001252,0.000158,1.118975,1.020059
