departamento,n_distritos,rmse_arima,rmse_mlp,rmse_lstm,rmse_cnn1d,rmse_persistencia,mae_arima,mae_mlp,mae_lstm,mae_cnn1d,mae_persistencia,mejor_modelo_rmse,mejor_modelo_mae
Amazonas,58,0.009222,0.009479,0.009529,0.009509,0.009314,0.006694,0.006756,0.006963,0.006963,0.006655,ARIMA,Persistencia
Ayacucho,5,0.005523,0.00646,0.006275,0.006302,0.006215,0.004303,0.00399,0.00454,0.004332,0.004794,ARIMA,MLP
Cajamarca,13,0.022511,0.02322,0.023973,0.023774,0.021428,0.015353,0.015054,0.016284,0.016077,0.013849,Persistencia,Persistencia
Cusco,8,0.007756,0.006942,0.007093,0.006922,0.007684,0.006646,0.005644,0.005828,0.005691,0.006514,CNN1D,MLP
Huanuco,15,0.012131,0.012868,0.013782,0.013371,0.016241,0.008921,0.008904,0.009346,0.009244,0.012463,ARIMA,MLP
Junin,10,0.01198,0.013012,0.01293,0.013403,0.015673,0.009269,0.008533,0.007995,0.008756,0.012911,ARIMA,LSTM
Loreto,5,0.013994,0.012979,0.012708,0.012016,0.014774,0.010435,0.00862,0.008094,0.007564,0.010934,CNN1D,CNN1D
Madre De Dios,2,0.008672,0.0076,0.007268,0.007361,0.01174,0.007799,0.00619,0.005482,0.00575,0.009849,LSTM,LSTM
Piura,2,0.012352,0.013534,0.014301,0.014341,0.011781,0.010361,0.010627,0.011065,0.011139,0.009892,Persistencia,Persistencia
Puno,1,0.005422,0.005423,0.006288,0.005614,0.005114,0.003708,0.004851,0.006143,0.005175,0.003339,Persistencia,Persistencia
San Martin,54,0.010203,0.009121,0.008662,0.008848,0.012322,0.008149,0.007017,0.00664,0.006774,0.009983,LSTM,LSTM
Ucayali,7,0.012012,0.015622,0.014624,0.013648,0.025117,0.010082,0.014062,0.013003,0.012225,0.023312,ARIMA,ARIMA
