geocode,departamento,distrito,pct_bosque_real_2024,mlp_pred_2025,lstm_pred_2025,cnn1d_pred_2025
010102,Amazonas,Asuncion,0.4403990406694902,0.43721217,0.43518615,0.43642735
010104,Amazonas,Cheto,0.5357477049138869,0.5320486,0.53012717,0.5328599
010105,Amazonas,Chiliquin,0.576341222941616,0.5723779,0.57122564,0.57520336
010109,Amazonas,La Jalca,0.3206683336796326,0.3209955,0.3173799,0.31671625
010111,Amazonas,Levanto,0.2335776829949268,0.22966006,0.2305893,0.22684611
010112,Amazonas,Magdalena,0.3842240688958029,0.3834734,0.38161558,0.38077533
010114,Amazonas,Molinopampa,0.5128930694362793,0.5048763,0.50364685,0.50511676
010115,Amazonas,Montevideo,0.5954754268874057,0.57576054,0.57360226,0.5760189
010117,Amazonas,Quinjalca,0.3426574934759635,0.34141326,0.3390358,0.33792332
010119,Amazonas,San Isidro De Maino,0.3873725477276845,0.38621414,0.3836236,0.384081
010120,Amazonas,Soloco,0.5010762918475352,0.4973883,0.49552375,0.49754
010202,Amazonas,Aramango,0.7633451115702432,0.7604508,0.75743425,0.7568998
010203,Amazonas,Copallin,0.5169836773236207,0.513106,0.5123626,0.51391834
010204,Amazonas,El Parco,0.2777124951037995,0.2740417,0.2746631,0.27094826
010206,Amazonas,La Peca,0.3235074193922673,0.32096463,0.31812006,0.3167763
010301,Amazonas,Jumbilla,0.4043822467424701,0.40097773,0.3992495,0.39958143
010302,Amazonas,Chisquilla,0.7342543167662596,0.73101497,0.7276249,0.7280279
010303,Amazonas,Churuja,0.7752341020265548,0.77201355,0.77064836,0.7725713
010304,Amazonas,Corosha,0.7301615898445079,0.726558,0.72398925,0.7245475
010305,Amazonas,Cuispes,0.6722867341197738,0.66560984,0.6650288,0.6668858
010306,Amazonas,Florida,0.4815568598385449,0.47843635,0.47541106,0.47791883
010307,Amazonas,Jazan,0.3614662956309368,0.35435307,0.35415012,0.35109568
010308,Amazonas,Recta,0.3162469073145975,0.3152594,0.3111722,0.3112669
010310,Amazonas,Shipasbamba,0.7229562872551802,0.7161408,0.71504164,0.71706074
010311,Amazonas,Valera,0.3702310524455995,0.36619797,0.36500525,0.3632866
010502,Amazonas,Camporredondo,0.6174627302433711,0.6117541,0.6098857,0.6134559
010503,Amazonas,Cocabamba,0.4519461440482609,0.45181677,0.44986874,0.45043474
010507,Amazonas,Longuita,0.3003544810034539,0.29869866,0.29668546,0.29547468
010508,Amazonas,Lonya Chico,0.3074856733524355,0.30644962,0.30467966,0.3027628
010510,Amazonas,Luya Viejo,0.6565175148364056,0.6538858,0.6518183,0.6542238
010511,Amazonas,Maria,0.4833355289158214,0.48070824,0.47797942,0.4790548
010512,Amazonas,Ocalli,0.7578053485449496,0.75392485,0.751632,0.7523474
010513,Amazonas,Ocumal,0.5722246789132034,0.5699801,0.5679465,0.57133234
010514,Amazonas,Pisuquia,0.4960115649335566,0.49645644,0.4940837,0.49544755
010515,Amazonas,Providencia,0.7031721189449174,0.6991851,0.69494337,0.6962042
010516,Amazonas,San Cristobal,0.1252564679977981,0.12027478,0.12391182,0.12210384
010517,Amazonas,San Francisco Del Yeso,0.3292228739002932,0.32863212,0.3256107,0.3242637
010518,Amazonas,San Jeronimo,0.4184467265725289,0.41265032,0.41181237,0.41133273
010519,Amazonas,San Juan De Lopecancha,0.1634302541081504,0.16126513,0.16207309,0.15980886
010520,Amazonas,Santa Catalina,0.6790474133275731,0.6751544,0.6725364,0.6737718
010521,Amazonas,Santo Tomas,0.3171413335440038,0.316117,0.31375697,0.31170395
010522,Amazonas,Tingo,0.2212247227658186,0.21840367,0.21913491,0.21280655
010523,Amazonas,Trita,0.1788054195025761,0.17886834,0.17765689,0.17791218
010601,Amazonas,San Nicolas,0.6457840339643652,0.63868487,0.6367454,0.639043
010602,Amazonas,Chirimoto,0.6800778790102202,0.67328507,0.67043316,0.67092484
010603,Amazonas,Cochamal,0.7942648664063959,0.788773,0.7855631,0.78505325
010604,Amazonas,Huambo,0.2097304103943678,0.20472515,0.20531636,0.20002785
010605,Amazonas,Limabamba,0.7546322664207303,0.74217623,0.73826885,0.73880106
010606,Amazonas,Longar,0.6654593419900314,0.6584413,0.6561161,0.6567955
010608,Amazonas,Milpuc,0.3932730695240262,0.3867756,0.38593078,0.3853302
010609,Amazonas,Omia,0.6896845728450811,0.6834822,0.6806331,0.681458
010610,Amazonas,Santa Rosa,0.2609211567196976,0.25861257,0.25815392,0.2578246
010611,Amazonas,Totora,0.1858370668373411,0.17960005,0.17905237,0.17846964
010701,Amazonas,Bagua Grande,0.4100356661201204,0.4001801,0.40086508,0.39780414
010703,Amazonas,Cumba,0.3392431179779432,0.33553642,0.33411348,0.33209398
010705,Amazonas,Jamalca,0.4755670728457323,0.46876615,0.4667989,0.46587652
010706,Amazonas,Lonya Grande,0.5252855489522954,0.5184603,0.51792806,0.5191825
010707,Amazonas,Yamon,0.480439583552424,0.4763313,0.4742645,0.47537148
050408,Ayacucho,Llochegua,0.585625210564898,0.58004403,0.57876486,0.58191144
050409,Ayacucho,Canayre,0.6771801556407601,0.67157245,0.66873896,0.6699087
050502,Ayacucho,Anco,0.4961942332069594,0.4935392,0.49142575,0.492704
050507,Ayacucho,Santa Rosa,0.4371494667186722,0.43300265,0.43146324,0.4316771
050512,Ayacucho,Union Progreso,0.1116090339553653,0.105257586,0.11034228,0.107143514
060801,Cajamarca,Jaen,0.3145316267735106,0.3115764,0.31071955,0.3065536
060803,Cajamarca,Chontali,0.5326125661403668,0.5298517,0.5328629,0.53281444
060804,Cajamarca,Colasay,0.2988213225410986,0.29580703,0.29695392,0.2915504
060807,Cajamarca,Pomahuaca,0.4155077918864532,0.41152808,0.4132173,0.40874365
060809,Cajamarca,Sallique,0.2989790733126992,0.29849073,0.29705107,0.29482365
060810,Cajamarca,San Felipe,0.3593837924207162,0.3559236,0.35948375,0.35167128
060811,Cajamarca,San Jose Del Alto,0.4659669503195509,0.46144116,0.46234995,0.45824707
060812,Cajamarca,Santa Rosa,0.332466045539765,0.32857734,0.32714477,0.32467055
060901,Cajamarca,San Ignacio,0.3073135970395559,0.29731616,0.3068623,0.29705957
060902,Cajamarca,Chirinos,0.4075880257021038,0.3994582,0.40736306,0.39625776
060903,Cajamarca,Huarango,0.6348832577356406,0.63204855,0.6290692,0.6317713
060904,Cajamarca,La Coipa,0.3897502475519859,0.381432,0.3890902,0.3796122
060907,Cajamarca,Tabaconas,0.6547733858748567,0.65529275,0.6525882,0.65531325
080408,Cusco,Yanatile,0.4810746254020038,0.47621417,0.47362608,0.4752983
080901,Cusco,Santa Ana,0.5728912616904652,0.56542873,0.56484044,0.56784713
080903,Cusco,Huayopata,0.5366979717465078,0.5289322,0.5285338,0.5306008
080904,Cusco,Maranura,0.5441886086878222,0.5396158,0.5384394,0.54067504
080905,Cusco,Ocobamba,0.4471832801393524,0.4413259,0.4397031,0.44071123
080906,Cusco,Quellouno,0.7143641393927217,0.7087515,0.70651305,0.7060502
080918,Cusco,Union Ashaninka,0.7306960269705117,0.72537184,0.722354,0.72290957
081304,Cusco,Machupicchu,0.3669124083894632,0.36150596,0.36074275,0.35861015
100103,Huanuco,Chinchao,0.6457122871445122,0.64158654,0.63758737,0.6402253
100113,Huanuco,San Pablo De Pillao,0.6585655528750035,0.65470225,0.65201885,0.6540227
100505,Huanuco,Jircan,0.7219921308759577,0.7219095,0.7188108,0.7214741
100507,Huanuco,Monzon,0.6952081533813373,0.6922863,0.6886033,0.6897679
100601,Huanuco,Rupa-Rupa,0.5999383587857359,0.59257483,0.5904856,0.5934999
100605,Huanuco,Luyando,0.3534951133357621,0.34589595,0.3459202,0.34252405
100606,Huanuco,Mariano Damaso Beraun,0.8277177285433153,0.8215255,0.81620103,0.81659
100608,Huanuco,Castillo Grande,0.5058251195059013,0.4951216,0.49525714,0.4962244
100609,Huanuco,Pueblo Nuevo,0.6780785848008359,0.6704573,0.66821027,0.66947633
100804,Huanuco,Umari,0.2132666337655345,0.21170107,0.21271819,0.21151328
100901,Huanuco,Puerto Inca,0.600651114519684,0.5910258,0.588501,0.5909615
100902,Huanuco,Codo Del Pozuzo,0.6740932927334595,0.6648472,0.6615598,0.66177404
100903,Huanuco,Honoria,0.3507942227846357,0.34341282,0.34055203,0.33997655
100904,Huanuco,Tournavista,0.4849192208018865,0.47363394,0.47079706,0.47225386
100905,Huanuco,Yuyapichis,0.54344808404226,0.5339884,0.53207266,0.5328407
120209,Junin,Mariscal Castilla,0.3494799451918286,0.34485674,0.34358865,0.3417947
