modelo,window_size,hidden_size,num_layers,dropout,epochs,lr,batch_size,rmse_train,mae_train,rmse_test,mae_test,gap_rmse,gap_mae,ratio_rmse,ratio_mae
LSTM_w6_h64_l1_d0.0_e50_lr0.001_b16,6,64,1,0.0,50,0.001,16,0.01019,0.007462,0.01173,0.007968,0.00154,0.000506,1.151114,1.067813
LSTM_w7_h16_l1_d0.0_e50_lr0.001_b8,7,16,1,0.0,50,0.001,8,0.009937,0.007188,0.011741,0.007964,0.001804,0.000776,1.181544,1.107995
LSTM_w6_h32_l1_d0.0_e50_lr0.001_b16,6,32,1,0.0,50,0.001,16,0.009983,0.007214,0.011747,0.008022,0.001764,0.000807,1.17671,1.111931
LSTM_w6_h16_l1_d0.0_e50_lr0.001_b16,6,16,1,0.0,50,0.001,16,0.009972,0.00724,0.011754,0.008063,0.001781,0.000823,1.178627,1.113626
LSTM_w6_h64_l1_d0.0_e50_lr0.0005_b16,6,64,1,0.0,50,0.0005,16,0.009996,0.007284,0.011779,0.008131,0.001783,0.000847,1.178334,1.116229
LSTM_w7_h64_l2_d0.0_e50_lr0.001_b16,7,64,2,0.0,50,0.001,16,0.010203,0.007569,0.011784,0.008029,0.001581,0.000461,1.154948,1.060851
LSTM_w7_h32_l1_d0.0_e50_lr0.001_b8,7,32,1,0.0,50,0.001,8,0.009782,0.00703,0.011785,0.00804,0.002003,0.001009,1.20472,1.143589
LSTM_w7_h16_l1_d0.1_e50_lr0.001_b8,7,16,1,0.1,50,0.001,8,0.00984,0.007088,0.011786,0.008032,0.001946,0.000944,1.197798,1.133114
LSTM_w6_h16_l2_d0.0_e50_lr0.001_b16,6,16,2,0.0,50,0.001,16,0.009847,0.007115,0.011789,0.008094,0.001942,0.000979,1.19727,1.137567
LSTM_w7_h64_l1_d0.0_e50_lr0.001_b8,7,64,1,0.0,50,0.001,8,0.009825,0.007122,0.011794,0.008037,0.001969,0.000915,1.200436,1.128516
LSTM_w7_h32_l1_d0.1_e50_lr0.001_b16,7,32,1,0.1,50,0.001,16,0.009746,0.006981,0.011799,0.008113,0.002053,0.001132,1.210615,1.162167
LSTM_w4_h16_l2_d0.0_e50_lr0.0005_b8,4,16,2,0.0,50,0.0005,8,0.010544,0.007879,0.011801,0.008064,0.001258,0.000185,1.119296,1.023441
LSTM_w7_h16_l2_d0.0_e50_lr0.001_b8,7,16,2,0.0,50,0.001,8,0.010236,0.007532,0.011805,0.008026,0.001569,0.000494,1.15331,1.065621
LSTM_w6_h32_l2_d0.0_e50_lr0.0005_b16,6,32,2,0.0,50,0.0005,16,0.010002,0.007314,0.011824,0.008186,0.001822,0.000872,1.182136,1.119192
LSTM_w5_h32_l2_d0.1_e50_lr0.0005_b8,5,32,2,0.1,50,0.0005,8,0.01081,0.008249,0.011833,0.008219,0.001023,-3e-05,1.094644,0.996313
LSTM_w7_h64_l1_d0.1_e50_lr0.0005_b8,7,64,1,0.1,50,0.0005,8,0.009669,0.00685,0.011835,0.008129,0.002167,0.001278,1.224094,1.186593
LSTM_w6_h16_l1_d0.1_e50_lr0.001_b8,6,16,1,0.1,50,0.001,8,0.010467,0.007817,0.01184,0.008193,0.001373,0.000376,1.131181,1.048081
LSTM_w3_h32_l2_d0.1_e50_lr0.0005_b8,3,32,2,0.1,50,0.0005,8,0.011234,0.008278,0.011842,0.008215,0.000608,-6.3e-05,1.054095,0.992357
LSTM_w4_h16_l2_d0.0_e50_lr0.001_b8,4,16,2,0.0,50,0.001,8,0.009943,0.007196,0.011849,0.00815,0.001905,0.000954,1.191623,1.132612
LSTM_w4_h32_l1_d0.0_e50_lr0.001_b8,4,32,1,0.0,50,0.001,8,0.009861,0.007024,0.011857,0.008095,0.001996,0.001071,1.202377,1.15244
LSTM_w7_h16_l2_d0.0_e50_lr0.0005_b8,7,16,2,0.0,50,0.0005,8,0.009799,0.006996,0.011868,0.00814,0.002068,0.001144,1.211083,1.163522
LSTM_w4_h64_l2_d0.0_e50_lr0.0005_b16,4,64,2,0.0,50,0.0005,16,0.009775,0.006915,0.011877,0.00817,0.002102,0.001255,1.215023,1.181488
LSTM_w5_h64_l2_d0.0_e50_lr0.0005_b8,5,64,2,0.0,50,0.0005,8,0.009667,0.006835,0.011887,0.00816,0.00222,0.001325,1.229674,1.193912
LSTM_w5_h32_l2_d0.0_e50_lr0.001_b8,5,32,2,0.0,50,0.001,8,0.009798,0.006974,0.011898,0.008147,0.002099,0.001173,1.214236,1.168143
LSTM_w4_h64_l1_d0.0_e50_lr0.001_b8,4,64,1,0.0,50,0.001,8,0.009768,0.00693,0.0119,0.008144,0.002132,0.001214,1.218309,1.175104
LSTM_w5_h16_l2_d0.0_e50_lr0.001_b8,5,16,2,0.0,50,0.001,8,0.00959,0.006774,0.011905,0.008217,0.002315,0.001444,1.241366,1.213153
LSTM_w4_h32_l2_d0.0_e50_lr0.0005_b8,4,32,2,0.0,50,0.0005,8,0.010584,0.007959,0.011913,0.008285,0.001329,0.000326,1.125569,1.040962
LSTM_w3_h32_l1_d0.1_e50_lr0.0005_b8,3,32,1,0.1,50,0.0005,8,0.011238,0.008113,0.011925,0.008236,0.000687,0.000123,1.061168,1.01512
LSTM_w7_h32_l2_d0.0_e50_lr0.0005_b8,7,32,2,0.0,50,0.0005,8,0.010351,0.007567,0.011926,0.008134,0.001576,0.000567,1.15222,1.074901
LSTM_w3_h32_l1_d0.0_e50_lr0.0005_b8,3,32,1,0.0,50,0.0005,8,0.010676,0.007464,0.011937,0.008129,0.001261,0.000665,1.118084,1.089072
