departamento,rmse,mae
Cajamarca,0.020278769230769232,0.014196923076923077
Ucayali,0.014758857142857143,0.013585571428571428
Piura,0.013285,0.010138000000000001
Loreto,0.012135400000000001,0.0096134
Junin,0.0106054,0.0089224
Madre De Dios,0.009561,0.008105000000000001
Huanuco,0.009875666666666666,0.0076262
San Martin,0.008757907407407407,0.0073800370370370365
Amazonas,0.00854694827586207,0.00699251724137931
Ayacucho,0.0086274,0.006808799999999999
Puno,0.006053,0.005972
Cusco,0.00677975,0.00570175
