geocode,departamento,distrito,rmse,mae
60810,Cajamarca,San Felipe,0.034867,0.030594
60901,Cajamarca,San Ignacio,0.034947,0.02271
60904,Cajamarca,La Coipa,0.031477,0.020616
120209,Junin,Mariscal Castilla,0.02667,0.019115
100804,Huanuco,Umari,0.025318,0.019
100505,Huanuco,Jircan,0.020796,0.018155
160101,Loreto,Iquitos,0.024555,0.017582
220507,San Martin,Rumisapa,0.018183,0.017524
60803,Cajamarca,Chontali,0.027566,0.017054
250105,Ucayali,Yarinacocha,0.019777,0.016595
250106,Ucayali,Nueva Requena,0.017327,0.016512
60902,Cajamarca,Chirinos,0.030196,0.016065
250304,Ucayali,Neshuya,0.015993,0.015316
10115,Amazonas,Montevideo,0.024819,0.014988
60811,Cajamarca,San Jose Del Alto,0.021367,0.014757
250102,Ucayali,Campoverde,0.015035,0.014693
10204,Amazonas,El Parco,0.015837,0.014505
220502,San Martin,Alonso De Alvarado,0.014551,0.013819
10503,Amazonas,Cocabamba,0.015176,0.013804
250305,Ucayali,Alexander Von Humboldt,0.015862,0.013798
60804,Cajamarca,Colasay,0.016861,0.013709
10303,Amazonas,Churuja,0.016872,0.013569
220303,San Martin,San Martin,0.01373,0.013071
220806,San Martin,Posic,0.014974,0.012879
10119,Amazonas,San Isidro De Maino,0.013361,0.012627
200307,Piura,Sondor,0.014066,0.012376
60907,Cajamarca,Tabaconas,0.019256,0.012371
10610,Amazonas,Santa Rosa,0.017077,0.012353
220706,San Martin,San Cristobal,0.015407,0.011966
220510,San Martin,Tabalosos,0.011904,0.011626
60807,Cajamarca,Pomahuaca,0.016081,0.01162
120304,Junin,San Luis De Shuaro,0.013624,0.011612
10310,Amazonas,Shipasbamba,0.013448,0.011478
220204,San Martin,Huallaga,0.01236,0.011408
100113,Huanuco,San Pablo De Pillao,0.017234,0.01129
220405,San Martin,Sacanche,0.012344,0.011285
10706,Amazonas,Lonya Grande,0.014572,0.011273
10705,Amazonas,Jamalca,0.013168,0.011012
160112,Loreto,Belen,0.01334,0.010938
10305,Amazonas,Cuispes,0.013674,0.010922
220501,San Martin,Lamas,0.013356,0.010794
220705,San Martin,Pucacaca,0.013349,0.010717
10513,Amazonas,Ocumal,0.010884,0.010639
250306,Ucayali,Huipoca,0.010943,0.010629
220605,San Martin,Pajarillo,0.01199,0.010601
10701,Amazonas,Bagua Grande,0.012807,0.010584
220302,San Martin,Agua Blanca,0.014262,0.010506
10514,Amazonas,Pisuquia,0.013405,0.010359
220301,San Martin,San Jose De Sisa,0.011247,0.010342
220304,San Martin,Santa Rosa,0.012676,0.010338
10611,Amazonas,Totora,0.012537,0.010148
120602,Junin,Coviriali,0.010859,0.00999
10512,Amazonas,Ocalli,0.011991,0.00998
220201,San Martin,Bellavista,0.011106,0.009661
120604,Junin,Mazamari,0.011004,0.009654
220203,San Martin,Bajo Biavo,0.010474,0.009631
120603,Junin,Llaylla,0.010678,0.009359
220902,San Martin,Alberto Leveau,0.010587,0.009331
10302,Amazonas,Chisquilla,0.009756,0.009228
220601,San Martin,Juanjui,0.010786,0.009148
10307,Amazonas,Jazan,0.010102,0.009112
220106,San Martin,Yantalo,0.009993,0.009078
50512,Ayacucho,Union Progreso,0.013893,0.008953
220305,San Martin,Shatoja,0.012879,0.008887
10306,Amazonas,Florida,0.010099,0.008678
100608,Huanuco,Castillo Grande,0.01148,0.008656
10515,Amazonas,Providencia,0.00929,0.008428
10112,Amazonas,Magdalena,0.009188,0.008301
120609,Junin,Vizcatán Del Ene,0.009165,0.008287
170204,Madre De Dios,Huepetuhe,0.010024,0.00821
10304,Amazonas,Corosha,0.009721,0.008149
50409,Ayacucho,Canayre,0.008712,0.008094
170102,Madre De Dios,Inambari,0.009098,0.008
10308,Amazonas,Recta,0.009541,0.007901
200303,Piura,El Carmen De La Frontera,0.012504,0.0079
100903,Huanuco,Honoria,0.011565,0.007813
220404,San Martin,Piscoyacu,0.008475,0.007757
160603,Loreto,Padre Marquez,0.009024,0.007723
120607,Junin,Rio Negro,0.008065,0.007713
10510,Amazonas,Luya Viejo,0.011558,0.007597
220505,San Martin,Cuñumbuqui,0.008639,0.007571
250302,Ucayali,Irazola,0.008375,0.007556
60801,Cajamarca,Jaen,0.008218,0.007512
120601,Junin,Satipo,0.009246,0.007494
60809,Cajamarca,Sallique,0.011117,0.007438
220803,San Martin,Elias Soplin Vargas,0.008509,0.00736
10608,Amazonas,Milpuc,0.009292,0.007321
80918,Cusco,Union Ashaninka,0.007974,0.007207
220906,San Martin,El Porvenir,0.009336,0.007156
10301,Amazonas,Jumbilla,0.00788,0.007121
10202,Amazonas,Aramango,0.007611,0.007094
220710,San Martin,Tres Unidos,0.007854,0.007015
220702,San Martin,Buenos Aires,0.008049,0.006982
80903,Cusco,Huayopata,0.009578,0.006939
10109,Amazonas,La Jalca,0.007297,0.006934
