modelo,window_size,hidden_sizes,activation,dropout,epochs,lr,batch_size,rmse_train,mae_train,rmse_test,mae_test,gap_rmse,gap_mae,ratio_rmse,ratio_mae
MLP_w3_h128x64x32_actleaky_relu_d0.0_e50_lr0.001_b16,3,"[128, 64, 32]",leaky_relu,0.0,50,0.001,16,0.01038,0.007221,0.011678,0.007947,0.001298,0.000726,1.125032,1.100571
MLP_w4_h64x32_actleaky_relu_d0.0_e50_lr0.0005_b8,4,"[64, 32]",leaky_relu,0.0,50,0.0005,8,0.010227,0.007502,0.011702,0.008019,0.001474,0.000517,1.144171,1.068934
MLP_w7_h64x32_actleaky_relu_d0.0_e50_lr0.001_b8,7,"[64, 32]",leaky_relu,0.0,50,0.001,8,0.010462,0.007822,0.011718,0.008061,0.001256,0.000239,1.120089,1.030612
MLP_w3_h128x64x32_actrelu_d0.0_e50_lr0.0005_b8,3,"[128, 64, 32]",relu,0.0,50,0.0005,8,0.010689,0.007582,0.011726,0.007945,0.001037,0.000364,1.09701,1.047995
MLP_w5_h64x32_actrelu_d0.0_e50_lr0.0005_b8,5,"[64, 32]",relu,0.0,50,0.0005,8,0.009822,0.007129,0.011727,0.008082,0.001906,0.000953,1.19404,1.133687
MLP_w7_h128x64x32_actleaky_relu_d0.0_e50_lr0.001_b8,7,"[128, 64, 32]",leaky_relu,0.0,50,0.001,8,0.010685,0.008165,0.011733,0.008145,0.001048,-1.9e-05,1.098052,0.99763
MLP_w4_h128x64x32_actrelu_d0.0_e50_lr0.001_b16,4,"[128, 64, 32]",relu,0.0,50,0.001,16,0.009773,0.006947,0.011738,0.008102,0.001965,0.001155,1.201035,1.166331
MLP_w3_h128x64x32_actrelu_d0.0_e50_lr0.001_b16,3,"[128, 64, 32]",relu,0.0,50,0.001,16,0.010282,0.007078,0.011743,0.008049,0.00146,0.000971,1.142002,1.137186
MLP_w7_h64x32_actrelu_d0.0_e50_lr0.001_b8,7,"[64, 32]",relu,0.0,50,0.001,8,0.010444,0.007782,0.011748,0.008071,0.001304,0.000289,1.124817,1.037172
MLP_w5_h32x16_actleaky_relu_d0.0_e50_lr0.0005_b8,5,"[32, 16]",leaky_relu,0.0,50,0.0005,8,0.00999,0.007282,0.011752,0.008088,0.001763,0.000806,1.176438,1.11068
MLP_w4_h128x64x32_actleaky_relu_d0.0_e50_lr0.0005_b16,4,"[128, 64, 32]",leaky_relu,0.0,50,0.0005,16,0.009727,0.006894,0.011757,0.008119,0.00203,0.001226,1.208704,1.177812
MLP_w4_h128x64x32_actleaky_relu_d0.0_e50_lr0.001_b16,4,"[128, 64, 32]",leaky_relu,0.0,50,0.001,16,0.009721,0.006896,0.011762,0.008116,0.002041,0.001219,1.209916,1.176826
MLP_w7_h128x64x32_actrelu_d0.0_e50_lr0.001_b8,7,"[128, 64, 32]",relu,0.0,50,0.001,8,0.010611,0.008047,0.011776,0.008198,0.001165,0.00015,1.109745,1.018667
MLP_w4_h32x16_actrelu_d0.0_e50_lr0.0005_b8,4,"[32, 16]",relu,0.0,50,0.0005,8,0.010416,0.007702,0.011806,0.008081,0.00139,0.000379,1.133456,1.049274
MLP_w4_h64x32_actrelu_d0.0_e50_lr0.0005_b8,4,"[64, 32]",relu,0.0,50,0.0005,8,0.009824,0.006995,0.011817,0.008108,0.001993,0.001113,1.202894,1.159179
MLP_w5_h64x32_actrelu_d0.0_e50_lr0.001_b8,5,"[64, 32]",relu,0.0,50,0.001,8,0.009633,0.006897,0.01182,0.008197,0.002187,0.001299,1.227023,1.18839
MLP_w4_h32x16_actrelu_d0.0_e50_lr0.001_b8,4,"[32, 16]",relu,0.0,50,0.001,8,0.009964,0.007229,0.011822,0.008122,0.001858,0.000892,1.186441,1.123399
MLP_w6_h64x32_actrelu_d0.0_e50_lr0.001_b16,6,"[64, 32]",relu,0.0,50,0.001,16,0.010662,0.008071,0.011822,0.008194,0.001159,0.000123,1.108745,1.015277
MLP_w6_h128x64x32_actleaky_relu_d0.0_e50_lr0.0005_b16,6,"[128, 64, 32]",leaky_relu,0.0,50,0.0005,16,0.010855,0.008275,0.011826,0.008147,0.000972,-0.000128,1.089522,0.984584
MLP_w6_h64x32_actrelu_d0.0_e50_lr0.0005_b16,6,"[64, 32]",relu,0.0,50,0.0005,16,0.00966,0.006849,0.011827,0.008156,0.002167,0.001307,1.224334,1.190804
MLP_w3_h64x32_actleaky_relu_d0.0_e50_lr0.0005_b8,3,"[64, 32]",leaky_relu,0.0,50,0.0005,8,0.01124,0.008215,0.011828,0.008033,0.000588,-0.000182,1.05232,0.977845
MLP_w5_h64x32_actleaky_relu_d0.0_e50_lr0.0005_b8,5,"[64, 32]",leaky_relu,0.0,50,0.0005,8,0.010054,0.007379,0.011836,0.008172,0.001782,0.000794,1.177226,1.107574
MLP_w3_h128x64x32_actleaky_relu_d0.0_e50_lr0.0005_b8,3,"[128, 64, 32]",leaky_relu,0.0,50,0.0005,8,0.010647,0.007482,0.011838,0.008108,0.001191,0.000626,1.111904,1.083732
MLP_w6_h128x64x32_actrelu_d0.0_e50_lr0.0005_b16,6,"[128, 64, 32]",relu,0.0,50,0.0005,16,0.010887,0.008353,0.011839,0.008221,0.000952,-0.000132,1.087466,0.984209
MLP_w4_h32x16_actleaky_relu_d0.0_e50_lr0.0005_b8,4,"[32, 16]",leaky_relu,0.0,50,0.0005,8,0.010701,0.008052,0.011842,0.008115,0.001141,6.4e-05,1.106591,1.007941
MLP_w4_h128x64x32_actrelu_d0.0_e50_lr0.0005_b16,4,"[128, 64, 32]",relu,0.0,50,0.0005,16,0.009876,0.007014,0.011842,0.008189,0.001966,0.001174,1.199037,1.167436
MLP_w7_h32x16_actleaky_relu_d0.0_e50_lr0.0005_b8,7,"[32, 16]",leaky_relu,0.0,50,0.0005,8,0.009989,0.007343,0.011843,0.008249,0.001853,0.000906,1.185518,1.123428
MLP_w6_h64x32_actleaky_relu_d0.0_e50_lr0.001_b16,6,"[64, 32]",leaky_relu,0.0,50,0.001,16,0.010593,0.007993,0.011845,0.008189,0.001251,0.000196,1.118136,1.024495
