geocode,departamento,distrito,rmse,mae
250106,Ucayali,Nueva Requena,0.037562523412706786,0.036806424384082284
60810,Cajamarca,San Felipe,0.0346548042727309,0.03016985654242941
250306,Ucayali,Huipoca,0.02507059007361654,0.024279961723749088
120209,Junin,Mariscal Castilla,0.028689619600309864,0.022944693572496243
100904,Huanuco,Tournavista,0.02286661411930998,0.022755564033825604
60904,Cajamarca,La Coipa,0.03051561521782334,0.022393222576741145
250304,Ucayali,Neshuya,0.022721711591069695,0.02210728430837684
60901,Cajamarca,San Ignacio,0.03303242784122972,0.02206280942141322
250102,Ucayali,Campoverde,0.022482901469583937,0.021924259707685422
220507,San Martin,Rumisapa,0.022486180475444893,0.021283874071302576
250302,Ucayali,Irazola,0.0210008038034025,0.019937411935564576
250305,Ucayali,Alexander Von Humboldt,0.019927666825495974,0.019406024132691064
100505,Huanuco,Jircan,0.021490906208632744,0.019112948554861987
100903,Huanuco,Honoria,0.021099478434443913,0.019111815059086
250105,Ucayali,Yarinacocha,0.022731267186075165,0.01872608483405666
100804,Huanuco,Umari,0.02616940831076018,0.01850464354614384
100905,Huanuco,Yuyapichis,0.019080042498351654,0.01816527412448159
120607,Junin,Rio Negro,0.01794741823977219,0.01768508503688585
220303,San Martin,San Martin,0.01949833776935884,0.017668442772636815
220906,San Martin,El Porvenir,0.01891757657347938,0.01752332885516139
60902,Cajamarca,Chirinos,0.02902798470694682,0.01719929139059594
220501,San Martin,Lamas,0.01722012901431305,0.016986248704165218
220708,San Martin,Shamboyacu,0.017203083958764676,0.01640155292213006
100901,Huanuco,Puerto Inca,0.01674628899728112,0.016386222148080033
220502,San Martin,Alonso De Alvarado,0.01714133379487623,0.01593904213352535
220203,San Martin,Bajo Biavo,0.017185503591100257,0.015608967240312277
120304,Junin,San Luis De Shuaro,0.017506529801708765,0.01556667062184538
60803,Cajamarca,Chontali,0.024932153951273132,0.015412124980030372
220204,San Martin,Huallaga,0.01617385542243731,0.014917109866192425
220710,San Martin,Tres Unidos,0.015441515152590391,0.014684803626753062
220405,San Martin,Sacanche,0.015888221587138894,0.014603202475937526
160603,Loreto,Padre Marquez,0.0175691316187338,0.01447998109881321
10115,Amazonas,Montevideo,0.026616370879527677,0.01441015862009185
220806,San Martin,Posic,0.01653161728076476,0.014387442702254671
60811,Cajamarca,San Jose Del Alto,0.018710676622680646,0.014212774972635168
160101,Loreto,Iquitos,0.02051813255935505,0.014179648754303043
100902,Huanuco,Codo Del Pozuzo,0.014662210333897191,0.014055477194845211
10706,Amazonas,Lonya Grande,0.016142545748346334,0.013886053881951943
120601,Junin,Satipo,0.01562239182210009,0.013857594504379778
220510,San Martin,Tabalosos,0.014294858365495608,0.013801280414760142
220304,San Martin,Santa Rosa,0.015540194734358114,0.013493780132771282
10204,Amazonas,El Parco,0.014364838284760184,0.01340579710144928
120602,Junin,Coviriali,0.014098464040364316,0.013061605923370023
220404,San Martin,Piscoyacu,0.013309980788259049,0.012872895710187005
60804,Cajamarca,Colasay,0.015973665109427493,0.012841380736451847
220912,San Martin,San Antonio,0.013030780732606672,0.012762721866630366
220305,San Martin,Shatoja,0.01529427254998821,0.01270787080140372
100113,Huanuco,San Pablo De Pillao,0.02087024511130752,0.012328854680882984
220601,San Martin,Juanjui,0.014313878804407472,0.01223245832185651
220301,San Martin,San Jose De Sisa,0.013172113882066721,0.012067064199315292
220302,San Martin,Agua Blanca,0.01567528358885786,0.012012354367943779
160211,Loreto,Teniente Cesar Lopez Rojas,0.013828308492499298,0.011749844113832597
10701,Amazonas,Bagua Grande,0.015144443883819645,0.011665278903679476
10610,Amazonas,Santa Rosa,0.016136658541689112,0.011619934956491157
