departamento,rmse,mae
Ucayali,0.024481087184612095,0.023261057522975487
Cajamarca,0.019594881530862276,0.014158894294059244
Huanuco,0.014342906360556046,0.011725085581942036
Junin,0.012738624860367552,0.011506583262352571
Madre De Dios,0.012727583822952374,0.01046454226211726
San Martin,0.012027522709968815,0.010278059440703773
Loreto,0.013023173565850458,0.010239373623245477
Piura,0.012737619510740525,0.009273192830411702
Puno,0.012400027229127353,0.009158386543382215
Amazonas,0.008799590424670262,0.007019299831736446
Cusco,0.006911124257725385,0.006140565508265752
Ayacucho,0.00731133974869731,0.005937878272186364
