geocode,departamento,distrito,rmse,mae
250106,Ucayali,Nueva Requena,0.037563,0.036806
60810,Cajamarca,San Felipe,0.034655,0.03017
250306,Ucayali,Huipoca,0.025071,0.02428
120209,Junin,Mariscal Castilla,0.02869,0.022945
100904,Huanuco,Tournavista,0.022867,0.022756
60904,Cajamarca,La Coipa,0.030516,0.022393
250304,Ucayali,Neshuya,0.022722,0.022107
60901,Cajamarca,San Ignacio,0.033032,0.022063
250102,Ucayali,Campoverde,0.022483,0.021924
220507,San Martin,Rumisapa,0.022486,0.021284
250302,Ucayali,Irazola,0.021001,0.019937
250305,Ucayali,Alexander Von Humboldt,0.019928,0.019406
100505,Huanuco,Jircan,0.021491,0.019113
100903,Huanuco,Honoria,0.021099,0.019112
250105,Ucayali,Yarinacocha,0.022731,0.018726
100804,Huanuco,Umari,0.026169,0.018505
100905,Huanuco,Yuyapichis,0.01908,0.018165
120607,Junin,Rio Negro,0.017947,0.017685
220303,San Martin,San Martin,0.019498,0.017668
220906,San Martin,El Porvenir,0.018918,0.017523
60902,Cajamarca,Chirinos,0.029028,0.017199
220501,San Martin,Lamas,0.01722,0.016986
220708,San Martin,Shamboyacu,0.017203,0.016402
100901,Huanuco,Puerto Inca,0.016746,0.016386
220502,San Martin,Alonso De Alvarado,0.017141,0.015939
220203,San Martin,Bajo Biavo,0.017186,0.015609
120304,Junin,San Luis De Shuaro,0.017507,0.015567
60803,Cajamarca,Chontali,0.024932,0.015412
220204,San Martin,Huallaga,0.016174,0.014917
220710,San Martin,Tres Unidos,0.015442,0.014685
220405,San Martin,Sacanche,0.015888,0.014603
160603,Loreto,Padre Marquez,0.017569,0.01448
10115,Amazonas,Montevideo,0.026616,0.01441
220806,San Martin,Posic,0.016532,0.014387
60811,Cajamarca,San Jose Del Alto,0.018711,0.014213
160101,Loreto,Iquitos,0.020518,0.01418
100902,Huanuco,Codo Del Pozuzo,0.014662,0.014055
10706,Amazonas,Lonya Grande,0.016143,0.013886
120601,Junin,Satipo,0.015622,0.013858
220510,San Martin,Tabalosos,0.014295,0.013801
220304,San Martin,Santa Rosa,0.01554,0.013494
10204,Amazonas,El Parco,0.014365,0.013406
120602,Junin,Coviriali,0.014098,0.013062
220404,San Martin,Piscoyacu,0.01331,0.012873
60804,Cajamarca,Colasay,0.015974,0.012841
220912,San Martin,San Antonio,0.013031,0.012763
220305,San Martin,Shatoja,0.015294,0.012708
100113,Huanuco,San Pablo De Pillao,0.02087,0.012329
220601,San Martin,Juanjui,0.014314,0.012232
220301,San Martin,San Jose De Sisa,0.013172,0.012067
220302,San Martin,Agua Blanca,0.015675,0.012012
160211,Loreto,Teniente Cesar Lopez Rojas,0.013828,0.01175
10701,Amazonas,Bagua Grande,0.015144,0.011665
10610,Amazonas,Santa Rosa,0.016137,0.01162
10605,Amazonas,Limabamba,0.014495,0.011617
10611,Amazonas,Totora,0.014761,0.011566
200307,Piura,Sondor,0.012921,0.011561
10705,Amazonas,Jamalca,0.014914,0.011085
220605,San Martin,Pajarillo,0.012712,0.011064
220106,San Martin,Yantalo,0.011933,0.011064
220503,San Martin,Barranquita,0.013964,0.010924
220902,San Martin,Alberto Leveau,0.012488,0.010818
60907,Cajamarca,Tabaconas,0.015822,0.010711
120604,Junin,Mazamari,0.01352,0.010664
170102,Madre De Dios,Inambari,0.012728,0.010465
220201,San Martin,Bellavista,0.011755,0.010405
60807,Cajamarca,Pomahuaca,0.013329,0.010403
220403,San Martin,El Eslabon,0.012397,0.010401
10119,Amazonas,San Isidro De Maino,0.01139,0.010313
220705,San Martin,Pucacaca,0.014376,0.010099
220401,San Martin,Saposoa,0.010706,0.009884
100103,Huanuco,Chinchao,0.010504,0.009722
80905,Cusco,Ocobamba,0.009804,0.009632
220913,San Martin,Sauce,0.011511,0.009593
220706,San Martin,San Cristobal,0.011494,0.009592
220807,San Martin,San Fernando,0.010375,0.009441
10307,Amazonas,Jazan,0.01234,0.009386
220102,San Martin,Calzada,0.011575,0.009379
10503,Amazonas,Cocabamba,0.010399,0.009235
170204,Madre De Dios,Huepetuhe,0.010662,0.009234
120603,Junin,Llaylla,0.010399,0.009217
120302,Junin,Perene,0.009913,0.009131
10305,Amazonas,Cuispes,0.011336,0.009083
120609,Junin,Vizcatán Del Ene,0.010158,0.008925
220506,San Martin,Pinto Recodo,0.009827,0.0087
10310,Amazonas,Shipasbamba,0.009747,0.008576
