anio,n_distritos,media,mediana,std,minimo,maximo
1985,180,0.5795,0.5827,0.2093,0.0663,0.9451
1986,180,0.577,0.5774,0.2104,0.0663,0.9445
1987,180,0.5701,0.567,0.2147,0.0625,0.9418
1988,180,0.5591,0.5676,0.2189,0.0488,0.9415
1989,180,0.5569,0.5586,0.218,0.0483,0.9419
1990,180,0.5546,0.5599,0.218,0.0609,0.9409
1991,180,0.555,0.5649,0.2184,0.0587,0.937
1992,180,0.554,0.5697,0.2184,0.0571,0.9364
1993,180,0.5523,0.5738,0.218,0.0648,0.9413
1994,180,0.5497,0.5692,0.2183,0.0648,0.9396
1995,180,0.5482,0.5666,0.2178,0.0609,0.939
1996,180,0.5438,0.5468,0.2171,0.0642,0.9416
1997,180,0.5371,0.5417,0.2194,0.0642,0.9412
1998,180,0.5333,0.5306,0.2188,0.0633,0.9405
1999,180,0.5307,0.5233,0.2171,0.0608,0.9413
2000,180,0.5281,0.524,0.2166,0.0547,0.9433
2001,180,0.5239,0.5243,0.2158,0.0628,0.9386
2002,180,0.521,0.5248,0.2146,0.0605,0.9384
2003,180,0.5173,0.5194,0.2149,0.0639,0.9377
2004,180,0.515,0.5187,0.2145,0.0697,0.9369
2005,180,0.5113,0.5117,0.2144,0.0688,0.9371
2006,180,0.5092,0.5038,0.2132,0.0649,0.9374
2007,180,0.5058,0.4956,0.2118,0.0631,0.9334
2008,180,0.5053,0.4936,0.2089,0.0777,0.9284
2009,180,0.5032,0.4945,0.2066,0.0779,0.9233
2010,180,0.5011,0.4969,0.2045,0.0708,0.9178
2011,180,0.5013,0.5063,0.2035,0.0746,0.913
2012,180,0.5007,0.5025,0.2026,0.0809,0.9085
2013,180,0.4995,0.5057,0.2014,0.0859,0.9049
2014,180,0.5,0.5034,0.2004,0.0819,0.8927
2015,180,0.5004,0.5018,0.1994,0.0783,0.8874
2016,180,0.5022,0.5045,0.1983,0.0949,0.8789
2017,180,0.501,0.5024,0.195,0.0958,0.8641
2018,180,0.5028,0.5077,0.1925,0.0988,0.8595
2019,180,0.5042,0.512,0.1905,0.1064,0.8561
