anio,n_distritos,media_delta,mediana_delta,std_delta,pct_distritos_perdida,pct_distritos_ganancia,pct_distritos_sin_cambio
1986,180,-0.00247,-0.00013,0.00894,71.67,11.11,17.22
1987,180,-0.00687,-0.00421,0.02142,63.89,36.11,0.0
1988,180,-0.01102,-0.00482,0.02288,71.11,28.89,0.0
1989,180,-0.00224,-0.00214,0.01196,66.67,32.78,0.56
1990,180,-0.0023,-0.00182,0.00855,60.56,39.44,0.0
1991,180,0.00045,-0.00054,0.01079,52.22,47.78,0.0
1992,180,-0.001,-0.00051,0.00849,52.78,47.22,0.0
1993,180,-0.00176,-0.00151,0.0098,57.78,42.22,0.0
1994,180,-0.00252,-0.00182,0.0081,63.33,36.67,0.0
1995,180,-0.00152,-0.00052,0.00995,58.89,41.11,0.0
1996,180,-0.00441,-0.00305,0.01065,68.33,31.67,0.0
1997,180,-0.00667,-0.00381,0.0108,72.22,27.78,0.0
1998,180,-0.00387,-0.00313,0.0132,64.44,35.56,0.0
1999,180,-0.00254,-0.00284,0.00831,62.22,37.78,0.0
2000,180,-0.00264,-0.0024,0.00871,65.0,35.0,0.0
2001,180,-0.00416,-0.00388,0.01043,70.56,29.44,0.0
2002,180,-0.00297,-0.0017,0.00989,60.56,39.44,0.0
2003,180,-0.00363,-0.00285,0.00929,66.67,33.33,0.0
2004,180,-0.00233,-0.00267,0.00828,65.56,34.44,0.0
2005,180,-0.00373,-0.00185,0.01197,61.11,38.89,0.0
2006,180,-0.00211,-0.00165,0.00945,58.89,41.11,0.0
2007,180,-0.00332,-0.00308,0.01078,66.11,33.89,0.0
2008,180,-0.00048,5e-05,0.01135,49.44,50.56,0.0
2009,180,-0.00219,-0.00135,0.00807,62.78,37.22,0.0
2010,180,-0.00202,-0.00217,0.00862,59.44,40.56,0.0
2011,180,0.00015,0.00018,0.01139,49.44,50.56,0.0
2012,180,-0.00058,-0.00098,0.00971,53.33,46.67,0.0
2013,180,-0.00116,-0.00139,0.00934,56.11,43.89,0.0
2014,180,0.00044,0.00054,0.00799,46.11,53.33,0.56
2015,180,0.00045,0.00024,0.00831,48.89,51.11,0.0
2016,180,0.00176,0.00072,0.01045,45.56,54.44,0.0
2017,180,-0.00117,-0.00108,0.01072,57.78,42.22,0.0
2018,180,0.00177,0.00146,0.00865,44.44,55.56,0.0
2019,180,0.00139,0.00088,0.01146,43.33,56.67,0.0
