geocode,distrito,anio,delta_pct_bosque,tipo_cambio,limite_inferior,limite_superior
010608,Milpuc,1988,-0.11676974949837621,PERDIDA EXTREMA,-0.02219,0.01819
220507,Rumisapa,1988,-0.108209952429312,PERDIDA EXTREMA,-0.02219,0.01819
220507,Rumisapa,1987,-0.10291838152760713,PERDIDA EXTREMA,-0.02219,0.01819
220706,San Cristobal,1988,-0.08434908361125049,PERDIDA EXTREMA,-0.02219,0.01819
120209,Mariscal Castilla,2008,-0.07997010463378174,PERDIDA EXTREMA,-0.02219,0.01819
060810,San Felipe,1987,-0.079888151724617,PERDIDA EXTREMA,-0.02219,0.01819
010611,Totora,1988,-0.0788150315442992,PERDIDA EXTREMA,-0.02219,0.01819
100804,Umari,2007,-0.07254699627618999,PERDIDA EXTREMA,-0.02219,0.01819
220501,Lamas,1988,-0.0718390212757194,PERDIDA EXTREMA,-0.02219,0.01819
120209,Mariscal Castilla,1989,0.07065894369706022,GANANCIA EXTREMA,-0.02219,0.01819
060809,Sallique,1986,-0.06848159341394089,PERDIDA EXTREMA,-0.02219,0.01819
010203,Copallin,1987,0.06663069382616121,GANANCIA EXTREMA,-0.02219,0.01819
220910,Morales,1987,-0.06539648040384208,PERDIDA EXTREMA,-0.02219,0.01819
100804,Umari,2008,0.06535174301224819,GANANCIA EXTREMA,-0.02219,0.01819
220701,Picota,1988,-0.06397239013233136,PERDIDA EXTREMA,-0.02219,0.01819
120209,Mariscal Castilla,2007,0.0630761086198306,GANANCIA EXTREMA,-0.02219,0.01819
100804,Umari,2006,0.0610166449818296,GANANCIA EXTREMA,-0.02219,0.01819
220707,San Hilarion,1988,-0.06029361556845336,PERDIDA EXTREMA,-0.02219,0.01819
220507,Rumisapa,2016,0.059463359880271516,GANANCIA EXTREMA,-0.02219,0.01819
060809,Sallique,1987,-0.05914518360390281,PERDIDA EXTREMA,-0.02219,0.01819
220704,Pilluana,1987,0.05809861441167685,GANANCIA EXTREMA,-0.02219,0.01819
