variable,lag,n_pares,n_distritos,r_pooled,p_pooled,r_within,p_within,r_between,p_between
pct_agropecuario,0,6300,180,-0.7361,0.0,-0.9286,0.0,-0.7248,1.2937e-30
pct_agropecuario,1,6120,180,-0.7375,0.0,-0.9064,0.0,-0.7282,5.052e-31
pct_agropecuario,2,5940,180,-0.7382,0.0,-0.8649,0.0,-0.732,1.7625e-31
pct_agropecuario,3,5760,180,-0.7391,0.0,-0.818,0.0,-0.7359,5.7866e-32
pct_agropecuario,4,5580,180,-0.7401,0.0,-0.7784,0.0,-0.7392,2.241e-32
pct_agropecuario,5,5400,180,-0.7408,0.0,-0.7394,0.0,-0.742,9.7884e-33
pct_agropecuario,6,5220,180,-0.7415,0.0,-0.7021,0.0,-0.7445,4.6673e-33
pct_agropecuario,7,5040,180,-0.7419,0.0,-0.6639,0.0,-0.7467,2.4278e-33
pct_anp,0,6300,180,0.1091,3.958e-18,-0.1164,1.905e-20,0.1453,0.051703
pct_anp,1,6120,180,0.1082,2.1538e-17,-0.1146,2.3768e-19,0.1422,0.05692
pct_anp,2,5940,180,0.1072,1.1509e-16,-0.1134,1.7986e-18,0.1391,0.062611
pct_anp,3,5760,180,0.1067,4.5501e-16,-0.1138,4.738e-18,0.137,0.066654
pct_anp,4,5580,180,0.1058,2.2597e-15,-0.1134,1.9768e-17,0.1344,0.072
pct_anp,5,5400,180,0.1043,1.568e-14,-0.1117,1.8305e-16,0.131,0.079569
pct_anp,6,5220,180,0.1017,1.7393e-13,-0.1113,7.4516e-16,0.1272,0.088762
pct_anp,7,5040,180,0.0989,1.9744e-12,-0.113,8.4916e-16,0.1231,0.099669
