modelo,window_size,canales_conv,kernel_size,activacion,dropout,tamanio_denso,epocas,lr,lote,rmse_train,mae_train,rmse_test,mae_test,gap_rmse,gap_mae,ratio_rmse,ratio_mae
CNN_w6_c32_k2_actrelu_d0.0_dense16_e50_lr0.001_b8,6,[32],2,relu,0.0,16,50,0.001,8,0.010301,0.007999,0.010912,0.00774,0.00061,-0.000259,1.059263,0.967589
CNN_w6_c16_k2_actrelu_d0.0_dense32_e50_lr0.001_b8,6,[16],2,relu,0.0,32,50,0.001,8,0.010028,0.007692,0.010979,0.007711,0.000951,2e-05,1.094871,1.002556
CNN_w6_c16_k3_actrelu_d0.0_dense16_e50_lr0.001_b8,6,[16],3,relu,0.0,16,50,0.001,8,0.010578,0.008193,0.011001,0.007771,0.000423,-0.000422,1.040023,0.948533
CNN_w6_c32_k3_actrelu_d0.0_dense16_e50_lr0.001_b8,6,[32],3,relu,0.0,16,50,0.001,8,0.010033,0.0077,0.011012,0.007775,0.000979,7.4e-05,1.097529,1.009673
CNN_w6_c16_k3_actrelu_d0.0_dense32_e50_lr0.001_b8,6,[16],3,relu,0.0,32,50,0.001,8,0.010224,0.007837,0.011024,0.007708,0.000799,-0.000128,1.078177,0.983619
CNN_w6_c32_k3_actrelu_d0.0_dense16_e50_lr0.001_b16,6,[32],3,relu,0.0,16,50,0.001,16,0.010345,0.008012,0.011032,0.007818,0.000687,-0.000194,1.066393,0.975824
CNN_w6_c32_k2_actleaky_relu_d0.0_dense16_e50_lr0.001_b8,6,[32],2,leaky_relu,0.0,16,50,0.001,8,0.010135,0.007829,0.011035,0.007799,0.000901,-3e-05,1.088872,0.996173
CNN_w6_c32_k2_actrelu_d0.0_dense32_e50_lr0.001_b8,6,[32],2,relu,0.0,32,50,0.001,8,0.010099,0.007817,0.011051,0.00778,0.000952,-3.7e-05,1.094292,0.99525
CNN_w6_c32_k2_actleaky_relu_d0.0_dense32_e50_lr0.001_b8,6,[32],2,leaky_relu,0.0,32,50,0.001,8,0.009725,0.00746,0.011065,0.007836,0.001339,0.000375,1.137708,1.050325
CNN_w6_c16_k2_actleaky_relu_d0.0_dense32_e50_lr0.001_b8,6,[16],2,leaky_relu,0.0,32,50,0.001,8,0.010089,0.00773,0.011075,0.007892,0.000986,0.000162,1.097731,1.02092
CNN_w6_c16_k3_actleaky_relu_d0.0_dense16_e50_lr0.0005_b8,6,[16],3,leaky_relu,0.0,16,50,0.0005,8,0.009867,0.0075,0.011092,0.007957,0.001226,0.000457,1.124227,1.060989
CNN_w6_c32_k3_actrelu_d0.0_dense32_e50_lr0.0005_b8,6,[32],3,relu,0.0,32,50,0.0005,8,0.010276,0.007926,0.011109,0.007921,0.000833,-5e-06,1.081051,0.999379
CNN_w6_c16x32_k2_actleaky_relu_d0.0_dense16_e50_lr0.001_b8,6,"[16, 32]",2,leaky_relu,0.0,16,50,0.001,8,0.010442,0.008101,0.011139,0.007868,0.000698,-0.000233,1.066831,0.97124
CNN_w6_c32_k3_actleaky_relu_d0.0_dense32_e50_lr0.0005_b8,6,[32],3,leaky_relu,0.0,32,50,0.0005,8,0.009743,0.007428,0.011164,0.00786,0.00142,0.000432,1.145782,1.058214
CNN_w6_c32_k3_actleaky_relu_d0.0_dense32_e50_lr0.001_b16,6,[32],3,leaky_relu,0.0,32,50,0.001,16,0.010657,0.008297,0.011186,0.007946,0.000529,-0.000351,1.049655,0.957736
CNN_w6_c16_k3_actleaky_relu_d0.0_dense32_e50_lr0.001_b8,6,[16],3,leaky_relu,0.0,32,50,0.001,8,0.009778,0.007421,0.01121,0.007837,0.001432,0.000417,1.146477,1.056135
CNN_w6_c16x32_k3_actleaky_relu_d0.0_dense16_e50_lr0.001_b8,6,"[16, 32]",3,leaky_relu,0.0,16,50,0.001,8,0.009671,0.007276,0.011211,0.0078,0.00154,0.000524,1.1592,1.071985
CNN_w6_c32_k3_actrelu_d0.0_dense32_e50_lr0.001_b8,6,[32],3,relu,0.0,32,50,0.001,8,0.009854,0.007516,0.01123,0.007828,0.001376,0.000312,1.139635,1.041523
CNN_w6_c16_k2_actrelu_d0.0_dense16_e50_lr0.001_b8,6,[16],2,relu,0.0,16,50,0.001,8,0.010041,0.007656,0.011233,0.007932,0.001192,0.000276,1.118747,1.036081
CNN_w6_c32_k3_actleaky_relu_d0.0_dense16_e50_lr0.001_b8,6,[32],3,leaky_relu,0.0,16,50,0.001,8,0.009673,0.007266,0.011242,0.007845,0.001569,0.00058,1.162164,1.079772
CNN_w6_c32_k3_actrelu_d0.0_dense32_e50_lr0.001_b16,6,[32],3,relu,0.0,32,50,0.001,16,0.011095,0.008708,0.011254,0.008051,0.000159,-0.000657,1.014344,0.924547
CNN_w6_c16x32_k2_actrelu_d0.0_dense16_e50_lr0.001_b8,6,"[16, 32]",2,relu,0.0,16,50,0.001,8,0.010467,0.008146,0.011291,0.007842,0.000824,-0.000304,1.078741,0.96266
CNN_w6_c16_k3_actleaky_relu_d0.0_dense16_e50_lr0.001_b16,6,[16],3,leaky_relu,0.0,16,50,0.001,16,0.010461,0.008076,0.011303,0.007977,0.000842,-9.9e-05,1.080482,0.987725
CNN_w6_c32_k3_actrelu_d0.0_dense16_e50_lr0.0005_b8,6,[32],3,relu,0.0,16,50,0.0005,8,0.010325,0.007966,0.011314,0.00806,0.00099,9.4e-05,1.095842,1.011738
CNN_w6_c32_k3_actleaky_relu_d0.0_dense32_e50_lr0.001_b8,6,[32],3,leaky_relu,0.0,32,50,0.001,8,0.009826,0.007412,0.011329,0.008009,0.001503,0.000597,1.153,1.080559
CNN_w6_c32_k3_actleaky_relu_d0.0_dense32_e50_lr0.0005_b16,6,[32],3,leaky_relu,0.0,32,50,0.0005,16,0.009759,0.007371,0.011368,0.00804,0.00161,0.000669,1.16496,1.090694
