departamento,n_distritos,rmse_mlp,rmse_lstm,rmse_cnn,mae_mlp,mae_lstm,mae_cnn,mejor_modelo_rmse,mejor_modelo_mae
Amazonas,58,0.011105,0.009609,0.009796,0.008593,0.007156,0.007245,LSTM,LSTM
Ayacucho,5,0.008153,0.005303,0.006878,0.006561,0.004213,0.004667,LSTM,LSTM
Cajamarca,13,0.021137,0.022528,0.021287,0.014531,0.01571,0.015428,MLP,MLP
Cusco,8,0.009407,0.007327,0.008434,0.007846,0.006106,0.006896,LSTM,LSTM
Huanuco,15,0.010807,0.011815,0.011431,0.00766,0.008284,0.007856,MLP,MLP
Junin,10,0.011141,0.009282,0.010582,0.008838,0.006938,0.007594,LSTM,LSTM
Loreto,5,0.012952,0.013121,0.015076,0.009352,0.008421,0.010299,MLP,LSTM
Madre De Dios,2,0.009626,0.007591,0.009048,0.008093,0.005788,0.007661,LSTM,LSTM
Piura,2,0.012974,0.012984,0.012566,0.010657,0.010285,0.009482,CNN,CNN
Puno,1,0.007808,0.005232,0.005414,0.00624,0.003526,0.004847,LSTM,LSTM
San Martin,54,0.009816,0.008817,0.008352,0.007721,0.006838,0.006557,CNN,CNN
Ucayali,7,0.013255,0.012133,0.009838,0.010828,0.010272,0.007915,CNN,CNN
