geocode,departamento,distrito,rmse,mae
060810,Cajamarca,San Felipe,0.034529,0.027556
060904,Cajamarca,La Coipa,0.033355,0.025058
060901,Cajamarca,San Ignacio,0.034393,0.02471
060902,Cajamarca,Chirinos,0.032249,0.021566
060803,Cajamarca,Chontali,0.024545,0.018957
060811,Cajamarca,San Jose Del Alto,0.021729,0.018707
010610,Amazonas,Santa Rosa,0.018243,0.016454
220507,San Martin,Rumisapa,0.017337,0.016364
160101,Loreto,Iquitos,0.023525,0.015838
100804,Huanuco,Umari,0.019666,0.01533
100505,Huanuco,Jircan,0.018476,0.015276
060907,Cajamarca,Tabaconas,0.018953,0.01514
010611,Amazonas,Totora,0.016512,0.014475
060804,Cajamarca,Colasay,0.015186,0.01412
100113,Huanuco,San Pablo De Pillao,0.021941,0.013556
250102,Ucayali,Campoverde,0.014596,0.013483
010706,Amazonas,Lonya Grande,0.016623,0.013353
120304,Junin,San Luis De Shuaro,0.014951,0.012698
220902,San Martin,Alberto Leveau,0.014472,0.012603
120209,Junin,Mariscal Castilla,0.016771,0.012464
010115,Amazonas,Montevideo,0.023945,0.012432
010705,Amazonas,Jamalca,0.015154,0.012392
100103,Huanuco,Chinchao,0.012636,0.012307
010701,Amazonas,Bagua Grande,0.014392,0.012195
220302,San Martin,Agua Blanca,0.013731,0.011971
010305,Amazonas,Cuispes,0.013107,0.011868
250105,Ucayali,Yarinacocha,0.016547,0.011786
060807,Cajamarca,Pomahuaca,0.013045,0.011687
250305,Ucayali,Alexander Von Humboldt,0.012296,0.011653
010204,Amazonas,El Parco,0.012108,0.011605
010109,Amazonas,La Jalca,0.013171,0.011407
220201,San Martin,Bellavista,0.012774,0.011271
250106,Ucayali,Nueva Requena,0.01237,0.01123
200307,Piura,Sondor,0.012469,0.011094
220807,San Martin,San Fernando,0.01217,0.011068
010119,Amazonas,San Isidro De Maino,0.012169,0.011012
220204,San Martin,Huallaga,0.011799,0.010909
220806,San Martin,Posic,0.012929,0.010831
220605,San Martin,Pajarillo,0.012287,0.010693
220706,San Martin,San Cristobal,0.011948,0.010458
220705,San Martin,Pucacaca,0.011586,0.01044
160112,Loreto,Belen,0.012901,0.010438
220601,San Martin,Juanjui,0.011963,0.010135
100903,Huanuco,Honoria,0.013732,0.009785
010608,Amazonas,Milpuc,0.010681,0.00976
080905,Cusco,Ocobamba,0.010306,0.009735
010307,Amazonas,Jazan,0.012453,0.00955
200303,Piura,El Carmen De La Frontera,0.013479,0.009476
220106,San Martin,Yantalo,0.01059,0.009192
010112,Amazonas,Magdalena,0.010365,0.00917
250304,Ucayali,Neshuya,0.010497,0.009154
010603,Amazonas,Cochamal,0.009197,0.008981
010514,Amazonas,Pisuquia,0.009891,0.008953
050512,Ayacucho,Union Progreso,0.009339,0.008926
060809,Cajamarca,Sallique,0.009752,0.008918
220502,San Martin,Alonso De Alvarado,0.01062,0.0088
220304,San Martin,Santa Rosa,0.010909,0.00879
010515,Amazonas,Providencia,0.011206,0.00877
220203,San Martin,Bajo Biavo,0.010768,0.00873
010303,Amazonas,Churuja,0.011261,0.008583
010604,Amazonas,Huambo,0.01133,0.008564
220510,San Martin,Tabalosos,0.009907,0.008511
120602,Junin,Coviriali,0.008658,0.008346
010304,Amazonas,Corosha,0.009423,0.008184
220405,San Martin,Sacanche,0.008838,0.008172
220702,San Martin,Buenos Aires,0.009512,0.008112
220205,San Martin,San Pablo,0.00906,0.008036
220301,San Martin,San Jose De Sisa,0.009987,0.00803
010310,Amazonas,Shipasbamba,0.010377,0.008028
060801,Cajamarca,Jaen,0.008654,0.008017
010308,Amazonas,Recta,0.010147,0.00797
250306,Ucayali,Huipoca,0.008407,0.007946
100904,Huanuco,Tournavista,0.008421,0.007918
010512,Amazonas,Ocalli,0.009738,0.007855
160603,Loreto,Padre Marquez,0.009349,0.007743
080903,Cusco,Huayopata,0.009061,0.007728
220303,San Martin,San Martin,0.009073,0.007711
010605,Amazonas,Limabamba,0.008646,0.007711
010306,Amazonas,Florida,0.008753,0.007621
010510,Amazonas,Luya Viejo,0.01182,0.007509
220511,San Martin,Zapatero,0.008401,0.007507
