modelo,window_size,unidades_ocultas,num_capas,dropout,epocas,lr,lote,rmse_train,mae_train,rmse_test,mae_test,gap_rmse,gap_mae,ratio_rmse,ratio_mae
LSTM_w6_h16_l2_d0.0_e50_lr0.001_b8,6,16,2,0.0,50,0.001,8,0.00956,0.007177,0.011067,0.007788,0.001507,0.00061,1.15766,1.085037
LSTM_w6_h16_l2_d0.0_e50_lr0.0005_b8,6,16,2,0.0,50,0.0005,8,0.009474,0.007019,0.011174,0.007857,0.001699,0.000838,1.179341,1.11934
LSTM_w6_h32_l1_d0.0_e50_lr0.0005_b8,6,32,1,0.0,50,0.0005,8,0.009141,0.006642,0.01118,0.00787,0.002039,0.001228,1.223102,1.184908
LSTM_w6_h16_l1_d0.0_e50_lr0.001_b8,6,16,1,0.0,50,0.001,8,0.009281,0.006813,0.011183,0.007824,0.001901,0.001011,1.204841,1.148333
LSTM_w6_h32_l2_d0.0_e50_lr0.0005_b8,6,32,2,0.0,50,0.0005,8,0.009368,0.006916,0.0112,0.007904,0.001832,0.000988,1.195568,1.142833
LSTM_w6_h64_l2_d0.1_e50_lr0.0005_b8,6,64,2,0.1,50,0.0005,8,0.010044,0.00751,0.011206,0.007716,0.001163,0.000206,1.115777,1.027446
LSTM_w6_h32_l1_d0.0_e50_lr0.001_b8,6,32,1,0.0,50,0.001,8,0.00902,0.006576,0.01121,0.007914,0.00219,0.001338,1.242827,1.203496
LSTM_w6_h16_l1_d0.0_e50_lr0.0005_b8,6,16,1,0.0,50,0.0005,8,0.0093,0.006802,0.011215,0.007904,0.001915,0.001103,1.205898,1.162145
LSTM_w6_h32_l2_d0.0_e50_lr0.001_b8,6,32,2,0.0,50,0.001,8,0.009388,0.007022,0.011235,0.007883,0.001847,0.000861,1.196741,1.122569
LSTM_w6_h64_l1_d0.0_e50_lr0.0005_b8,6,64,1,0.0,50,0.0005,8,0.009149,0.006674,0.011243,0.007959,0.002094,0.001285,1.228906,1.192517
LSTM_w6_h16_l2_d0.0_e50_lr0.001_b16,6,16,2,0.0,50,0.001,16,0.009386,0.006946,0.01128,0.007885,0.001893,0.000939,1.201711,1.135203
LSTM_w6_h64_l2_d0.0_e50_lr0.001_b16,6,64,2,0.0,50,0.001,16,0.00968,0.00728,0.011315,0.008014,0.001634,0.000735,1.168807,1.100911
LSTM_w6_h32_l2_d0.0_e50_lr0.001_b16,6,32,2,0.0,50,0.001,16,0.009615,0.0072,0.011324,0.00802,0.001709,0.000819,1.177716,1.11381
LSTM_w6_h64_l2_d0.0_e50_lr0.001_b8,6,64,2,0.0,50,0.001,8,0.009422,0.007064,0.011364,0.008001,0.001943,0.000937,1.206178,1.132637
LSTM_w6_h64_l2_d0.1_e50_lr0.001_b8,6,64,2,0.1,50,0.001,8,0.010031,0.007409,0.011371,0.007818,0.00134,0.00041,1.133638,1.055273
LSTM_w6_h32_l2_d0.0_e50_lr0.0005_b16,6,32,2,0.0,50,0.0005,16,0.009233,0.006735,0.011373,0.008017,0.00214,0.001282,1.231747,1.190321
LSTM_w6_h64_l1_d0.0_e50_lr0.001_b8,6,64,1,0.0,50,0.001,8,0.009073,0.006633,0.011378,0.00803,0.002306,0.001397,1.254138,1.210616
LSTM_w6_h64_l2_d0.0_e50_lr0.0005_b8,6,64,2,0.0,50,0.0005,8,0.009372,0.006953,0.011424,0.008125,0.002052,0.001172,1.218976,1.168526
LSTM_w6_h64_l2_d0.0_e50_lr0.0005_b16,6,64,2,0.0,50,0.0005,16,0.009477,0.007032,0.011435,0.008098,0.001958,0.001066,1.206578,1.151626
LSTM_w4_h64_l1_d0.1_e50_lr0.0005_b8,4,64,1,0.1,50,0.0005,8,0.009805,0.007116,0.011447,0.008041,0.001642,0.000925,1.1675,1.130055
LSTM_w6_h16_l1_d0.1_e50_lr0.0005_b8,6,16,1,0.1,50,0.0005,8,0.009916,0.007331,0.011559,0.008036,0.001643,0.000706,1.165657,1.096275
LSTM_w4_h64_l1_d0.1_e50_lr0.001_b16,4,64,1,0.1,50,0.001,16,0.009856,0.007191,0.011563,0.008192,0.001707,0.001002,1.173163,1.139288
LSTM_w5_h32_l2_d0.0_e50_lr0.0005_b16,5,32,2,0.0,50,0.0005,16,0.009138,0.006497,0.011565,0.008283,0.002427,0.001785,1.265646,1.274796
LSTM_w5_h16_l1_d0.1_e50_lr0.0005_b8,5,16,1,0.1,50,0.0005,8,0.009703,0.007086,0.011576,0.008117,0.001873,0.00103,1.193016,1.145415
LSTM_w3_h16_l1_d0.1_e50_lr0.0005_b16,3,16,1,0.1,50,0.0005,16,0.010333,0.007397,0.011587,0.008146,0.001254,0.000749,1.121331,1.101234
LSTM_w4_h64_l1_d0.1_e50_lr0.001_b8,4,64,1,0.1,50,0.001,8,0.010118,0.007431,0.01159,0.008149,0.001472,0.000718,1.145481,1.096573
LSTM_w3_h32_l1_d0.1_e50_lr0.0005_b16,3,32,1,0.1,50,0.0005,16,0.010268,0.007394,0.011612,0.008155,0.001345,0.000761,1.130947,1.102939
