modelo,window_size,capas_ocultas,activacion,dropout,epocas,lr,lote,rmse_train,mae_train,rmse_test,mae_test,gap_rmse,gap_mae,ratio_rmse,ratio_mae
MLP_w6_h64x32_actleaky_relu_d0.0_e50_lr0.001_b16,6,"[64, 32]",leaky_relu,0.0,50,0.001,16,0.010861,0.008479,0.01175,0.008719,0.000888,0.000239,1.081761,1.028229
MLP_w6_h128x64x32_actrelu_d0.0_e50_lr0.0005_b8,6,"[128, 64, 32]",relu,0.0,50,0.0005,8,0.009631,0.007198,0.011813,0.008642,0.002182,0.001444,1.226547,1.200631
MLP_w6_h128x64x32_actleaky_relu_d0.0_e50_lr0.0005_b8,6,"[128, 64, 32]",leaky_relu,0.0,50,0.0005,8,0.009511,0.007113,0.011896,0.008745,0.002385,0.001632,1.250717,1.229378
MLP_w6_h32x16_actrelu_d0.0_e50_lr0.001_b16,6,"[32, 16]",relu,0.0,50,0.001,16,0.010897,0.008432,0.011928,0.008685,0.001032,0.000253,1.094686,1.030063
MLP_w6_h128x64x32_actrelu_d0.0_e50_lr0.0005_b16,6,"[128, 64, 32]",relu,0.0,50,0.0005,16,0.011001,0.00863,0.011968,0.008895,0.000967,0.000265,1.087872,1.030764
MLP_w6_h32x16_actrelu_d0.0_e50_lr0.0005_b8,6,"[32, 16]",relu,0.0,50,0.0005,8,0.009659,0.007222,0.012042,0.008725,0.002383,0.001503,1.246758,1.208081
MLP_w6_h128x64x32_actleaky_relu_d0.0_e50_lr0.0005_b16,6,"[128, 64, 32]",leaky_relu,0.0,50,0.0005,16,0.010847,0.00845,0.012053,0.008902,0.001206,0.000452,1.111187,1.05352
MLP_w6_h64x32_actleaky_relu_d0.0_e50_lr0.0005_b8,6,"[64, 32]",leaky_relu,0.0,50,0.0005,8,0.009604,0.007117,0.012128,0.008914,0.002524,0.001797,1.262832,1.252512
MLP_w6_h32x16_actleaky_relu_d0.0_e50_lr0.001_b16,6,"[32, 16]",leaky_relu,0.0,50,0.001,16,0.01049,0.008,0.012141,0.008942,0.001651,0.000942,1.157423,1.117758
MLP_w6_h32x16_actleaky_relu_d0.0_e50_lr0.0005_b8,6,"[32, 16]",leaky_relu,0.0,50,0.0005,8,0.009631,0.007199,0.012219,0.008972,0.002588,0.001773,1.268731,1.24629
MLP_w6_h64x32_actrelu_d0.0_e50_lr0.001_b16,6,"[64, 32]",relu,0.0,50,0.001,16,0.011411,0.008956,0.01222,0.008972,0.000809,1.6e-05,1.070891,1.001802
MLP_w6_h128x64x32_actleaky_relu_d0.0_e50_lr0.001_b16,6,"[128, 64, 32]",leaky_relu,0.0,50,0.001,16,0.012175,0.009678,0.012244,0.009256,6.9e-05,-0.000423,1.005666,0.956345
