geocode,departamento,distrito,anio,pct_rios_lagos
250305,Ucayali,Alexander Von Humboldt,1985,0.0
220509,San Martin,Shanao,1985,0.016713
250304,Ucayali,Neshuya,1985,0.000235
220501,San Martin,Lamas,1985,0.004119
220902,San Martin,Alberto Leveau,1985,0.016589
250102,Ucayali,Campoverde,1985,0.002806
220702,San Martin,Buenos Aires,1985,0.020414
220502,San Martin,Alonso De Alvarado,1985,0.000699
220404,San Martin,Piscoyacu,1985,0.005472
220708,San Martin,Shamboyacu,1985,0.00021
220204,San Martin,Huallaga,1985,0.005228
220605,San Martin,Pajarillo,1985,0.020428
010703,Amazonas,Cumba,1985,0.006621
220704,San Martin,Pilluana,1985,0.024595
220104,San Martin,Jepelacio,1985,0.002809
220505,San Martin,Cuñumbuqui,1985,0.01046
220507,San Martin,Rumisapa,1985,0.002566
220913,San Martin,Sauce,1985,0.051895
010608,Amazonas,Milpuc,1985,0.000786
220405,San Martin,Sacanche,1985,0.009202
220709,San Martin,Tingo De Ponasa,1985,0.000818
220304,San Martin,Santa Rosa,1985,0.002355
100903,Huanuco,Honoria,1985,0.027037
220203,San Martin,Bajo Biavo,1985,0.009657
220710,San Martin,Tres Unidos,1985,0.000796
220510,San Martin,Tabalosos,1985,0.006876
100904,Huanuco,Tournavista,1985,0.014258
010701,Amazonas,Bagua Grande,1985,0.003376
220701,San Martin,Picota,1985,0.05981
220403,San Martin,El Eslabon,1985,0.008473
250105,Ucayali,Yarinacocha,1985,0.069135
220914,San Martin,Shapaja,1985,0.021611
010707,Amazonas,Yamon,1985,0.00372
010705,Amazonas,Jamalca,1985,0.001957
220205,San Martin,San Pablo,1985,0.007237
220705,San Martin,Pucacaca,1985,0.040299
220601,San Martin,Juanjui,1985,0.033067
100905,Huanuco,Yuyapichis,1985,0.011758
100608,Huanuco,Castillo Grande,1985,0.017911
220302,San Martin,Agua Blanca,1985,0.001786
250306,Ucayali,Huipoca,1985,0.007815
010611,Amazonas,Totora,1985,0.000594
010706,Amazonas,Lonya Grande,1985,0.000623
220706,San Martin,San Cristobal,1985,0.081811
010303,Amazonas,Churuja,1985,0.00847
220301,San Martin,San Jose De Sisa,1985,0.002093
010204,Amazonas,El Parco,1985,0.002007
010306,Amazonas,Florida,1985,0.019038
220303,San Martin,San Martin,1985,0.001411
220106,San Martin,Yantalo,1985,0.026765
220305,San Martin,Shatoja,1985,0.006575
010104,Amazonas,Cheto,1985,0.0
160201,Loreto,Yurimaguas,1985,0.033092
060901,Cajamarca,San Ignacio,1985,0.004448
220511,San Martin,Zapatero,1985,0.003264
060811,Cajamarca,San Jose Del Alto,1985,0.002313
010206,Amazonas,La Peca,1985,9e-05
220401,San Martin,Saposoa,1985,0.004565
060902,Cajamarca,Chirinos,1985,0.006861
220908,San Martin,Juan Guerra,1985,0.033517
060904,Cajamarca,La Coipa,1985,0.001466
220808,San Martin,Yorongos,1985,0.01457
120607,Junin,Rio Negro,1985,0.003951
060812,Cajamarca,Santa Rosa,1985,0.013467
250106,Ucayali,Nueva Requena,1985,0.023711
220802,San Martin,Awajun,1985,0.006427
250302,Ucayali,Irazola,1985,0.004216
010109,Amazonas,La Jalca,1985,0.0
220906,San Martin,El Porvenir,1985,0.021866
220707,San Martin,San Hilarion,1985,0.02162
220806,San Martin,Posic,1985,0.025761
220406,San Martin,Tingo De Saposoa,1985,0.087381
100901,Huanuco,Puerto Inca,1985,0.014638
010105,Amazonas,Chiliquin,1985,0.0
220105,San Martin,Soritor,1985,0.002846
220201,San Martin,Bellavista,1985,0.032679
060803,Cajamarca,Chontali,1985,0.003189
100605,Huanuco,Luyando,1985,0.024109
010307,Amazonas,Jazan,1985,0.002924
010502,Amazonas,Camporredondo,1985,0.000646
010515,Amazonas,Providencia,1985,0.002672
010102,Amazonas,Asuncion,1985,0.0
010510,Amazonas,Luya Viejo,1985,3.9e-05
100601,Huanuco,Rupa-Rupa,1985,0.014411
010514,Amazonas,Pisuquia,1985,0.00143
060810,Cajamarca,San Felipe,1985,0.004901
010305,Amazonas,Cuispes,1985,0.000203
060905,Cajamarca,Namballe,1985,0.00185
010119,Amazonas,San Isidro De Maino,1985,0.0
060801,Cajamarca,Jaen,1985,0.002621
010513,Amazonas,Ocumal,1985,0.001248
220912,San Martin,San Antonio,1985,0.002304
220903,San Martin,Cacatachi,1985,0.008011
120602,Junin,Coviriali,1985,0.000467
120304,Junin,San Luis De Shuaro,1985,0.00293
120601,Junin,Satipo,1985,0.004373
010203,Amazonas,Copallin,1985,0.007599
010112,Amazonas,Magdalena,1985,0.0
220102,San Martin,Calzada,1985,0.009485
060805,Cajamarca,Huabal,1985,0.0
010610,Amazonas,Santa Rosa,1985,0.0
220503,San Martin,Barranquita,1985,0.005828
220801,San Martin,Rioja,1985,0.004728
220703,San Martin,Caspisapa,1985,0.037808
080904,Cusco,Maranura,1985,0.014158
010117,Amazonas,Quinjalca,1985,0.0
250303,Ucayali,Curimana,1985,0.013315
010308,Amazonas,Recta,1985,0.0
010115,Amazonas,Montevideo,1985,0.0
010114,Amazonas,Molinopampa,1985,0.000408
010503,Amazonas,Cocabamba,1985,0.001433
060809,Cajamarca,Sallique,1985,0.00629
010120,Amazonas,Soloco,1985,0.0
010521,Amazonas,Santo Tomas,1985,0.0
100113,Huanuco,San Pablo De Pillao,1985,0.002129
010602,Amazonas,Chirimoto,1985,8.7e-05
100603,Huanuco,Hermilio Valdizan,1985,0.001885
010111,Amazonas,Levanto,1985,0.000202
010518,Amazonas,San Jeronimo,1985,0.000907
010609,Amazonas,Omia,1985,3.9e-05
100902,Huanuco,Codo Del Pozuzo,1985,0.007619
010113,Amazonas,Mariscal Castilla,1985,0.0
220101,San Martin,Moyobamba,1985,0.004011
010310,Amazonas,Shipasbamba,1985,0.003222
100103,Huanuco,Chinchao,1985,0.002026
010311,Amazonas,Valera,1985,0.002747
060907,Cajamarca,Tabaconas,1985,0.001289
160112,Loreto,Belen,1985,0.114622
200307,Piura,Sondor,1985,0.001889
220803,San Martin,Elias Soplin Vargas,1985,0.000362
010506,Amazonas,Inguilpata,1985,0.000578
220506,San Martin,Pinto Recodo,1985,0.003216
120303,Junin,Pichanaqui,1985,0.004108
010202,Amazonas,Aramango,1985,0.005595
010606,Amazonas,Longar,1985,2.2e-05
160101,Loreto,Iquitos,1985,0.042668
010507,Amazonas,Longuita,1985,0.000258
221001,San Martin,Tocache,1985,0.017135
010511,Amazonas,Maria,1985,0.0
080901,Cusco,Santa Ana,1985,0.010535
120302,Junin,Perene,1985,0.003391
050409,Ayacucho,Canayre,1985,0.016762
221002,San Martin,Nuevo Progreso,1985,0.009053
200303,Piura,El Carmen De La Frontera,1985,0.003992
100609,Huanuco,Pueblo Nuevo,1985,0.010383
080903,Cusco,Huayopata,1985,0.005843
010604,Amazonas,Huambo,1985,0.0
100505,Huanuco,Jircan,1985,0.001305
010512,Amazonas,Ocalli,1985,0.0
010101,Amazonas,Chachapoyas,1985,0.001231
060903,Cajamarca,Huarango,1985,0.004986
010116,Amazonas,Olleros,1985,0.0
