geocode,departamento,distrito,anio,pct_urbano
250305,Ucayali,Alexander Von Humboldt,1985,0.003491
220509,San Martin,Shanao,1985,0.003394
250304,Ucayali,Neshuya,1985,0.001042
220501,San Martin,Lamas,1985,0.018241
220902,San Martin,Alberto Leveau,1985,0.002041
250102,Ucayali,Campoverde,1985,0.002267
220702,San Martin,Buenos Aires,1985,0.002185
220502,San Martin,Alonso De Alvarado,1985,0.001791
220404,San Martin,Piscoyacu,1985,0.001798
220708,San Martin,Shamboyacu,1985,0.000371
220204,San Martin,Huallaga,1985,0.000914
220605,San Martin,Pajarillo,1985,0.000664
010703,Amazonas,Cumba,1985,0.001286
220704,San Martin,Pilluana,1985,0.00822
220104,San Martin,Jepelacio,1985,0.003774
220505,San Martin,Cuñumbuqui,1985,0.003391
220507,San Martin,Rumisapa,1985,0.007483
220913,San Martin,Sauce,1985,0.003839
010608,Amazonas,Milpuc,1985,0.000207
220405,San Martin,Sacanche,1985,0.001339
220709,San Martin,Tingo De Ponasa,1985,0.001956
220304,San Martin,Santa Rosa,1985,0.00083
100903,Huanuco,Honoria,1985,0.000245
220203,San Martin,Bajo Biavo,1985,0.00101
220710,San Martin,Tres Unidos,1985,0.000616
220510,San Martin,Tabalosos,1985,0.002948
100904,Huanuco,Tournavista,1985,0.000225
010701,Amazonas,Bagua Grande,1985,0.009026
220701,San Martin,Picota,1985,0.009782
220403,San Martin,El Eslabon,1985,0.001574
250105,Ucayali,Yarinacocha,1985,0.011309
220914,San Martin,Shapaja,1985,0.001289
010707,Amazonas,Yamon,1985,0.000651
010705,Amazonas,Jamalca,1985,0.000523
220205,San Martin,San Pablo,1985,0.002355
220705,San Martin,Pucacaca,1985,0.006999
220601,San Martin,Juanjui,1985,0.006391
100905,Huanuco,Yuyapichis,1985,7e-05
100608,Huanuco,Castillo Grande,1985,0.008782
220302,San Martin,Agua Blanca,1985,0.001693
250306,Ucayali,Huipoca,1985,0.000271
010611,Amazonas,Totora,1985,0.00224
010706,Amazonas,Lonya Grande,1985,0.00041
220706,San Martin,San Cristobal,1985,0.006877
010303,Amazonas,Churuja,1985,0.000867
220301,San Martin,San Jose De Sisa,1985,0.001955
010204,Amazonas,El Parco,1985,0.005582
010306,Amazonas,Florida,1985,0.00095
220303,San Martin,San Martin,1985,0.000179
220106,San Martin,Yantalo,1985,0.00474
220305,San Martin,Shatoja,1985,0.001533
010104,Amazonas,Cheto,1985,7.6e-05
160201,Loreto,Yurimaguas,1985,0.002338
060901,Cajamarca,San Ignacio,1985,0.003203
220511,San Martin,Zapatero,1985,0.001961
060811,Cajamarca,San Jose Del Alto,1985,0.000364
010206,Amazonas,La Peca,1985,0.001869
220401,San Martin,Saposoa,1985,0.001423
060902,Cajamarca,Chirinos,1985,0.002077
220908,San Martin,Juan Guerra,1985,0.004659
060904,Cajamarca,La Coipa,1985,0.00141
220808,San Martin,Yorongos,1985,0.004349
120607,Junin,Rio Negro,1985,0.001369
060812,Cajamarca,Santa Rosa,1985,0.000381
250106,Ucayali,Nueva Requena,1985,0.000234
220802,San Martin,Awajun,1985,0.000248
250302,Ucayali,Irazola,1985,0.000205
010109,Amazonas,La Jalca,1985,0.001333
220906,San Martin,El Porvenir,1985,0.000525
220707,San Martin,San Hilarion,1985,0.007554
220806,San Martin,Posic,1985,0.005362
220406,San Martin,Tingo De Saposoa,1985,0.004197
100901,Huanuco,Puerto Inca,1985,0.000111
010105,Amazonas,Chiliquin,1985,0.0
220105,San Martin,Soritor,1985,0.003805
220201,San Martin,Bellavista,1985,0.014836
060803,Cajamarca,Chontali,1985,0.000258
100605,Huanuco,Luyando,1985,0.005623
010307,Amazonas,Jazan,1985,0.004614
010502,Amazonas,Camporredondo,1985,0.000614
010515,Amazonas,Providencia,1985,0.000366
010102,Amazonas,Asuncion,1985,0.0
010510,Amazonas,Luya Viejo,1985,0.000105
100601,Huanuco,Rupa-Rupa,1985,0.00971
010514,Amazonas,Pisuquia,1985,6e-06
060810,Cajamarca,San Felipe,1985,0.001865
010305,Amazonas,Cuispes,1985,9.2e-05
060905,Cajamarca,Namballe,1985,6.3e-05
010119,Amazonas,San Isidro De Maino,1985,0.00014
060801,Cajamarca,Jaen,1985,0.013169
010513,Amazonas,Ocumal,1985,1.7e-05
220912,San Martin,San Antonio,1985,0.002156
220903,San Martin,Cacatachi,1985,0.008773
120602,Junin,Coviriali,1985,0.001644
120304,Junin,San Luis De Shuaro,1985,0.000913
120601,Junin,Satipo,1985,0.003613
010203,Amazonas,Copallin,1985,0.001961
010112,Amazonas,Magdalena,1985,0.001024
220102,San Martin,Calzada,1985,0.012447
060805,Cajamarca,Huabal,1985,0.001983
010610,Amazonas,Santa Rosa,1985,0.002637
220503,San Martin,Barranquita,1985,0.000254
220801,San Martin,Rioja,1985,0.022277
220703,San Martin,Caspisapa,1985,0.007041
080904,Cusco,Maranura,1985,0.002532
010117,Amazonas,Quinjalca,1985,0.0
250303,Ucayali,Curimana,1985,6.5e-05
010308,Amazonas,Recta,1985,0.0
010115,Amazonas,Montevideo,1985,0.000166
010114,Amazonas,Molinopampa,1985,8e-06
010503,Amazonas,Cocabamba,1985,9.4e-05
060809,Cajamarca,Sallique,1985,0.000861
010120,Amazonas,Soloco,1985,8.3e-05
010521,Amazonas,Santo Tomas,1985,0.000632
100113,Huanuco,San Pablo De Pillao,1985,0.0
010602,Amazonas,Chirimoto,1985,0.000127
100603,Huanuco,Hermilio Valdizan,1985,0.0
010111,Amazonas,Levanto,1985,9.5e-05
010518,Amazonas,San Jeronimo,1985,4.7e-05
010609,Amazonas,Omia,1985,5.1e-05
100902,Huanuco,Codo Del Pozuzo,1985,4e-06
010113,Amazonas,Mariscal Castilla,1985,0.001206
220101,San Martin,Moyobamba,1985,0.00237
010310,Amazonas,Shipasbamba,1985,0.000397
100103,Huanuco,Chinchao,1985,0.000214
010311,Amazonas,Valera,1985,0.000239
060907,Cajamarca,Tabaconas,1985,9.1e-05
160112,Loreto,Belen,1985,0.004677
200307,Piura,Sondor,1985,0.000874
220803,San Martin,Elias Soplin Vargas,1985,0.004847
010506,Amazonas,Inguilpata,1985,0.0
220506,San Martin,Pinto Recodo,1985,0.000389
120303,Junin,Pichanaqui,1985,0.002589
010202,Amazonas,Aramango,1985,0.000202
010606,Amazonas,Longar,1985,0.00107
160101,Loreto,Iquitos,1985,0.029749
010507,Amazonas,Longuita,1985,0.000333
221001,San Martin,Tocache,1985,0.005414
010511,Amazonas,Maria,1985,0.0
080901,Cusco,Santa Ana,1985,0.008791
120302,Junin,Perene,1985,0.003019
050409,Ayacucho,Canayre,1985,0.000429
221002,San Martin,Nuevo Progreso,1985,0.001573
200303,Piura,El Carmen De La Frontera,1985,0.00013
100609,Huanuco,Pueblo Nuevo,1985,0.000193
080903,Cusco,Huayopata,1985,0.000973
010604,Amazonas,Huambo,1985,0.002564
100505,Huanuco,Jircan,1985,0.0
010512,Amazonas,Ocalli,1985,0.000553
010101,Amazonas,Chachapoyas,1985,0.019724
060903,Cajamarca,Huarango,1985,0.000365
010116,Amazonas,Olleros,1985,0.0
010605,Amazonas,Limabamba,1985,0.000133
100804,Huanuco,Umari,1985,0.0
220504,San Martin,Caynarachi,1985,0.000516
080905,Cusco,Ocobamba,1985,0.000314
010517,Amazonas,San Francisco Del Yeso,1985,6.8e-05
120609,Junin,Vizcatán Del Ene,1985,3.7e-05
060807,Cajamarca,Pomahuaca,1985,0.000536
010304,Amazonas,Corosha,1985,0.0
221005,San Martin,Uchiza,1985,0.003874
220807,San Martin,San Fernando,1985,0.000888
050512,Ayacucho,Union Progreso,1985,0.002675
060804,Cajamarca,Colasay,1985,0.000479
160503,Loreto,Capelo,1985,0.00038
220910,San Martin,Morales,1985,0.040998
120604,Junin,Mazamari,1985,0.001165
120603,Junin,Llaylla,1985,0.000162
010520,Amazonas,Santa Catalina,1985,3.8e-05
010603,Amazonas,Cochamal,1985,7.4e-05
120209,Junin,Mariscal Castilla,1985,0.003659
010601,Amazonas,San Nicolas,1985,0.006838
010519,Amazonas,San Juan De Lopecancha,1985,0.0
160211,Loreto,Teniente Cesar Lopez Rojas,1985,8.8e-05
080408,Cusco,Yanatile,1985,0.000544
050408,Ayacucho,Llochegua,1985,0.000406
100507,Huanuco,Monzon,1985,0.000543
081304,Cusco,Machupicchu,1985,0.000451
220909,San Martin,La Banda De Shilcayo,1985,0.009809
220103,San Martin,Habana,1985,0.011552
100606,Huanuco,Mariano Damaso Beraun,1985,0.000366
010508,Amazonas,Lonya Chico,1985,0.00188
