categoria,tipo_fuente,archivo,ruta,anio,crs,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,res_x,res_y,width,height,n_bandas,dtype,nodata,file_size_mb
mapbiomas,raster,peru_amazonia_1985.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1985.tif,1985.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1986.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1986.tif,1986.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1987.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1987.tif,1987.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1988.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1988.tif,1988.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1989.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1989.tif,1989.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1990.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1990.tif,1990.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1991.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1991.tif,1991.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1992.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1992.tif,1992.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1993.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1993.tif,1993.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1994.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1994.tif,1994.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1995.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1995.tif,1995.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1996.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1996.tif,1996.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1997.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1997.tif,1997.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1998.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1998.tif,1998.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_1999.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_1999.tif,1999.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2000.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2000.tif,2000.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2001.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2001.tif,2001.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2002.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2002.tif,2002.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2003.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2003.tif,2003.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2004.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2004.tif,2004.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2005.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2005.tif,2005.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2006.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2006.tif,2006.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2007.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2007.tif,2007.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2008.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2008.tif,2008.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2009.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2009.tif,2009.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2010.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2010.tif,2010.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2011.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2011.tif,2011.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2012.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2012.tif,2012.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2013.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2013.tif,2013.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2014.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2014.tif,2014.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2015.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2015.tif,2015.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2016.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2016.tif,2016.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
mapbiomas,raster,peru_amazonia_2017.tif,D:\VisualCode\Tesis\deforestation-forecast\data\interim\O1\mapas-amazonia\peru_amazonia_2017.tif,2017.0,EPSG:4326,-79.501172,-14.488029,-68.651859,-0.038538,0.00026949,0.00026949,40258.0,53617.0,1.0,uint8,,2058.83
