geocode,departamento,distrito,anio,pix_total,pix_agropecuario,pct_agropecuario
250305,Ucayali,Alexander Von Humboldt,1985,232299,47939,0.206368
220509,San Martin,Shanao,1985,27404,11004,0.401547
250304,Ucayali,Neshuya,1985,705695,89230,0.126443
220501,San Martin,Lamas,1985,145659,59775,0.410376
220902,San Martin,Alberto Leveau,1985,58292,17626,0.302374
250102,Ucayali,Campoverde,1985,1499070,470338,0.313753
220702,San Martin,Buenos Aires,1985,350498,125374,0.357702
220502,San Martin,Alonso De Alvarado,1985,333345,67414,0.202235
220404,San Martin,Piscoyacu,1985,202503,64186,0.316963
220708,San Martin,Shamboyacu,1985,442263,40468,0.091502
220204,San Martin,Huallaga,1985,288997,44073,0.152503
220605,San Martin,Pajarillo,1985,512229,180796,0.352959
010703,Amazonas,Cumba,1985,338309,133743,0.395328
220704,San Martin,Pilluana,1985,77007,27354,0.355214
220104,San Martin,Jepelacio,1985,434300,128569,0.296037
220505,San Martin,Cuñumbuqui,1985,204978,88359,0.431066
220507,San Martin,Rumisapa,1985,37418,18290,0.488802
220913,San Martin,Sauce,1985,113557,32931,0.289995
010608,Amazonas,Milpuc,1985,48343,14701,0.304098
220405,San Martin,Sacanche,1985,182234,79483,0.436159
220709,San Martin,Tingo De Ponasa,1985,377839,106120,0.28086
220304,San Martin,Santa Rosa,1985,280633,130297,0.464297
100903,Huanuco,Honoria,1985,1073943,106575,0.099237
220203,San Martin,Bajo Biavo,1985,1265183,168808,0.133426
220710,San Martin,Tres Unidos,1985,417343,52951,0.126876
220510,San Martin,Tabalosos,1985,407368,142840,0.350641
100904,Huanuco,Tournavista,1985,1971052,130808,0.066365
010701,Amazonas,Bagua Grande,1985,817863,268976,0.328877
220701,San Martin,Picota,1985,244840,65532,0.267652
220403,San Martin,El Eslabon,1985,140447,76461,0.544412
250105,Ucayali,Yarinacocha,1985,747695,316134,0.422811
220914,San Martin,Shapaja,1985,267687,77242,0.288553
010707,Amazonas,Yamon,1985,152144,49099,0.322714
010705,Amazonas,Jamalca,1985,393997,150807,0.382762
220205,San Martin,San Pablo,1985,391993,212130,0.541158
220705,San Martin,Pucacaca,1985,228592,75995,0.332448
220601,San Martin,Juanjui,1985,504641,146412,0.290131
100905,Huanuco,Yuyapichis,1985,2344154,92695,0.039543
100608,Huanuco,Castillo Grande,1985,118195,66702,0.564339
220302,San Martin,Agua Blanca,1985,171923,91437,0.531849
250306,Ucayali,Huipoca,1985,667777,51347,0.076892
010611,Amazonas,Totora,1985,21874,7285,0.333044
010706,Amazonas,Lonya Grande,1985,409562,109403,0.267122
220706,San Martin,San Cristobal,1985,33883,7244,0.213795
010303,Amazonas,Churuja,1985,35775,7523,0.210287
220301,San Martin,San Jose De Sisa,1985,347309,160057,0.460849
010204,Amazonas,El Parco,1985,20424,15282,0.748237
010306,Amazonas,Florida,1985,249605,49243,0.197284
220303,San Martin,San Martin,1985,585926,52658,0.089871
220106,San Martin,Yantalo,1985,78275,34969,0.446745
220305,San Martin,Shatoja,1985,69815,29038,0.415928
010104,Amazonas,Cheto,1985,79082,14220,0.179813
160201,Loreto,Yurimaguas,1985,2513367,407554,0.162155
060901,Cajamarca,San Ignacio,1985,399940,189995,0.475059
220511,San Martin,Zapatero,1985,196367,137854,0.702022
060811,Cajamarca,San Jose Del Alto,1985,566420,175024,0.309
010206,Amazonas,La Peca,1985,155134,101540,0.654531
220401,San Martin,Saposoa,1985,591864,142654,0.241025
060902,Cajamarca,Chirinos,1985,399656,186251,0.466028
220908,San Martin,Juan Guerra,1985,216367,106489,0.492168
060904,Cajamarca,La Coipa,1985,454450,170524,0.375232
220808,San Martin,Yorongos,1985,91967,31777,0.345526
120607,Junin,Rio Negro,1985,556582,207598,0.372987
060812,Cajamarca,Santa Rosa,1985,349365,213192,0.610227
250106,Ucayali,Nueva Requena,1985,2329126,146734,0.063
220802,San Martin,Awajun,1985,569322,51452,0.090374
250302,Ucayali,Irazola,1985,2126284,111375,0.05238
010109,Amazonas,La Jalca,1985,139571,22101,0.15835
220906,San Martin,El Porvenir,1985,550820,62793,0.113999
220707,San Martin,San Hilarion,1985,117160,37768,0.322363
220806,San Martin,Posic,1985,59121,22612,0.38247
220406,San Martin,Tingo De Saposoa,1985,52895,28456,0.537971
100901,Huanuco,Puerto Inca,1985,2709508,148136,0.054673
010105,Amazonas,Chiliquin,1985,159239,20018,0.12571
220105,San Martin,Soritor,1985,656448,86771,0.132183
220201,San Martin,Bellavista,1985,292265,172826,0.591333
060803,Cajamarca,Chontali,1985,519539,136518,0.262768
100605,Huanuco,Luyando,1985,126262,81792,0.647796
010307,Amazonas,Jazan,1985,85167,23462,0.275482
010502,Amazonas,Camporredondo,1985,246044,67150,0.272919
010515,Amazonas,Providencia,1985,130985,20310,0.155056
010102,Amazonas,Asuncion,1985,39194,13348,0.340562
010510,Amazonas,Luya Viejo,1985,76164,9553,0.125427
100601,Huanuco,Rupa-Rupa,1985,295257,118580,0.401616
010514,Amazonas,Pisuquia,1985,327196,41401,0.126533
060810,Cajamarca,San Felipe,1985,287890,23285,0.080882
010305,Amazonas,Cuispes,1985,108421,23644,0.218076
060905,Cajamarca,Namballe,1985,710706,152587,0.214698
010119,Amazonas,San Isidro De Maino,1985,121418,8166,0.067255
060801,Cajamarca,Jaen,1985,624961,218881,0.350231
010513,Amazonas,Ocumal,1985,409313,74073,0.180969
220912,San Martin,San Antonio,1985,88116,19301,0.219041
220903,San Martin,Cacatachi,1985,59042,36867,0.62442
120602,Junin,Coviriali,1985,111288,45452,0.408418
120304,Junin,San Luis De Shuaro,1985,219122,81647,0.37261
120601,Junin,Satipo,1985,929613,207243,0.222935
010203,Amazonas,Copallin,1985,111195,62914,0.565799
010112,Amazonas,Magdalena,1985,152346,11972,0.078584
220102,San Martin,Calzada,1985,130309,64562,0.495453
060805,Cajamarca,Huabal,1985,95324,62933,0.660201
010610,Amazonas,Santa Rosa,1985,22754,10296,0.452492
220503,San Martin,Barranquita,1985,1189871,171174,0.143859
220801,San Martin,Rioja,1985,234994,96293,0.409768
220703,San Martin,Caspisapa,1985,85643,18292,0.213584
080904,Cusco,Maranura,1985,188793,37347,0.19782
010117,Amazonas,Quinjalca,1985,92734,38254,0.412513
250303,Ucayali,Curimana,1985,2124247,44829,0.021103
010308,Amazonas,Recta,1985,31526,15779,0.500508
010115,Amazonas,Montevideo,1985,138444,19700,0.142296
