anio,n_distritos_con_anp,pct_distritos_con_anp,pct_anp_promedio,pct_anp_max
1985,2,0.01,0.000777,0.105639
1986,2,0.01,0.000777,0.105639
1987,10,0.05,0.008313,0.415131
1988,13,0.065,0.010712,0.415131
1989,13,0.065,0.010712,0.415131
1990,13,0.065,0.010712,0.415131
1991,13,0.065,0.010712,0.415131
1992,13,0.065,0.010712,0.415131
1993,13,0.065,0.010712,0.415131
1994,13,0.065,0.010712,0.415131
1995,13,0.065,0.010712,0.415131
1996,14,0.07,0.011728,0.415131
1997,14,0.07,0.011728,0.415131
1998,14,0.07,0.011728,0.415131
1999,14,0.07,0.011728,0.415131
2000,14,0.07,0.012576,0.415131
2001,23,0.115,0.014812,0.415131
2002,24,0.12,0.016623,0.415131
2003,25,0.125,0.016987,0.415131
2004,27,0.135,0.017731,0.415131
2005,34,0.17,0.029048,0.541966
2006,36,0.18,0.029572,0.541966
2007,37,0.185,0.029689,0.541966
2008,37,0.185,0.029689,0.541966
2009,38,0.19,0.029692,0.541966
2010,42,0.21,0.033502,0.542502
2011,46,0.23,0.035942,0.542502
2012,49,0.245,0.037205,0.542502
2013,51,0.255,0.037212,0.542502
2014,52,0.26,0.037214,0.542502
2015,60,0.3,0.043824,0.542502
2016,62,0.31,0.046561,0.542502
2017,65,0.325,0.047072,0.542502
2018,73,0.365,0.053305,0.543628
2019,81,0.405,0.057303,0.543628
2020,84,0.42,0.060399,0.543628
2021,88,0.44,0.064877,0.543628
2022,89,0.445,0.065027,0.543628
2023,90,0.45,0.066378,0.543628
2024,90,0.45,0.066378,0.543628
