geocode,departamento,distrito,elev_media_m,elev_mediana_m,elev_std_m,elev_min_m,elev_max_m,elev_count_px
250305,Ucayali,Alexander Von Humboldt,244.2809365925045,240.0,23.044734520121963,196.0,350.0,218665
220509,San Martin,Shanao,501.2741197456181,497.0,133.7168165735748,260.0,849.0,25788
250304,Ucayali,Neshuya,219.36252130343925,212.0,30.477875743714495,163.0,366.0,664212
220501,San Martin,Lamas,666.9343310578214,665.0,201.2148876101147,230.0,1315.0,137112
220902,San Martin,Alberto Leveau,570.5563913882919,589.0,220.55181394817092,184.0,1017.0,54902
250102,Ucayali,Campoverde,190.13452432672634,188.0,26.54721577186809,136.0,274.0,1410979
220702,San Martin,Buenos Aires,507.9364375058722,487.0,197.07675909715852,187.0,1178.0,329943
220502,San Martin,Alonso De Alvarado,1241.4158653769541,1208.0,276.3605317792691,514.0,2180.0,313765
220404,San Martin,Piscoyacu,625.347656844281,633.0,171.38558681327095,283.0,1205.0,190619
220708,San Martin,Shamboyacu,794.7104442618777,816.0,226.51429718873322,257.0,1487.0,416286
220204,San Martin,Huallaga,460.7713320367504,446.0,122.85905006253815,240.0,1102.0,271997
220605,San Martin,Pajarillo,413.12013597089776,393.0,111.3173979432836,251.0,1102.0,482162
010703,Amazonas,Cumba,1247.8038709596387,1142.0,592.2541741986971,403.0,2772.0,318474
220704,San Martin,Pilluana,400.8367225870537,357.0,182.2191742759592,190.0,1086.0,72484
220104,San Martin,Jepelacio,1215.484876654957,1208.0,245.254559683804,682.0,2033.0,408772
220505,San Martin,Cuñumbuqui,614.7638829858915,584.0,255.82210761231042,199.0,1361.0,192934
220507,San Martin,Rumisapa,519.9323020153279,430.0,212.80540909132694,226.0,954.0,35230
220913,San Martin,Sauce,777.3322915399515,758.0,157.4717211108143,281.0,1458.0,106867
010608,Amazonas,Milpuc,1773.2947238886325,1774.0,166.2466138203914,1182.0,2191.0,45507
220405,San Martin,Sacanche,519.2969666235325,474.0,185.76777639035205,251.0,1151.0,171558
220709,San Martin,Tingo De Ponasa,460.3187831989674,399.0,203.58071724790338,210.0,1105.0,355621
220304,San Martin,Santa Rosa,588.9756909088844,485.0,269.27563372586286,270.0,1366.0,264181
100903,Huanuco,Honoria,184.19913401498903,172.0,29.3271169409143,131.0,393.0,1010872
220203,San Martin,Bajo Biavo,545.4695343451324,443.0,275.5140330588314,218.0,1834.0,1190882
220710,San Martin,Tres Unidos,817.7414673139637,810.0,246.58562835646813,227.0,1676.0,392813
220510,San Martin,Tabalosos,899.2602381356043,893.0,321.53421254811997,259.0,1755.0,383395
100904,Huanuco,Tournavista,280.9408856559951,230.0,180.68086299099514,139.0,1528.0,1855235
010701,Amazonas,Bagua Grande,1300.2003081443913,1167.0,688.1760914091841,385.0,2983.0,769769
220701,San Martin,Picota,323.3041712232464,313.0,88.15415166154087,203.0,638.0,230436
220403,San Martin,El Eslabon,498.1815038959074,441.0,185.91371885077717,272.0,1073.0,132190
250105,Ucayali,Yarinacocha,152.17344325935778,151.0,8.474368985283238,113.0,220.0,703746
220914,San Martin,Shapaja,602.9940457997086,583.0,258.6018347282654,175.0,1466.0,251923
010707,Amazonas,Yamon,1426.0115560520894,1430.0,553.8879738924004,465.0,3099.0,143215
010705,Amazonas,Jamalca,1720.4212381124435,1663.0,698.9178389602561,480.0,3609.0,370871
220205,San Martin,San Pablo,415.85294053872383,361.0,173.94722085489718,245.0,1387.0,368946
220705,San Martin,Pucacaca,378.299776421536,349.0,138.56898677550882,200.0,880.0,215137
220601,San Martin,Juanjui,493.08586274340547,459.0,168.39018388439294,251.0,1253.0,474979
100905,Huanuco,Yuyapichis,332.4015640721168,281.0,201.85341095449672,182.0,2393.0,2206420
100608,Huanuco,Castillo Grande,743.8856352151528,686.0,145.89685810225674,568.0,1494.0,111293
220302,San Martin,Agua Blanca,545.425566503072,461.0,241.28957495181882,279.0,1401.0,161782
250306,Ucayali,Huipoca,290.6336072771701,287.0,32.53569742896865,203.0,403.0,628596
010611,Amazonas,Totora,1813.6953439821334,1759.0,166.9903532789856,1643.0,2363.0,20597
010706,Amazonas,Lonya Grande,1695.2981732530209,1676.0,581.0111602442437,485.0,3621.0,385494
220706,San Martin,San Cristobal,310.05177222727133,301.0,73.13684290235184,223.0,524.0,31909
010303,Amazonas,Churuja,2226.622137744647,2338.0,453.5326615242872,1335.0,2804.0,33671
220301,San Martin,San Jose De Sisa,699.3621269775239,561.0,334.1257697645807,299.0,1820.0,326924
010204,Amazonas,El Parco,657.573469600584,652.0,69.5478053213381,516.0,944.0,19178
010306,Amazonas,Florida,2391.464979053847,2341.0,363.9570323641229,1574.0,3588.0,234888
220303,San Martin,San Martin,1267.2709838265157,1319.0,419.70089298215,405.0,2242.0,551520
220106,San Martin,Yantalo,830.0125802380338,819.0,45.29933126174153,798.0,1433.0,73687
220305,San Martin,Shatoja,672.3575494672755,552.0,283.50918812889967,369.0,1671.0,65700
010104,Amazonas,Cheto,2534.2782859829404,2465.0,301.2262057825676,2048.0,3471.0,74445
160201,Loreto,Yurimaguas,163.57268256556839,163.0,22.26578468066709,95.0,275.0,2365698
060901,Cajamarca,San Ignacio,1295.5834896162612,1288.0,372.3275673308108,534.0,2707.0,376454
220511,San Martin,Zapatero,707.533092014847,694.0,250.86977907349169,224.0,1552.0,184818
060811,Cajamarca,San Jose Del Alto,1779.043928836036,1756.0,474.56984562462844,0.0,3372.0,533135
010206,Amazonas,La Peca,1080.3470561256272,938.0,453.3517880972977,438.0,2511.0,146083
220401,San Martin,Saposoa,818.0099583393912,777.0,344.0851705281323,286.0,1930.0,557121
060902,Cajamarca,Chirinos,1193.2115071727087,1170.0,504.2546075801396,415.0,2700.0,376148
220908,San Martin,Juan Guerra,344.095331866664,311.0,129.65369666144625,180.0,866.0,203636
060904,Cajamarca,La Coipa,1473.7296725492627,1507.0,424.29192804941067,487.0,2615.0,427759
220808,San Martin,Yorongos,1120.1155192127785,961.0,347.7203301182015,824.0,2333.0,86583
120607,Junin,Rio Negro,983.2371977070691,960.0,273.82478658579873,381.0,1947.0,523871
060812,Cajamarca,Santa Rosa,1067.1961357975506,1013.0,480.04462858293147,319.0,2338.0,328813
250106,Ucayali,Nueva Requena,201.11080305748544,186.0,51.324871165581435,110.0,495.0,2192259
220802,San Martin,Awajun,1540.2639292958888,1187.0,822.065360895406,812.0,3819.0,535867
250302,Ucayali,Irazola,273.4233371856733,269.0,36.93115844654983,175.0,492.0,2001381
010109,Amazonas,La Jalca,2920.608450103895,2995.0,398.38623612304013,1871.0,3734.0,131383
