geocode,departamento,distrito,pendiente_media_deg,pendiente_mediana_deg,pendiente_std_deg,pendiente_min_deg,pendiente_max_deg,pendiente_count_px
250305,Ucayali,Alexander Von Humboldt,5.6317592779115655,4.75020694732666,3.790750575087503,0.007865501567721367,32.601112365722656,218422
220509,San Martin,Shanao,12.59910462805772,12.105783462524414,5.3993637442167195,0.08774836361408234,37.563533782958984,25918
250304,Ucayali,Neshuya,4.308462760058822,3.4370105266571045,3.189678327257663,0.0015815255464985967,29.833127975463867,663696
220501,San Martin,Lamas,11.7498140447889,11.062705993652344,5.68946401737726,0.05937601625919342,53.759647369384766,137802
220902,San Martin,Alberto Leveau,13.261002267573696,11.937318801879883,7.518878905677887,0.0,54.466285705566406,55125
250102,Ucayali,Campoverde,3.085072601553909,2.5522401332855225,2.1571340202952736,0.0,21.57019805908203,1410507
220702,San Martin,Buenos Aires,12.869905166065026,12.426294326782227,7.374140785507878,0.0,52.06822204589844,331316
220502,San Martin,Alonso De Alvarado,16.75566845258853,15.554207801818848,8.50479015776522,0.015097927302122116,65.35348510742188,315430
220404,San Martin,Piscoyacu,13.709944614259216,13.083776473999023,7.725108369186721,0.0055933743715286255,72.6736068725586,191385
220708,San Martin,Shamboyacu,12.287494074779868,11.420515060424805,6.005828026834109,0.029273876920342445,50.40345001220703,417706
220204,San Martin,Huallaga,11.824228026327363,11.436315536499023,6.923772269700723,1.2722218874358041e-14,42.229217529296875,272872
220605,San Martin,Pajarillo,10.681869017840532,9.902379989624023,7.06819107591169,0.0,63.55684280395508,483730
010703,Amazonas,Cumba,16.294408764756767,14.517597198486328,9.206691025672676,0.0,74.25618743896484,321378
220704,San Martin,Pilluana,12.106168947137048,11.204231262207031,8.627612536574016,0.0,61.24089813232422,72792
220104,San Martin,Jepelacio,14.913068325518958,13.833191871643066,8.576911479682801,0.007801698055118322,57.703548431396484,411208
220505,San Martin,Cuñumbuqui,13.7082982906027,12.858444213867188,6.925208019332755,0.031523048877716064,55.077369689941406,193811
220507,San Martin,Rumisapa,9.311022919903941,8.910677909851074,5.365573307628503,0.03823147714138031,32.7862663269043,35395
220913,San Martin,Sauce,12.637643956617346,11.50880241394043,8.526615818580494,0.0,65.73089599609375,107324
010608,Amazonas,Milpuc,17.007620085666208,15.763442993164062,9.94586060732753,0.07138644903898239,74.67115783691406,45759
220405,San Martin,Sacanche,14.626040305485379,14.458565711975098,8.301034837018678,0.00800476223230362,65.97381591796875,172185
