geocode,departamento,distrito,rmse,mae,sesgo,clasificacion
010113,Amazonas,Mariscal Castilla,0.00276,0.002664,-0.00088960690395836,menor error
010101,Amazonas,Chachapoyas,0.003559,0.003341,-0.0033406634918672603,menor error
010116,Amazonas,Olleros,0.005198,0.002989,-0.0022258546336499,menor error
100702,Huanuco,Cholon,0.005588,0.005419,-0.0032684500341826003,menor error
100603,Huanuco,Hermilio Valdizan,0.006507,0.005924,-0.0020838796531734596,menor error
220103,San Martin,Habana,0.006599,0.005377,0.00018219276999686032,menor error
220903,San Martin,Cacatachi,0.006962,0.006093,0.0045749748361845,menor error
060805,Cajamarca,Huabal,0.007146,0.005367,0.00536699397424412,error medio
220104,San Martin,Jepelacio,0.007173,0.006261,0.00560102567036924,error medio
220105,San Martin,Soritor,0.007854,0.005215,0.0023831116169846186,error medio
160201,Loreto,Yurimaguas,0.007925,0.006019,-0.0023571203815081804,error medio
080917,Cusco,Manitea,0.008132,0.007174,-0.0065816797439576195,error medio
220406,San Martin,Tingo De Saposoa,0.008544,0.007049,0.00251788348661752,error medio
220801,San Martin,Rioja,0.008658,0.006272,0.0046029114983873395,mayor error
250303,Ucayali,Curimana,0.010984,0.008446,-0.00262095813512796,mayor error
010506,Amazonas,Inguilpata,0.011701,0.008868,-0.00838741548420054,mayor error
220709,San Martin,Tingo De Ponasa,0.014366,0.010745,-0.0098566533383199,mayor error
060905,Cajamarca,Namballe,0.020564,0.016571,-0.0019022471812170996,mayor error
220703,San Martin,Caspisapa,0.021004,0.015145,0.00279993676298772,mayor error
220509,San Martin,Shanao,0.023815,0.022294,0.01828689386815208,mayor error
